County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Wabasha,2010,28,215637,770024183,3571
Wabasha,2011,28,213776,807018887,3775
Wabasha,2012,28,212862,931072603,4374
Wabasha,2013,28,211406,1107672204,5240
Wabasha,2014,28,209545,1202597397,5739
Wabasha,2015,28,208383,1199289751,5755
Wabasha,2016,28,208102,1198024140,5757
Wabasha,2017,28,219395,1211403600,5522
Wadena,2009,22,102394,159445837,1557
Wadena,2010,22,108130,162180980,1500
Wadena,2011,22,110182,160106774,1453
Wadena,2012,22,111905,166610945,1489
Wadena,2013,22,113161,175182593,1548
Wadena,2014,22,116162,207429028,1786
Wadena,2015,22,116497,202032622,1734
Wadena,2016,22,116537,195956813,1681
Wadena,2017,22,117325,215440600,1836
Waseca,2009,17,233520,973326595,4168
Waseca,2010,17,234938,1070005991,4554
Waseca,2011,17,235425,1125477211,4781
Waseca,2012,17,238879,1276245899,5343
Waseca,2013,17,239008,1667957148,6979
Waseca,2014,17,238340,1982918203,8320
Waseca,2015,17,238679,1702104290,7131
Waseca,2016,17,238686,1707160083,7152
Waseca,2017,17,238385,1650035000,6922
Washington,2009,33,57743,849780900,14717
Washington,2010,33,58424,802036400,13728
Washington,2011,33,59914,737809800,12314
Washington,2012,33,60107,709886200,11810
Washington,2013,33,61179,719163600,11755
Washington,2014,33,61102,832647000,13627
Washington,2015,33,61206,837401700,13682
Washington,2016,33,60253,812558700,13486
Washington,2017,33,60037,840125500,13993
Watonwan,2009,20,246917,985029756,3989
Watonwan,2010,20,254340,1057112940,4156
Watonwan,2011,20,254138,1109296673,4365
Watonwan,2012,20,254208,1373292564,5402
Watonwan,2013,20,254235,1977500955,7778
Watonwan,2014,20,254205,1987276913,7818
Watonwan,2015,20,254195,1995213119,7849
Watonwan,2016,20,254191,1806438947,7107
Watonwan,2017,20,254414,1656310300,6510
Wilkin,2009,31,440961,1053039133,2388
Wilkin,2010,31,440420,1169509266,2655
Wilkin,2011,31,440149,1197991010,2722
Wilkin,2012,30,440329,1282585936,2913
Wilkin,2013,30,441007,1695281280,3844
Wilkin,2014,30,440953,2223129349,5042
Wilkin,2015,30,439785,2187638844,4974
Wilkin,2016,30,439275,1750126738,3984
Wilkin,2017,30,445852,1751405100,3928
Winona,2009,32,170447,655917788,3848
Winona,2010,32,178862,677724559,3789
Winona,2011,32,192937,740449089,3838
Winona,2012,32,196454,819412197,4171
Winona,2013,32,211720,1154099047,5451
Winona,2014,32,212154,1315144572,6199
Winona,2015,32,212041,1316771899,6210
Winona,2016,32,212035,1262720485,5955
Winona,2017,32,219158,1265986300,5777
Wright,2009,35,308591,1964697300,6367
Wright,2010,35,256182,1499071164,5852
Wright,2011,35,252491,1341012089,5311
Wright,2012,35,249590,1339904085,5368
Wright,2013,35,241667,1367209587,5657
Wright,2014,35,241620,1528723097,6327
Wright,2015,35,240141,1525925046,6354
Wright,2016,35,239310,1522946394,6364
Wright,2017,35,237552,1549407600,6522
Yellow Medicine,2009,30,437515,1299367400,2970
Yellow Medicine,2010,30,440079,1512179500,3436
Yellow Medicine,2011,30,439924,1645278300,3740
Yellow Medicine,2012,30,440016,2003112900,4552
Yellow Medicine,2013,30,439871,2706706700,6153
Yellow Medicine,2014,30,440051,2985684600,6785
Yellow Medicine,2015,30,439924,2697440200,6132
Yellow Medicine,2016,30,439745,2547544400,5793
Yellow Medicine,2017,30,439237,2391240800,5444
