COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
SCOTT,"$3,419,079,196","$999,412,062","$66,362,556","$3,555,215","$69,917,771","2,836"
SHERBURNE,"$2,451,671,820","$589,445,694","$38,901,428","$1,614,354","$40,515,782","1,940"
SIBLEY,"$250,170,330","$32,610,603","$2,190,034","$103,479","$2,293,513",404
STEARNS,"$6,137,729,035","$1,579,769,334","$104,425,593","$5,868,582","$110,294,175","4,278"
STEELE,"$2,432,926,083","$422,992,876","$27,831,911","$1,771,337","$29,603,248","1,110"
STEVENS,"$299,049,820","$74,824,070","$4,928,929","$255,704","$5,184,633",368
SWIFT,"$293,745,947","$54,397,218","$3,630,986","$213,133","$3,844,119",365
TODD,"$553,685,740","$65,221,222","$4,386,159","$210,679","$4,596,838",609
TRAVERSE,"$50,509,833","$12,694,218","$850,894","$27,498","$878,392",138
WABASHA,"$335,167,956","$90,514,117","$6,072,361","$322,642","$6,395,003",731
WADENA,"$533,867,361","$110,215,468","$7,159,190","$118,588","$7,277,778",513
WASECA,"$538,737,180","$77,244,307","$5,130,139","$582,760","$5,712,899",533
WASHINGTON,"$8,414,423,132","$1,778,762,072","$117,911,806","$9,290,390","$127,202,196","4,954"
WATONWAN,"$616,927,196","$48,654,033","$3,232,184","$216,480","$3,448,664",359
WILKIN,"$190,391,763","$19,672,767","$1,314,596","$14,082","$1,328,678",155
WINONA,"$1,626,230,249","$336,879,054","$22,308,005","$3,202,567","$25,510,572","1,279"
WRIGHT,"$3,458,528,193","$760,416,202","$50,320,644","$4,983,212","$55,303,856","2,933"
YELLOW MEDICINE,"$276,640,184","$45,278,804","$3,016,894","$109,604","$3,126,498",378
NON-MINNESOTA,"$47,332,081,568","$9,048,355,129","$588,251,703","$64,704,359","$652,956,062","16,463"
TOTAL,"$258,605,440,425","$62,915,197,164","$4,158,305,372","$306,771,280","$4,465,076,652","156,068"
