COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
MILLE LACS,"$609,725,254","$141,682,071","$9,481,752","$235,451-","$9,246,301",758
MORRISON,"$659,941,111","$167,254,391","$11,182,199","$275,123","$11,457,322","1,005"
MOWER,"$851,339,244","$224,261,190","$14,897,147","$1,862,249","$16,759,396",973
MURRAY,"$165,235,117","$39,413,499","$2,621,250","$55,483","$2,676,733",338
NICOLLET,"$728,112,493","$150,480,456","$10,013,107","$1,142,331","$11,155,438",677
NOBLES,"$610,250,292","$155,338,839","$10,218,389","$377,100","$10,595,489",657
NORMAN,"$116,776,308","$26,301,658","$1,750,220","$30,927","$1,781,147",202
OLMSTED,"$5,216,467,512","$1,552,890,251","$102,487,300","$8,623,290","$111,110,590","3,196"
OTTER TAIL,"$1,665,261,921","$548,215,891","$36,068,247","$1,098,766","$37,167,013","2,007"
PENNINGTON,"$1,913,972,589","$122,795,009","$8,127,543","$321,536","$8,449,079",432
PINE,"$355,531,301","$139,343,979","$9,333,609","$169,294-","$9,164,315",735
PIPESTONE,"$348,716,412","$48,302,268","$3,191,204","$128,234","$3,319,438",343
POLK,"$663,345,798","$157,034,062","$10,476,175","$564,104","$11,040,279",803
POPE,"$268,965,071","$64,872,596","$4,318,645","$114,223","$4,432,868",357
RAMSEY,"$22,315,775,391","$5,897,581,391","$389,490,358","$52,189,027","$441,679,385","11,223"
RED LAKE,"$92,755,446","$16,470,392","$1,108,406","$36,192","$1,144,598",118
REDWOOD,"$792,091,416","$117,605,246","$7,808,161","$361,966","$8,170,127",597
RENVILLE,"$364,645,893","$65,693,751","$4,376,506","$213,642","$4,590,148",549
RICE,"$1,726,838,935","$370,280,130","$24,546,290","$711,895","$25,258,185","1,471"
ROCK,"$195,129,089","$41,500,962","$2,742,631","$167,200","$2,909,831",299
ROSEAU,"$660,141,889","$92,430,348","$6,158,821","$604,218","$6,763,039",477
ST. LOUIS,"$7,495,101,122","$2,396,772,909","$158,389,344","$15,208,945","$173,598,289","5,504"
SCOTT,"$3,513,449,052","$1,072,517,680","$71,100,644","$3,446,503","$74,547,147","2,829"
SHERBURNE,"$2,726,319,699","$594,914,286","$39,285,179","$2,042,588","$41,327,767","1,951"
SIBLEY,"$262,116,214","$34,453,027","$2,317,800","$215,427","$2,533,227",394
STEARNS,"$6,568,857,703","$1,608,390,578","$106,357,881","$5,704,610","$112,062,491","4,220"
STEELE,"$2,412,009,004","$407,326,721","$26,815,007","$1,265,825","$28,080,832","1,085"
STEVENS,"$326,606,458","$81,677,288","$5,380,993","$410,501","$5,791,494",358
SWIFT,"$391,332,316","$57,901,313","$3,863,014","$204,682","$4,067,696",352
TODD,"$604,899,781","$66,170,868","$4,463,333","$209,043","$4,672,376",636
TRAVERSE,"$53,750,411","$13,129,975","$880,702","$37,484","$918,186",134
WABASHA,"$349,359,276","$84,535,068","$5,691,015","$238,616","$5,929,631",710
WADENA,"$532,898,952","$105,964,710","$6,938,086","$156,956","$7,095,042",511
WASECA,"$495,488,562","$83,328,624","$5,545,501","$758,739","$6,304,240",514
WASHINGTON,"$8,889,583,068","$1,827,019,251","$121,281,549","$11,448,291","$132,729,840","4,926"
WATONWAN,"$741,892,040","$51,050,150","$3,387,847","$340,638","$3,728,485",360
WILKIN,"$188,206,451","$19,994,736","$1,339,569","$18,474","$1,358,043",148
WINONA,"$1,815,608,752","$340,535,554","$22,530,960","$3,415,120","$25,946,080","1,225"
WRIGHT,"$3,562,867,460","$844,190,931","$55,790,013","$6,300,509","$62,090,522","2,956"
YELLOW MEDICINE,"$255,657,925","$45,581,393","$3,039,249","$57,182-","$2,982,067",374
NON-MINNESOTA,"$50,525,332,813","$9,744,916,303","$633,556,855","$67,853,363","$701,410,218","17,041"
TOTAL,"$275,906,239,682","$64,719,994,813","$4,279,513,970","$356,215,767","$4,635,729,737","155,219"
AITKIN,"$431,317,541","$107,099,288","$7,172,770","$145,156","$7,317,926",550
ANOKA,"$13,961,153,536","$2,800,453,803","$187,809,576","$16,831,774","$204,641,350","7,177"
BECKER,"$766,932,190","$241,435,754","$16,073,662","$1,073,738","$17,147,400","1,039"
BELTRAMI,"$1,142,253,802","$391,506,018","$25,907,360","$1,115,917","$27,023,277","1,161"
BENTON,"$2,128,783,337","$354,441,341","$23,543,253","$1,246,449","$24,789,702",963
BIG STONE,"$48,260,048","$20,181,098","$1,347,022","$22,699","$1,369,721",224
BLUE EARTH,"$3,085,856,918","$1,031,526,809","$67,859,758","$1,996,801","$69,856,559","1,747"
BROWN,"$658,745,514","$201,507,614","$13,372,083","$515,099","$13,887,182",823
CARLTON,"$879,782,119","$207,224,588","$13,776,027","$1,050,339","$14,826,366",878
CARVER,"$2,526,792,092","$581,237,368","$38,650,849","$2,164,578","$40,815,427","2,130"
CASS,"$515,818,424","$194,921,224","$13,162,469","$210,036","$13,372,505","1,151"
CHIPPEWA,"$379,263,408","$79,655,472","$5,285,290","$921,070","$6,206,360",452
CHISAGO,"$968,453,201","$238,958,355","$15,925,498","$724,709","$16,650,207","1,342"
CLAY,"$1,553,375,556","$316,732,711","$21,030,708","$726,767","$21,757,475","1,050"
CLEARWATER,"$233,653,686","$28,532,535","$1,924,176","$226,544","$2,150,720",258
COOK,"$149,840,413","$86,325,226","$5,737,668","$39,517","$5,777,185",370
COTTONWOOD,"$438,002,660","$55,443,697","$3,672,144","$176,772","$3,848,916",421
CROW WING,"$2,486,890,444","$877,251,794","$57,983,764","$1,607,506","$59,591,270","2,289"
DAKOTA,"$17,057,544,551","$4,354,237,004","$287,558,053","$23,867,770","$311,425,823","8,577"
DODGE,"$654,280,348","$81,508,446","$5,412,328","$394,586","$5,806,914",472
DOUGLAS,"$1,538,952,006","$600,151,248","$39,497,559","$1,265,730","$40,763,289","1,417"
FARIBAULT,"$729,172,617","$82,746,473","$5,498,552","$677,436","$6,175,988",563
FILLMORE,"$730,616,672","$111,712,690","$7,410,538","$210,919","$7,621,457",830
FREEBORN,"$1,374,610,232","$249,347,296","$16,445,110","$1,174,485","$17,619,595",973
GOODHUE,"$1,480,629,236","$298,533,201","$19,785,421","$945,460","$20,730,881","1,437"
GRANT,"$195,222,152","$23,701,622","$1,563,420","$52,817","$1,616,237",241
