COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
HENNEPIN,"$75,486,075,295","$18,785,499,316","$1,249,135,940","$87,526,427","$1,336,662,367","31,329"
HOUSTON,"$264,453,074","$62,788,709","$4,194,483","$290,874","$4,485,357",542
HUBBARD,"$408,223,398","$128,456,727","$8,580,349","$542,653","$9,123,002",765
ISANTI,"$777,856,067","$285,560,128","$18,849,065","$632,196","$19,481,261",960
ITASCA,"$1,457,212,608","$351,666,902","$23,252,116","$1,910,234","$25,162,350","1,472"
JACKSON,"$256,151,728","$46,337,803","$3,061,967","$142,868","$3,204,835",428
KANABEC,"$261,019,666","$66,592,255","$4,395,813","$73,076","$4,468,889",451
KANDIYOHI,"$1,769,148,520","$451,569,478","$29,757,426","$1,732,856","$31,490,282","1,243"
KITTSON,"$79,211,502","$17,340,609","$1,157,760","$41,853","$1,199,613",163
KOOCHICHING,"$2,075,264,781","$95,853,215","$6,429,246","$1,347,279","$7,776,525",448
LAC QUI PARLE,"$227,091,802","$26,032,589","$1,734,797","$152,088","$1,886,885",249
LAKE,"$255,049,942","$71,416,451","$4,770,755","$3,023,950","$7,794,705",410
LAKE OF THE WOODS,"$88,956,975","$43,033,173","$2,901,175","$19,102","$2,920,277",227
LESUEUR,"$482,922,037","$95,298,860","$6,404,763","$292,631","$6,697,394",723
LINCOLN,"$93,001,409","$24,175,157","$1,609,963","$58,594","$1,668,557",218
LYON,"$966,674,968","$300,957,384","$19,786,420","$1,631,080","$21,417,500",835
MCLEOD,"$1,124,541,809","$317,471,164","$20,891,889","$8,795,103","$29,686,992","1,067"
MAHNOMEN,"$88,553,942","$41,681,740","$2,810,656","$14,151","$2,824,807",137
MARSHALL,"$132,303,180","$29,430,627","$1,985,757","$31,902","$2,017,659",246
MARTIN,"$732,444,608","$131,167,624","$8,674,571","$356,590","$9,031,161",706
MEEKER,"$731,524,127","$111,172,482","$7,371,500","$523,693","$7,895,193",620
