County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$391,690,931 ","$112,685,145 ","$7,986,152 ","$210,260 ","$8,196,412 ",518
Anoka,"$13,822,943,084 ","$3,227,656,627 ","$226,300,503 ","$23,085,636 ","$249,386,139 ","7,501"
Becker,"$1,100,384,305 ","$341,665,377 ","$24,055,823 ","$944,275 ","$25,000,098 ","1,045"
Beltrami,"$1,590,797,298 ","$530,045,695 ","$37,180,673 ","$1,221,839 ","$38,402,512 ","1,234"
Benton,"$1,763,896,330 ","$382,249,107 ","$26,796,962 ","$1,776,177 ","$28,573,139 ",980
Big Stone,"$92,747,622 ","$23,787,308 ","$1,679,312 ","$54,983 ","$1,734,295 ",217
Blue Earth,"$4,884,255,749 ","$1,007,979,191 ","$70,577,705 ","$2,902,968 ","$73,480,673 ","1,898"
Brown,"$1,500,632,719 ","$254,269,751 ","$17,870,835 ","$738,565 ","$18,609,400 ",826
Carlton,"$799,189,191 ","$221,848,606 ","$15,738,171 ","$1,186,269 ","$16,924,440 ",849
Carver,"$3,441,406,037 ","$763,862,693 ","$54,184,388 ","$2,499,551 ","$56,683,939 ","2,432"
Cass,"$696,106,103 ","$251,434,973 ","$17,925,514 ","$309,364 ","$18,234,878 ","1,137"
Chippewa,"$465,308,312 ","$106,474,654 ","$7,479,199 ","$437,017 ","$7,916,216 ",400
Chisago,"$1,386,534,006 ","$291,705,296 ","$20,634,333 ","$726,316 ","$21,360,649 ","1,343"
Clay,"$1,640,002,026 ","$404,883,456 ","$28,469,187 ","$1,419,427 ","$29,888,614 ","1,064"
Clearwater,"$316,476,741 ","$42,112,767 ","$2,988,839 ","$187,319 ","$3,176,158 ",255
Cook,"$225,197,864 ","$115,779,677 ","$8,157,596 ","$119,132 ","$8,276,728 ",425
Cottonwood,"$703,293,169 ","$67,226,263 ","$4,716,104 ","$334,187 ","$5,050,291 ",402
Crow Wing,"$2,851,576,463 ","$981,344,430 ","$69,059,811 ","$1,439,747 ","$70,499,558 ","2,401"
Dakota,"$19,759,961,333 ","$4,883,830,408 ","$342,537,570 ","$15,817,756 ","$358,355,326 ","9,299"
Dodge,"$654,684,324 ","$89,236,142 ","$6,275,225 ","$265,944 ","$6,541,169 ",470
Douglas,"$1,909,580,882 ","$558,149,837 ","$39,122,305 ","$915,921 ","$40,038,226 ","1,453"
Faribault,"$549,389,832 ","$69,186,217 ","$4,879,588 ","$1,205,093 ","$6,084,681 ",486
Fillmore,"$745,615,407 ","$165,947,240 ","$11,603,087 ","$308,624 ","$11,911,711 ",774
Freeborn,"$2,019,574,270 ","$278,662,346 ","$19,478,495 ","$713,240 ","$20,191,735 ",883
Goodhue,"$1,535,933,963 ","$353,162,234 ","$24,808,376 ","$880,326 ","$25,688,702 ","1,399"
Grant,"$359,617,790 ","$33,857,920 ","$2,380,905 ","$56,023 ","$2,436,928 ",249
Hennepin,"$89,087,465,068 ","$22,469,886,153 ","$1,593,596,375 ","$99,221,207 ","$1,692,817,582 ","33,923"
Houston,"$329,145,418 ","$76,062,620 ","$5,371,321 ","$248,283 ","$5,619,604 ",517
Hubbard,"$459,129,502 ","$166,583,215 ","$11,807,681 ","$271,305 ","$12,078,986 ",750
Isanti,"$1,086,992,623 ","$386,146,857 ","$26,934,465 ","$643,114 ","$27,577,579 ",933
Itasca,"$1,264,962,039 ","$377,408,849 ","$26,547,060 ","$1,013,838 ","$27,560,898 ","1,325"
Jackson,"$517,147,780 ","$66,023,135 ","$4,631,094 ","$254,170 ","$4,885,264 ",411
Kanabec,"$239,345,252 ","$63,816,141 ","$4,522,019 ","$349,730 ","$4,871,749 ",386
Kandiyohi,"$2,190,397,388 ","$544,120,144 ","$37,996,338 ","$1,963,239 ","$39,959,577 ","1,264"
Kittson,"$125,775,451 ","$23,902,444 ","$1,690,284 ","$41,697 ","$1,731,981 ",151
Koochiching,"$775,847,067 ","$99,098,015 ","$7,021,548 ","$371,179 ","$7,392,727 ",383
Lac Qui Parle,"$175,245,672 ","$27,799,803 ","$1,967,841 ","$287,899 ","$2,255,740 ",266
Lake,"$302,067,899 ","$95,569,566 ","$6,743,497 ","$671,267 ","$7,414,764 ",427
Lake of the Woods,"$148,324,024 ","$61,638,372 ","$4,373,286 ","$26,682 ","$4,399,968 ",227
Le Sueur,"$966,823,014 ","$134,388,654 ","$9,587,210 ","$371,725 ","$9,958,935 ",803
Lincoln,"$122,279,339 ","$33,972,888 ","$2,382,317 ","$52,391 ","$2,434,708 ",226
Lyon,"$2,017,084,359 ","$303,597,945 ","$21,240,062 ","$1,267,912 ","$22,507,974 ",798
Mahnomen,"$127,656,412 ","$50,282,055 ","$3,604,644 ","$41,700 ","$3,646,344 ",123
Marshall,"$194,494,372 ","$41,007,268 ","$2,883,312 ","$40,389 ","$2,923,701 ",236
Martin,"$1,198,113,681 ","$170,628,352 ","$11,952,485 ","$533,490 ","$12,485,975 ",658
McLeod,"$1,374,396,523 ","$344,802,837 ","$24,063,015 ","$1,305,135 ","$25,368,150 ","1,035"
Meeker,"$1,141,115,364 ","$157,931,654 ","$11,021,346 ","$624,001 ","$11,645,347 ",653
Mille Lacs,"$658,868,236 ","$188,116,563 ","$13,287,130 ","$236,778 ","$13,523,908 ",660
Morrison,"$755,837,069 ","$218,536,124 ","$15,439,016 ","$336,869 ","$15,775,885 ","1,039"
Mower,"$880,310,536 ","$240,150,854 ","$16,936,963 ","$937,684 ","$17,874,647 ",872
Murray,"$417,704,327 ","$39,305,011 ","$2,799,306 ","$84,289 ","$2,883,595 ",330
Nicollet,"$780,228,633 ","$172,990,911 ","$12,247,506 ","$563,768 ","$12,811,274 ",740
Nobles,"$721,671,366 ","$189,090,547 ","$13,162,266 ","$354,513 ","$13,516,779 ",598
Norman,"$184,597,269 ","$36,407,912 ","$2,547,958 ","$70,523 ","$2,618,481 ",200
Olmsted,"$6,041,527,115 ","$1,974,789,218 ","$138,544,943 ","$10,972,818 ","$149,517,761 ","3,558"
Otter Tail,"$2,576,864,558 ","$681,393,864 ","$47,552,851 ","$1,587,162 ","$49,140,013 ","1,900"
Pennington,"$901,455,869 ","$156,521,042 ","$10,945,760 ","$439,566 ","$11,385,326 ",380
Pine,"$461,570,777 ","$166,963,750 ","$11,936,482 ","$262,199 ","$12,198,681 ",759
Pipestone,"$362,753,244 ","$66,416,570 ","$4,639,136 ","$168,520 ","$4,807,656 ",318
Polk,"$876,827,935 ","$199,254,538 ","$14,031,051 ","$537,887 ","$14,568,938 ",751
Pope,"$420,134,125 ","$66,766,287 ","$4,703,367 ","$216,626 ","$4,919,993 ",364
Ramsey,"$30,317,832,173 ","$6,379,399,893 ","$446,383,248 ","$60,736,671 ","$507,119,919 ","12,149"
Red Lake,"$92,414,060 ","$25,427,604 ","$1,732,916 ","$50,831 ","$1,783,747 ",105
Redwood,"$1,122,966,141 ","$135,287,003 ","$9,511,794 ","$288,786 ","$9,800,580 ",518
Renville,"$512,071,795 ","$69,209,010 ","$4,870,477 ","$252,318 ","$5,122,795 ",455
Rice,"$2,561,410,508 ","$468,674,905 ","$32,942,458 ","$1,224,379 ","$34,166,837 ","1,564"
Rock,"$302,611,097 ","$51,206,338 ","$3,586,934 ","$234,385 ","$3,821,319 ",285
Roseau,"$561,232,136 ","$109,647,231 ","$7,735,141 ","$165,576 ","$7,900,717 ",462
Scott,"$5,819,633,217 ","$1,304,683,853 ","$91,831,719 ","$4,800,610 ","$96,632,329 ","3,212"
Sherburne,"$2,405,458,726 ","$658,717,631 ","$46,059,657 ","$1,555,091 ","$47,614,748 ","2,162"
Sibley,"$692,179,631 ","$54,433,017 ","$3,831,435 ","$177,315 ","$4,008,750 ",424
St. Louis,"$8,304,602,683 ","$2,444,354,243 ","$172,109,245 ","$11,430,148 ","$183,539,393 ","5,434"
Stearns,"$8,591,806,162 ","$1,917,469,997 ","$134,295,777 ","$6,667,601 ","$140,963,378 ","4,471"
Steele,"$3,278,561,661 ","$436,270,223 ","$30,491,320 ","$1,172,411 ","$31,663,731 ","1,027"
Stevens,"$366,293,316 ","$89,240,370 ","$6,244,328 ","$744,037 ","$6,988,365 ",334
Swift,"$641,346,471 ","$67,414,546 ","$4,739,422 ","$122,082 ","$4,861,504 ",317
Todd,"$1,013,234,705 ","$82,605,895 ","$5,868,738 ","$108,914 ","$5,977,652 ",690
Traverse,"$127,957,386 ","$18,072,457 ","$1,273,070 ","$22,312 ","$1,295,382 ",138
Wabasha,"$548,723,792 ","$108,704,890 ","$7,722,233 ","$834,093 ","$8,556,326 ",725
Wadena,"$655,806,357 ","$133,495,478 ","$9,228,412 ","$219,075 ","$9,447,487 ",427
Waseca,"$333,421,967 ","$99,598,068 ","$7,003,880 ","$280,084 ","$7,283,964 ",474
Washington,"$10,164,606,278 ","$2,343,179,585 ","$165,358,225 ","$8,341,549 ","$173,699,774 ","5,564"
Watonwan,"$498,477,777 ","$57,147,942 ","$3,996,210 ","$187,361 ","$4,183,571 ",293
Wilkin,"$311,392,436 ","$19,094,721 ","$1,359,488 ","$23,092 ","$1,382,580 ",150
Winona,"$2,234,967,041 ","$390,170,935 ","$27,360,135 ","$3,571,488 ","$30,931,623 ","1,255"
Wright,"$4,540,399,604 ","$1,164,842,521 ","$81,816,970 ","$3,285,401 ","$85,102,371 ","3,347"
Yellow Medicine,"$342,856,875 ","$46,304,174 ","$3,265,955 ","$160,799 ","$3,426,754 ",352
Non-Minnesota Co.,"$72,930,099,971 ","$13,120,929,556 ","$902,980,781 ","$60,579,007 ","$963,559,788 ","20,714"
Total,"$344,363,319,023 ","$77,445,995,604 ","$5,435,197,561 ","$353,360,930 ","$5,788,558,491 ","164,952"
