COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
AITKIN,"$345,328,015","$104,977,664","$6,984,612","$191,813","$7,176,425",503
ANOKA,"$8,993,102,858","$2,632,791,934","$176,375,240","$12,454,366","$188,829,606","6,553"
BECKER,"$666,394,084","$220,200,643","$14,617,919","$785,347","$15,403,266","1,026"
BELTRAMI,"$802,026,071","$361,660,416","$23,738,312","$661,712","$24,400,024","1,065"
BENTON,"$1,621,828,058","$315,303,889","$20,793,528","$1,238,065","$22,031,593",880
BIG STONE,"$59,983,336","$19,239,752","$1,282,262","$16,670","$1,298,932",227
BLUE EARTH,"$2,396,606,792","$858,160,880","$56,509,710","$1,723,519","$58,233,229","1,709"
BROWN,"$646,346,293","$184,765,524","$12,223,478","$501,281","$12,724,759",860
CARLTON,"$736,167,900","$200,016,221","$13,286,473","$1,285,007","$14,571,480",880
CARVER,"$2,069,491,811","$512,041,200","$33,992,060","$1,534,869","$35,526,929","1,824"
CASS,"$443,990,404","$186,785,853","$12,512,165","$97,751","$12,609,916","1,063"
CHIPPEWA,"$299,303,760","$75,010,273","$4,974,076","$338,007","$5,312,083",432
CHISAGO,"$717,854,666","$210,477,328","$13,953,376","$322,379","$14,275,755","1,157"
CLAY,"$982,938,284","$283,114,213","$18,790,989","$684,746","$19,475,735","1,037"
CLEARWATER,"$206,874,642","$27,815,843","$1,882,004","$224,021","$2,106,025",263
COOK,"$128,737,909","$79,596,067","$5,282,348","$118,771","$5,401,119",375
COTTONWOOD,"$225,392,978","$53,577,060","$3,555,976","$135,951","$3,691,927",428
CROW WING,"$1,963,343,561","$803,809,373","$52,969,537","$1,442,390","$54,411,927","2,161"
DAKOTA,"$14,171,526,227","$3,956,631,838","$260,720,533","$11,770,023","$272,490,556","7,894"
DODGE,"$338,369,445","$76,512,733","$5,075,942","$689,607","$5,765,549",442
DOUGLAS,"$1,160,858,553","$461,006,224","$30,313,300","$771,683","$31,084,983","1,415"
FARIBAULT,"$917,820,439","$82,199,110","$5,444,888","$267,209","$5,712,097",541
FILLMORE,"$482,219,632","$109,818,294","$7,266,858","$308,088","$7,574,946",788
FREEBORN,"$1,017,109,797","$235,347,787","$15,522,910","$565,545","$16,088,455",943
GOODHUE,"$2,607,405,991","$254,235,371","$16,893,995","$2,058,597","$18,952,592","1,445"
GRANT,"$144,028,081","$23,159,430","$1,540,859","$84,489","$1,625,348",222
HENNEPIN,"$63,336,739,027","$17,210,690,463","$1,142,672,694","$72,037,825","$1,214,710,519","29,906"
HOUSTON,"$201,752,166","$57,955,161","$3,868,051","$185,668","$4,053,719",525
HUBBARD,"$319,789,631","$117,300,631","$7,818,429","$653,033","$8,471,462",776
ISANTI,"$645,631,155","$274,198,780","$18,029,964","$509,781","$18,539,745",850
ITASCA,"$1,112,525,787","$335,901,388","$22,213,986","$807,792","$23,021,778","1,427"
JACKSON,"$471,457,013","$42,383,980","$2,803,753","$113,004","$2,916,757",434
KANABEC,"$226,975,038","$71,027,235","$4,678,292","$41,910","$4,720,202",384
KANDIYOHI,"$1,519,968,274","$362,615,143","$23,921,028","$1,418,381","$25,339,409","1,181"
KITTSON,"$78,917,845","$15,121,644","$1,012,519","$19,462","$1,031,981",162
KOOCHICHING,"$242,970,574","$88,523,757","$5,932,750","$268,967","$6,201,717",488
LAC QUI PARLE,"$188,638,353","$25,376,944","$1,692,735","$122,814","$1,815,549",261
LAKE,"$148,151,261","$67,101,662","$4,479,506","$2,198,539","$6,678,045",401
LAKE OF THE WOODS,"$78,329,080","$41,145,288","$2,772,275","$27,011","$2,799,286",224
LESUEUR,"$400,940,059","$73,522,948","$4,947,820","$301,712","$5,249,532",554
LINCOLN,"$586,086,507","$31,555,956","$2,079,726","$102,671","$2,182,397",220
LYON,"$801,229,454","$231,900,112","$15,257,592","$606,935","$15,864,527",827
MCLEOD,"$825,987,533","$295,516,942","$19,432,775","$2,726,900","$22,159,675","1,045"
MAHNOMEN,"$77,711,875","$40,466,138","$2,722,420","$19,451","$2,741,871",141
MARSHALL,"$127,386,793","$27,787,351","$1,874,711","$37,335","$1,912,046",259
MARTIN,"$631,521,126","$116,930,551","$7,748,784","$288,696","$8,037,480",721
MEEKER,"$575,200,779","$101,072,989","$6,642,472","$414,459","$7,056,931",631
MILLE LACS,"$450,738,893","$141,399,325","$9,470,664","$130,499","$9,601,163",702
MORRISON,"$678,428,392","$170,090,652","$11,390,546","$187,146","$11,577,692","1,048"
MOWER,"$605,532,156","$210,210,655","$13,955,959","$1,241,732","$15,197,691",952
MURRAY,"$156,516,551","$32,691,928","$2,181,751","$65,667","$2,247,418",359
NICOLLET,"$625,629,399","$136,299,686","$9,048,950","$850,183","$9,899,133",668
NOBLES,"$514,933,172","$143,417,059","$9,432,878","$236,586","$9,669,464",707
NORMAN,"$143,598,041","$30,635,466","$2,032,175","$52,516","$2,084,691",214
OLMSTED,"$4,061,446,866","$1,484,775,017","$97,777,413","$6,759,100","$104,536,513","3,212"
OTTER TAIL,"$1,466,700,121","$501,016,221","$32,906,499","$1,956,961","$34,863,460","1,934"
PENNINGTON,"$1,219,982,081","$108,289,590","$7,163,687","$333,678","$7,497,365",388
PINE,"$296,962,519","$134,880,298","$9,036,862","$213,229","$9,250,091",634
PIPESTONE,"$211,159,524","$43,335,934","$2,870,852","$101,273","$2,972,125",328
POLK,"$594,133,009","$154,398,894","$10,287,865","$270,097","$10,557,962",815
POPE,"$214,269,918","$62,865,700","$4,172,921","$69,176","$4,242,097",332
RAMSEY,"$18,882,602,069","$5,484,424,060","$362,263,779","$28,340,554","$390,604,333","10,976"
RED LAKE,"$57,763,461","$14,625,781","$987,091","$35,098","$1,022,189",115
REDWOOD,"$618,548,754","$103,507,200","$6,874,924","$288,212","$7,163,136",597
RENVILLE,"$376,555,765","$63,114,719","$4,204,168","$233,891","$4,438,059",562
RICE,"$1,384,624,490","$350,062,663","$23,177,377","$856,275","$24,033,652","1,438"
ROCK,"$179,341,902","$38,298,653","$2,540,008","$79,696","$2,619,704",288
ROSEAU,"$540,362,024","$90,255,089","$6,005,616","$225,672","$6,231,288",450
ST. LOUIS,"$6,615,216,588","$2,075,169,918","$137,104,705","$9,076,856","$146,181,561","5,504"
SCOTT,"$2,334,919,427","$832,482,526","$55,197,324","$2,702,166","$57,899,490","2,483"
SHERBURNE,"$1,914,301,953","$487,862,520","$32,232,097","$1,249,050","$33,481,147","1,719"
SIBLEY,"$213,390,905","$33,642,636","$2,229,997","$118,585","$2,348,582",405
STEARNS,"$5,180,238,173","$1,511,943,998","$99,775,259","$5,038,151","$104,813,410","3,971"
STEELE,"$2,304,171,543","$327,429,316","$21,569,595","$1,006,524","$22,576,119","1,075"
STEVENS,"$260,412,171","$71,298,213","$4,701,500","$376,663","$5,078,163",342
SWIFT,"$166,286,015","$50,190,233","$3,350,725","$77,391","$3,428,116",331
TODD,"$568,218,457","$66,371,102","$4,451,318","$290,490","$4,741,808",567
TRAVERSE,"$51,499,465","$12,946,693","$867,156","$21,117","$888,273",150
WABASHA,"$268,219,327","$79,090,932","$5,298,980","$380,237","$5,679,217",628
WADENA,"$464,788,063","$105,281,128","$6,810,420","$129,854","$6,940,274",475
WASECA,"$500,182,288","$74,826,856","$4,944,624","$500,602","$5,445,226",521
WASHINGTON,"$6,676,142,882","$1,629,088,535","$107,720,034","$4,432,653","$112,152,687","4,445"
WATONWAN,"$714,406,694","$45,495,858","$3,016,698","$268,216","$3,284,914",354
WILKIN,"$223,043,937","$17,707,146","$1,182,025","$20,045","$1,202,070",152
