County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Pipestone,"$458,900,626 ","$66,842,228 ","$4,666,109 ","$210,538 ","$4,876,647 ",324
Polk,"$998,801,228 ","$201,344,695 ","$14,136,294 ","$721,046 ","$14,857,340 ",743
Pope,"$403,360,392 ","$63,005,707 ","$4,449,001 ","$242,207 ","$4,691,208 ",359
Ramsey,"$29,052,742,570 ","$6,255,177,745 ","$437,533,623 ","$71,815,376 ","$509,348,999 ","11,882"
Red Lake,"$111,012,823 ","$25,459,796 ","$1,787,260 ","$26,444 ","$1,813,704 ",106
Redwood,"$1,356,089,603 ","$136,189,908 ","$9,567,083 ","$582,835 ","$10,149,918 ",524
Renville,"$592,372,975 ","$72,674,281 ","$5,106,042 ","$617,681 ","$5,723,723 ",466
Rice,"$2,669,801,660 ","$441,818,717 ","$31,065,973 ","$1,345,907 ","$32,411,880 ","1,587"
Rock,"$346,989,863 ","$51,047,332 ","$3,566,543 ","$210,683 ","$3,777,226 ",275
Roseau,"$662,137,528 ","$119,274,518 ","$8,386,777 ","$449,558 ","$8,836,335 ",485
Scott,"$4,348,562,826 ","$1,236,982,006 ","$87,107,406 ","$5,665,649 ","$92,773,055 ","3,095"
Sherburne,"$2,417,549,584 ","$622,067,619 ","$43,504,711 ","$2,889,066 ","$46,393,777 ","2,080"
Sibley,"$735,628,784 ","$53,340,464 ","$3,750,472 ","$347,133 ","$4,097,605 ",408
St. Louis,"$8,924,243,185 ","$2,362,898,356 ","$166,157,599 ","$24,237,534 ","$190,395,133 ","5,306"
Stearns,"$8,576,744,547 ","$1,806,595,252 ","$126,561,868 ","$7,756,295 ","$134,318,163 ","4,517"
Steele,"$3,263,506,750 ","$408,079,979 ","$28,525,997 ","$3,709,739 ","$32,235,736 ","1,030"
Stevens,"$438,893,381 ","$92,104,285 ","$6,439,928 ","$947,212 ","$7,387,140 ",329
Swift,"$624,356,396 ","$70,694,262 ","$4,963,595 ","$170,682 ","$5,134,277 ",318
Todd,"$1,076,205,044 ","$77,028,317 ","$5,472,050 ","$237,065 ","$5,709,115 ",685
Traverse,"$128,946,805 ","$18,116,995 ","$1,275,550 ","$22,646 ","$1,298,196 ",148
Wabasha,"$548,271,406 ","$102,737,744 ","$7,305,630 ","$732,450 ","$8,038,080 ",706
