County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Renville,"$486,688,672 ","$68,904,615 ","$4,849,469 ","$472,422 ","$5,321,891 ",449
Rice,"$2,645,090,624 ","$456,871,118 ","$32,117,745 ","$1,142,396 ","$33,260,141 ","1,574"
Rock,"$312,903,890 ","$52,667,260 ","$3,686,853 ","$226,694 ","$3,913,547 ",277
Roseau,"$569,786,785 ","$116,494,037 ","$8,211,873 ","$232,720 ","$8,444,593 ",465
Scott,"$4,577,263,001 ","$1,332,819,625 ","$93,808,473 ","$6,092,787 ","$99,901,260 ","3,117"
Sherburne,"$2,403,736,647 ","$652,407,874 ","$45,620,308 ","$2,023,775 ","$47,644,083 ","2,121"
Sibley,"$667,996,768 ","$52,510,310 ","$3,696,502 ","$198,813 ","$3,895,315 ",418
St. Louis,"$8,419,593,531 ","$2,421,438,392 ","$170,369,548 ","$19,489,168 ","$189,858,716 ","5,347"
Stearns,"$8,488,219,085 ","$1,855,166,540 ","$129,960,095 ","$7,529,179 ","$137,489,274 ","4,444"
Steele,"$3,318,445,211 ","$416,653,515 ","$29,125,560 ","$1,488,505 ","$30,614,065 ","1,018"
Stevens,"$419,499,782 ","$92,744,831 ","$6,484,856 ","$1,164,796 ","$7,649,652 ",329
Swift,"$587,143,819 ","$69,332,598 ","$4,869,265 ","$103,737 ","$4,973,002 ",302
Todd,"$1,134,741,756 ","$80,734,217 ","$5,736,956 ","$209,148 ","$5,946,104 ",681
Traverse,"$129,830,484 ","$17,797,903 ","$1,254,447 ","$18,766 ","$1,273,213 ",141
Wabasha,"$555,422,060 ","$99,446,534 ","$7,087,233 ","$622,074 ","$7,709,307 ",723
Wadena,"$662,714,915 ","$131,771,496 ","$9,167,775 ","$214,973 ","$9,382,748 ",426
Waseca,"$354,276,260 ","$98,876,753 ","$6,956,757 ","$535,775 ","$7,492,532 ",474
Washington,"$10,305,775,905 ","$2,301,570,990 ","$162,371,488 ","$9,126,072 ","$171,497,560 ","5,450"
Watonwan,"$606,407,489 ","$55,809,933 ","$3,906,622 ","$224,573 ","$4,131,195 ",298
Wilkin,"$302,258,121 ","$19,282,421 ","$1,369,742 ","$25,559 ","$1,395,301 ",153
Winona,"$2,421,602,349 ","$405,778,433 ","$28,429,987 ","$3,216,431 ","$31,646,418 ","1,258"
Wright,"$4,644,137,219 ","$1,150,813,691 ","$80,833,816 ","$3,623,198 ","$84,457,014 ","3,291"
Yellow Medicine,"$356,735,764 ","$46,960,639 ","$3,307,298 ","$279,852 ","$3,587,150 ",358
Non-Minnesota Co.,"$73,136,212,441 ","$13,243,202,550 ","$911,273,128 ","$82,008,957 ","$993,282,085 ","19,810"
Total,"$345,205,411,840 ","$76,658,904,696 ","$5,376,833,996 ","$431,692,304 ","$5,808,526,300 ","161,829"
