County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$390,472,328 ","$109,903,749 ","$7,785,294 ","$212,901 ","$7,998,195 ",498
Anoka,"$13,655,947,725 ","$3,194,869,884 ","$223,910,501 ","$27,120,566 ","$251,031,067 ","7,336"
Becker,"$1,102,494,652 ","$321,215,287 ","$22,629,440 ","$924,486 ","$23,553,926 ","1,044"
Beltrami,"$1,581,891,134 ","$529,873,509 ","$37,129,422 ","$951,444 ","$38,080,866 ","1,186"
Benton,"$1,801,452,374 ","$371,005,284 ","$26,012,727 ","$1,516,048 ","$27,528,775 ",980
Big Stone,"$102,460,306 ","$26,837,810 ","$1,883,623 ","$65,627 ","$1,949,250 ",217
Blue Earth,"$4,994,068,131 ","$1,020,277,527 ","$71,383,752 ","$3,033,263 ","$74,417,015 ","1,883"
Brown,"$1,482,295,933 ","$262,570,834 ","$18,429,628 ","$763,164 ","$19,192,792 ",833
Carlton,"$819,185,047 ","$220,836,390 ","$15,639,138 ","$1,992,593 ","$17,631,731 ",860
Carver,"$3,425,003,483 ","$729,766,707 ","$51,509,940 ","$2,787,107 ","$54,297,047 ","2,352"
Cass,"$645,841,349 ","$230,726,450 ","$16,467,460 ","$300,370 ","$16,767,830 ","1,096"
Chippewa,"$504,999,784 ","$107,472,621 ","$7,546,791 ","$558,613 ","$8,105,404 ",415
Chisago,"$1,463,689,870 ","$300,673,865 ","$21,221,393 ","$620,591 ","$21,841,984 ","1,322"
Clay,"$1,789,053,147 ","$421,930,461 ","$29,626,758 ","$1,785,813 ","$31,412,571 ","1,048"
Clearwater,"$342,463,719 ","$40,485,511 ","$2,870,347 ","$554,629 ","$3,424,976 ",253
Cook,"$216,436,388 ","$107,065,069 ","$7,538,450 ","$104,660 ","$7,643,110 ",415
Cottonwood,"$697,489,535 ","$68,454,339 ","$4,797,029 ","$320,452 ","$5,117,481 ",398
Crow Wing,"$2,835,602,568 ","$953,322,552 ","$67,112,341 ","$1,739,036 ","$68,851,377 ","2,340"
Dakota,"$19,769,846,419 ","$4,805,750,222 ","$336,919,098 ","$23,862,269 ","$360,781,367 ","9,140"
Dodge,"$614,869,610 ","$90,137,859 ","$6,336,807 ","$586,235 ","$6,923,042 ",469
Douglas,"$2,123,147,258 ","$557,569,514 ","$39,071,858 ","$1,091,259 ","$40,163,117 ","1,429"
Faribault,"$584,042,065 ","$76,099,581 ","$5,353,360 ","$962,896 ","$6,316,256 ",486
Fillmore,"$818,490,631 ","$154,422,016 ","$10,813,331 ","$253,278 ","$11,066,609 ",773
Freeborn,"$1,625,062,127 ","$272,906,798 ","$19,072,162 ","$727,507 ","$19,799,669 ",894
Goodhue,"$1,652,929,783 ","$343,788,998 ","$24,136,702 ","$914,101 ","$25,050,803 ","1,373"
Grant,"$428,143,224 ","$33,927,516 ","$2,385,140 ","$36,714 ","$2,421,854 ",235
Hennepin,"$89,396,368,390 ","$21,997,429,166 ","$1,558,407,599 ","$115,876,149 ","$1,674,283,748 ","33,181"
Houston,"$319,915,511 ","$78,089,945 ","$5,506,055 ","$304,138 ","$5,810,193 ",530
Hubbard,"$466,463,313 ","$161,116,288 ","$11,433,036 ","$398,426 ","$11,831,462 ",764
Isanti,"$1,059,885,036 ","$374,970,207 ","$26,149,537 ","$729,407 ","$26,878,944 ",931
Itasca,"$1,458,597,615 ","$399,899,991 ","$28,113,995 ","$1,705,275 ","$29,819,270 ","1,307"
Jackson,"$512,857,759 ","$63,270,341 ","$4,438,301 ","$260,877 ","$4,699,178 ",418
Kanabec,"$248,439,226 ","$58,936,588 ","$4,177,255 ","$315,211 ","$4,492,466 ",382
Kandiyohi,"$2,196,637,285 ","$550,467,554 ","$38,408,556 ","$2,307,692 ","$40,716,248 ","1,259"
Kittson,"$143,779,495 ","$23,935,414 ","$1,692,409 ","$67,629 ","$1,760,038 ",147
Koochiching,"$778,473,550 ","$102,401,560 ","$7,248,542 ","$1,762,730 ","$9,011,272 ",396
Lac Qui Parle,"$191,642,844 ","$27,796,475 ","$1,971,683 ","$459,321 ","$2,431,004 ",259
Lake,"$292,962,913 ","$93,701,094 ","$6,614,299 ","$2,883,455 ","$9,497,754 ",412
Lake of the Woods,"$133,288,239 ","$59,354,222 ","$4,211,447 ","$72,851 ","$4,284,298 ",224
Le Sueur,"$914,084,689 ","$124,304,713 ","$8,799,218 ","$432,629 ","$9,231,847 ",796
Lincoln,"$137,587,531 ","$32,848,315 ","$2,301,808 ","$106,743 ","$2,408,551 ",223
Lyon,"$2,124,464,692 ","$312,948,677 ","$21,873,516 ","$1,893,546 ","$23,767,062 ",799
Mahnomen,"$128,311,440 ","$50,945,042 ","$3,637,284 ","$42,922 ","$3,680,206 ",120
Marshall,"$250,333,664 ","$41,943,245 ","$2,951,414 ","$46,720 ","$2,998,134 ",235
Martin,"$1,255,124,008 ","$165,937,593 ","$11,611,303 ","$770,621 ","$12,381,924 ",672
McLeod,"$1,341,800,746 ","$340,124,193 ","$23,748,893 ","$1,671,177 ","$25,420,070 ","1,006"
Meeker,"$1,138,147,534 ","$152,962,974 ","$10,697,603 ","$558,898 ","$11,256,501 ",639
Mille Lacs,"$642,810,708 ","$177,762,538 ","$12,550,423 ","$193,284 ","$12,743,707 ",673
Morrison,"$751,583,468 ","$212,255,937 ","$14,999,613 ","$394,333 ","$15,393,946 ","1,041"
Mower,"$904,294,165 ","$235,740,673 ","$16,620,672 ","$1,464,254 ","$18,084,926 ",881
Murray,"$388,366,847 ","$41,589,460 ","$2,955,403 ","$93,135 ","$3,048,538 ",330
Nicollet,"$778,797,863 ","$173,906,517 ","$12,302,124 ","$872,164 ","$13,174,288 ",703
Nobles,"$721,275,584 ","$191,279,796 ","$13,312,787 ","$378,490 ","$13,691,277 ",614
Norman,"$193,986,153 ","$35,544,853 ","$2,489,030 ","$63,484 ","$2,552,514 ",202
Olmsted,"$6,339,083,594 ","$1,955,469,688 ","$137,173,367 ","$11,134,655 ","$148,308,022 ","3,514"
Otter Tail,"$2,477,148,476 ","$659,437,966 ","$46,028,346 ","$1,997,635 ","$48,025,981 ","1,864"
Pennington,"$1,021,105,000 ","$158,039,615 ","$11,055,571 ","$859,311 ","$11,914,882 ",375
Pine,"$422,184,089 ","$156,938,096 ","$11,228,611 ","$272,715 ","$11,501,326 ",746
Pipestone,"$405,509,322 ","$68,086,110 ","$4,757,879 ","$174,732 ","$4,932,611 ",330
Polk,"$868,397,826 ","$202,449,694 ","$14,243,965 ","$646,863 ","$14,890,828 ",762
Pope,"$415,843,804 ","$65,721,728 ","$4,639,392 ","$208,149 ","$4,847,541 ",348
Ramsey,"$30,147,605,158 ","$6,357,203,298 ","$445,005,345 ","$65,599,240 ","$510,604,585 ","11,912"
Red Lake,"$100,715,638 ","$24,381,957 ","$1,711,963 ","$59,564 ","$1,771,527 ",108
Redwood,"$1,163,677,497 ","$137,766,545 ","$9,687,464 ","$557,887 ","$10,245,351 ",527
