County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Nicollet,625629399,136299686,9048950,850183,9899133,668,2003,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,514933172,143417059,9432878,236586,9669464,707,2003,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,143598041,30635466,2032175,52516,2084691,214,2003,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,4061446866,1484775017,97777413,6759100,104536513,3212,2003,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1466700121,501016221,32906499,1956961,34863460,1934,2003,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1219982081,108289590,7163687,333678,7497365,388,2003,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,296962519,134880298,9036862,213229,9250091,634,2003,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,211159524,43335934,2870852,101273,2972125,328,2003,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,594133009,154398894,10287865,270097,10557962,815,2003,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,214269918,62865700,4172921,69176,4242097,332,2003,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,18882602069,5484424060,362263779,28340554,390604333,10976,2003,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,57763461,14625781,987091,35098,1022189,115,2003,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,618548754,103507200,6874924,288212,7163136,597,2003,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,376555765,63114719,4204168,233891,4438059,562,2003,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1384624490,350062663,23177377,856275,24033652,1438,2003,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,179341902,38298653,2540008,79696,2619704,288,2003,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,540362024,90255089,6005616,225672,6231288,450,2003,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,6615216588,2075169918,137104705,9076856,146181561,5504,2003,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,2334919427,832482526,55197324,2702166,57899490,2483,2003,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,1914301953,487862520,32232097,1249050,33481147,1719,2003,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,213390905,33642636,2229997,118585,2348582,405,2003,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,5180238173,1511943998,99775259,5038151,104813410,3971,2003,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2304171543,327429316,21569595,1006524,22576119,1075,2003,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,260412171,71298213,4701500,376663,5078163,342,2003,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,166286015,50190233,3350725,77391,3428116,331,2003,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,568218457,66371102,4451318,290490,4741808,567,2003,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,51499465,12946693,867156,21117,888273,150,2003,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,268219327,79090932,5298980,380237,5679217,628,2003,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,464788063,105281128,6810420,129854,6940274,475,2003,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,500182288,74826856,4944624,500602,5445226,521,2003,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,6676142882,1629088535,107720034,4432653,112152687,4445,2003,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,714406694,45495858,3016698,268216,3284914,354,2003,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,223043937,17707146,1182025,20045,1202070,152,2003,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,1393158046,302987468,20020667,1675769,21696436,1227,2003,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,2255129323,684715915,45192308,1352421,46544729,2617,2003,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,255521783,43551327,2900703,83594,2984297,380,2003,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
