County,gross.sales,taxable.sales,sales.tax,use.tax,total.tax,number,year,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Mille Lacs,655914239,145927046,9761719,192692,9954411,755,2005,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,662211252,176194874,11780211,213507,11993718,1036,2005,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,737063386,225380011,14955547,1522448,16477995,993,2005,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,195807860,38878905,2590390,53702,2644092,371,2005,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,689246840,144331005,9585242,642583,10227825,700,2005,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,583154736,153486620,10094660,293937,10388597,677,2005,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,116054080,25510406,1698769,32705,1731474,211,2005,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,4880030313,1511065359,99672537,5544315,105216852,3300,2005,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1586676797,541899881,35637391,1098166,36735557,2049,2005,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1716986344,111601746,7296754,343272,7640026,406,2005,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,326668528,145390647,9742220,188416,9930636,725,2005,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,238601762,43865661,2901760,115157,3016917,343,2005,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,658772352,159948549,10640898,345439,10986337,828,2005,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,237706788,64626076,4302055,92746,4394801,349,2005,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,22402429404,5787171812,383910490,30277929,414188419,11375,2005,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,83302163,15996013,1077062,42096,1119158,121,2005,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,700056579,117526475,7800667,511920,8312587,595,2005,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,383881570,64265797,4281074,292390,4573464,578,2005,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1521075593,371975442,24606375,594754,25201129,1513,2005,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,178569954,39246167,2600004,115922,2715926,297,2005,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,277455481,92426555,6155637,108426,6264063,478,2005,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,6918186060,2280751004,150708561,12313799,163022360,5570,2005,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,3419079196,999412062,66362556,3555215,69917771,2836,2005,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2451671820,589445694,38901428,1614354,40515782,1940,2005,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,250170330,32610603,2190034,103479,2293513,404,2005,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,6137729035,1579769334,104425593,5868582,110294175,4278,2005,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2432926083,422992876,27831911,1771337,29603248,1110,2005,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,299049820,74824070,4928929,255704,5184633,368,2005,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,293745947,54397218,3630986,213133,3844119,365,2005,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,553685740,65221222,4386159,210679,4596838,609,2005,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,50509833,12694218,850894,27498,878392,138,2005,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,335167956,90514117,6072361,322642,6395003,731,2005,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,533867361,110215468,7159190,118588,7277778,513,2005,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,538737180,77244307,5130139,582760,5712899,533,2005,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,8414423132,1778762072,117911806,9290390,127202196,4954,2005,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,616927196,48654033,3232184,216480,3448664,359,2005,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,190391763,19672767,1314596,14082,1328678,155,2005,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,1626230249,336879054,22308005,3202567,25510572,1279,2005,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3458528193,760416202,50320644,4983212,55303856,2933,2005,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,276640184,45278804,3016894,109604,3126498,378,2005,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,258605440425,62915197164,4158305372,306771280,4465076652,156068,2005,0,NA,Minnesota,Minnesota,Minnesota
Mille Lacs,609725254,141682071,9481752,"$235,451-",9246301,758,2006,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,659941111,167254391,11182199,275123,11457322,1005,2006,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,851339244,224261190,14897147,1862249,16759396,973,2006,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,165235117,39413499,2621250,55483,2676733,338,2006,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,728112493,150480456,10013107,1142331,11155438,677,2006,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,610250292,155338839,10218389,377100,10595489,657,2006,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,116776308,26301658,1750220,30927,1781147,202,2006,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5216467512,1552890251,102487300,8623290,111110590,3196,2006,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1665261921,548215891,36068247,1098766,37167013,2007,2006,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1913972589,122795009,8127543,321536,8449079,432,2006,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,355531301,139343979,9333609,"$169,294-",9164315,735,2006,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,348716412,48302268,3191204,128234,3319438,343,2006,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,663345798,157034062,10476175,564104,11040279,803,2006,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,268965071,64872596,4318645,114223,4432868,357,2006,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,22315775391,5897581391,389490358,52189027,441679385,11223,2006,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,92755446,16470392,1108406,36192,1144598,118,2006,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,792091416,117605246,7808161,361966,8170127,597,2006,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,364645893,65693751,4376506,213642,4590148,549,2006,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1726838935,370280130,24546290,711895,25258185,1471,2006,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,195129089,41500962,2742631,167200,2909831,299,2006,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,660141889,92430348,6158821,604218,6763039,477,2006,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,7495101122,2396772909,158389344,15208945,173598289,5504,2006,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,3513449052,1072517680,71100644,3446503,74547147,2829,2006,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,2726319699,594914286,39285179,2042588,41327767,1951,2006,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,262116214,34453027,2317800,215427,2533227,394,2006,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,6568857703,1608390578,106357881,5704610,112062491,4220,2006,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2412009004,407326721,26815007,1265825,28080832,1085,2006,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,326606458,81677288,5380993,410501,5791494,358,2006,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,391332316,57901313,3863014,204682,4067696,352,2006,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,604899781,66170868,4463333,209043,4672376,636,2006,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,53750411,13129975,880702,37484,918186,134,2006,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,349359276,84535068,5691015,238616,5929631,710,2006,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,532898952,105964710,6938086,156956,7095042,511,2006,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,495488562,83328624,5545501,758739,6304240,514,2006,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,8889583068,1827019251,121281549,11448291,132729840,4926,2006,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,741892040,51050150,3387847,340638,3728485,360,2006,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,188206451,19994736,1339569,18474,1358043,148,2006,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,1815608752,340535554,22530960,3415120,25946080,1225,2006,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3562867460,844190931,55790013,6300509,62090522,2956,2006,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,255657925,45581393,3039249,"$57,182-",2982067,374,2006,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,275906239682,64719994813,4279513970,356215767,4635729737,155219,2006,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,431317541,107099288,7172770,145156,7317926,550,2006,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,13961153536,2800453803,187809576,16831774,204641350,7177,2006,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,766932190,241435754,16073662,1073738,17147400,1039,2006,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1142253802,391506018,25907360,1115917,27023277,1161,2006,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,2128783337,354441341,23543253,1246449,24789702,963,2006,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,48260048,20181098,1347022,22699,1369721,224,2006,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,3085856918,1031526809,67859758,1996801,69856559,1747,2006,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,658745514,201507614,13372083,515099,13887182,823,2006,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,879782119,207224588,13776027,1050339,14826366,878,2006,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2526792092,581237368,38650849,2164578,40815427,2130,2006,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,515818424,194921224,13162469,210036,13372505,1151,2006,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,379263408,79655472,5285290,921070,6206360,452,2006,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,968453201,238958355,15925498,724709,16650207,1342,2006,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1553375556,316732711,21030708,726767,21757475,1050,2006,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,233653686,28532535,1924176,226544,2150720,258,2006,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,149840413,86325226,5737668,39517,5777185,370,2006,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,438002660,55443697,3672144,176772,3848916,421,2006,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2486890444,877251794,57983764,1607506,59591270,2289,2006,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,17057544551,4354237004,287558053,23867770,311425823,8577,2006,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,654280348,81508446,5412328,394586,5806914,472,2006,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1538952006,600151248,39497559,1265730,40763289,1417,2006,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,729172617,82746473,5498552,677436,6175988,563,2006,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,730616672,111712690,7410538,210919,7621457,830,2006,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1374610232,249347296,16445110,1174485,17619595,973,2006,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1480629236,298533201,19785421,945460,20730881,1437,2006,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,195222152,23701622,1563420,52817,1616237,241,2006,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,75486075295,18785499316,1249135940,87526427,1336662367,31329,2006,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,264453074,62788709,4194483,290874,4485357,542,2006,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,408223398,128456727,8580349,542653,9123002,765,2006,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,777856067,285560128,18849065,632196,19481261,960,2006,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1457212608,351666902,23252116,1910234,25162350,1472,2006,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,256151728,46337803,3061967,142868,3204835,428,2006,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,261019666,66592255,4395813,73076,4468889,451,2006,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,1769148520,451569478,29757426,1732856,31490282,1243,2006,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,79211502,17340609,1157760,41853,1199613,163,2006,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,2075264781,95853215,6429246,1347279,7776525,448,2006,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,227091802,26032589,1734797,152088,1886885,249,2006,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,255049942,71416451,4770755,3023950,7794705,410,2006,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,88956975,43033173,2901175,19102,2920277,227,2006,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,482922037,95298860,6404763,292631,6697394,723,2006,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,93001409,24175157,1609963,58594,1668557,218,2006,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,966674968,300957384,19786420,1631080,21417500,835,2006,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,1124541809,317471164,20891889,8795103,29686992,1067,2006,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,88553942,41681740,2810656,14151,2824807,137,2006,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,132303180,29430627,1985757,31902,2017659,246,2006,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,732444608,131167624,8674571,356590,9031161,706,2006,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,731524127,111172482,7371500,523693,7895193,620,2006,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Mille Lacs,748720408,152766956,10215750,179073,10394823,753,2007,95,C,Urban/town/rural mix,EDR 7E- East Central,Central
Morrison,664494327,177674253,11887493,294646,12182139,1076,2007,97,B,Town/rural mix,EDR 5 - North Central,Northwest
Mower,828124909,229994707,15275469,2073300,17348769,991,2007,99,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Murray,202778224,42823020,2851806,82101,2933907,343,2007,101,A,Entirely rural,EDR 8 - Southwest,Southwest
Nicollet,801613981,160293344,10648091,934105,11582196,727,2007,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Nobles,675351286,162994314,10730710,313642,11044352,669,2007,105,B,Town/rural mix,EDR 8 - Southwest,Southwest
Norman,135096441,27322961,1818461,46689,1865150,222,2007,107,A,Entirely rural,EDR 1 - Northwest,Northwest
Olmsted,5482711727,1602354159,105927235,9842937,115770172,3317,2007,109,D,Entirely urban,EDR 10 - Southeast,Southeast
Otter Tail,1747328226,579218810,38144027,1357253,39501280,2083,2007,111,B,Town/rural mix,EDR 4 - West Central,Northwest
Pennington,1087103502,142615942,9430600,264459,9695059,415,2007,113,B,Town/rural mix,EDR 1 - Northwest,Northwest
Pine,387655954,144448661,9720547,137818,9858365,759,2007,115,C,Urban/town/rural mix,EDR 7E- East Central,Central
Pipestone,342768611,52135321,3446061,143012,3589073,358,2007,117,B,Town/rural mix,EDR 8 - Southwest,Southwest
Polk,765696488,190540595,12679522,668535,13348057,798,2007,119,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Pope,286784696,67329140,4481518,88395,4569913,367,2007,121,B,Town/rural mix,EDR 4 - West Central,Northwest
Ramsey,23232952763,5811217657,384215524,53392639,437608163,11472,2007,123,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Red Lake,84095315,17538899,1179048,46414,1225462,119,2007,125,A,Entirely rural,EDR 1 - Northwest,Northwest
Redwood,961164644,124493478,8273359,483615,8756974,596,2007,127,B,Town/rural mix,EDR 8 - Southwest,Southwest
Renville,373153867,72258104,4814316,119965,4934281,538,2007,129,A,Entirely rural,EDR 6E- Southwest Central,Central
Rice,1724113325,392727715,26071596,861397,26932993,1537,2007,131,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Rock,222343300,44010629,2904887,106758,3011645,291,2007,133,C,Urban/town/rural mix,EDR 8 - Southwest,Southwest
Roseau,670660115,94543243,6309257,501254,6810511,485,2007,135,B,Town/rural mix,EDR 1 - Northwest,Northwest
St. Louis,7720814558,2360408972,156284552,13654253,169938805,5700,2007,137,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Scott,3601766311,1067598493,70841327,3129417,73970744,2954,2007,139,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Sherburne,3414387110,572558523,37877414,2001465,39878879,2078,2007,141,D,Entirely urban,EDR 7W- Central,Central
Sibley,262009665,34051743,2292949,217397,2510346,421,2007,143,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Stearns,6922609207,1578374306,104470352,6566356,111036708,4380,2007,145,C,Urban/town/rural mix,EDR 7W- Central,Central
Steele,2491486570,402161881,26530345,1284300,27814645,1130,2007,147,B,Town/rural mix,EDR 10 - Southeast,Southeast
Stevens,339901613,81169470,5349515,381349,5730864,364,2007,149,B,Town/rural mix,EDR 4 - West Central,Northwest
Swift,524492514,59255169,3951432,278600,4230032,351,2007,151,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Todd,547516408,67793812,4588133,208909,4797042,626,2007,153,B,Town/rural mix,EDR 5 - North Central,Northwest
Traverse,58708682,14117196,946708,27148,973856,143,2007,155,A,Entirely rural,EDR 4 - West Central,Northwest
Wabasha,389129533,79775534,5391497,143080,5534577,749,2007,157,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wadena,568617289,123447369,8104645,212854,8317499,505,2007,159,B,Town/rural mix,EDR 5 - North Central,Northwest
Waseca,561208743,87199391,5799231,745192,6544423,524,2007,161,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Washington,8977075729,1880292173,124842374,7105574,131947948,5040,2007,163,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Watonwan,483590834,51833797,3443849,112413,3556262,350,2007,165,B,Town/rural mix,EDR 9 - South Central,Southwest
Wilkin,318850323,19975673,1336679,29930,1366609,148,2007,167,B,Town/rural mix,EDR 4 - West Central,Northwest
Winona,1894062944,351913716,23331966,2743509,26075475,1270,2007,169,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Wright,3670310192,874348193,57857974,4286607,62144581,3106,2007,171,C,Urban/town/rural mix,EDR 7W- Central,Central
Yellow Medicine,286353488,45757686,3053183,127529,3180712,383,2007,173,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Minnesota,282151207921,65844046857,4356893212,351403843,4708297055,159173,2007,0,NA,Minnesota,Minnesota,Minnesota
Aitkin,433817756,112569309,7531724,131526,7663250,562,2007,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,14891379364,2747292441,181702181,17737303,199439484,7372,2007,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,805638204,277870604,18509067,955308,19464375,1080,2007,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1105367513,401757178,26602347,1248137,27850484,1193,2007,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1596432637,344538143,22833144,1271057,24104201,980,2007,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,64678199,21880448,1462758,23738,1486496,228,2007,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,3325702791,1049113516,68989747,2388995,71378742,1860,2007,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,760673555,217010632,14395087,541075,14936162,872,2007,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,853919726,198095658,13212850,346536,13559386,903,2007,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2913360809,575941555,38338154,2197161,40535315,2158,2007,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Cass,521849750,198649300,13409383,156672,13566055,1188,2007,21,B,Town/rural mix,EDR 5 - North Central,Northwest
Chippewa,383605891,87464578,5800870,969749,6770619,455,2007,23,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest
Chisago,986307689,220593146,14763374,720603,15483977,1376,2007,25,D,Entirely urban,EDR 7E- East Central,Central
Clay,1773349394,337833803,22443987,1072362,23516349,1088,2007,27,D,Entirely urban,EDR 4 - West Central,Northwest
Clearwater,254010353,29540808,1991447,294237,2285684,273,2007,29,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Cook,163780667,88662258,5906905,121960,6028865,383,2007,31,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Cottonwood,568538153,62850118,4150865,203864,4354729,428,2007,33,B,Town/rural mix,EDR 8 - Southwest,Southwest
Crow Wing,2495660508,866894517,57443614,1791057,59234671,2399,2007,35,B,Town/rural mix,EDR 5 - North Central,Northwest
Dakota,17859779642,4408306507,294560886,26754785,321315671,8832,2007,37,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Dodge,688147689,80981882,5378863,507805,5886668,493,2007,39,D,Entirely urban,EDR 10 - Southeast,Southeast
Douglas,1648818945,629798589,41421788,961774,42383562,1456,2007,41,B,Town/rural mix,EDR 4 - West Central,Northwest
Faribault,438876033,86974058,5772960,897132,6670092,563,2007,43,B,Town/rural mix,EDR 9 - South Central,Southwest
Fillmore,768883714,111507716,7398736,413940,7812676,818,2007,45,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Freeborn,1581781430,258417052,17061232,946189,18007421,1021,2007,47,B,Town/rural mix,EDR 10 - Southeast,Southeast
Goodhue,1583192223,303771577,20127212,905416,21032628,1504,2007,49,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Grant,166099972,26027622,1753548,99222,1852770,261,2007,51,A,Entirely rural,EDR 4 - West Central,Northwest
Hennepin,73612823261,18984959086,1263349524,89276386,1352625910,31775,2007,53,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,319629163,65071807,4343032,262521,4605553,559,2007,55,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast
Hubbard,408656164,139541527,9328334,658660,9986994,815,2007,57,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Isanti,838228415,285521236,18864153,708577,19572730,947,2007,59,C,Urban/town/rural mix,EDR 7E- East Central,Central
Itasca,1325676494,355463224,23533459,1229158,24762617,1438,2007,61,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Jackson,295016251,50813021,3358374,193385,3551759,445,2007,63,B,Town/rural mix,EDR 8 - Southwest,Southwest
Kanabec,230242567,65877494,4356588,138079,4494667,470,2007,65,C,Urban/town/rural mix,EDR 7E- East Central,Central
Kandiyohi,2123384325,454480199,29962993,1934514,31897507,1291,2007,67,B,Town/rural mix,EDR 6E- Southwest Central,Central
Kittson,96970885,21505491,1438020,42620,1480640,165,2007,69,A,Entirely rural,EDR 1 - Northwest,Northwest
Koochiching,780245038,96293716,6460764,1045683,7506447,434,2007,71,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lac Qui Parle,281364100,26817800,1791648,174431,1966079,242,2007,73,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Lake,260293803,76795174,5120959,2971308,8092267,418,2007,75,B,Town/rural mix,EDR 3 - Arrowhead,Northeast
Lake Of The Woods,91811725,43643098,2935481,27963,2963444,224,2007,77,A,Entirely rural,EDR 2 - Headwaters,Northwest
Le Sueur,492930723,94943293,6388282,292241,6680523,744,2007,79,C,Urban/town/rural mix,EDR 9 - South Central,Southwest
Lincoln,81757328,24405743,1627278,53064,1680342,224,2007,81,A,Entirely rural,EDR 8 - Southwest,Southwest
Lyon,939389052,323358557,21264424,2493534,23757958,826,2007,83,B,Town/rural mix,EDR 8 - Southwest,Southwest
Mcleod,1128845874,314592199,20721412,2346873,23068285,1095,2007,85,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central
Mahnomen,104262957,42197668,2844485,14973,2859458,127,2007,87,A,Entirely rural,EDR 2 - Headwaters,Northwest
Marshall,164522922,32030334,2153923,26437,2180360,249,2007,89,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest
Martin,634282841,142209120,9413778,424085,9837863,684,2007,91,B,Town/rural mix,EDR 9 - South Central,Southwest
Meeker,896248503,116260940,7706035,652101,8358136,645,2007,93,B,Town/rural mix,EDR 6E- Southwest Central,Central
Aitkin,294625316,91163059,6134115,90549,6224664,567,2008,1,A,Entirely rural,EDR 3 - Arrowhead,Northeast
Anoka,12339516671,2714803251,179715953,17341967,197057920,7276,2008,3,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Becker,755627316,268745251,17903633,795028,18698661,1074,2008,5,C,Urban/town/rural mix,EDR 4 - West Central,Northwest
Beltrami,1084982120,389214647,25796462,1306734,27103196,1209,2008,7,B,Town/rural mix,EDR 2 - Headwaters,Northwest
Benton,1562618102,312793518,20796799,1309076,22105875,988,2008,9,C,Urban/town/rural mix,EDR 7W- Central,Central
Big Stone,73100069,20867157,1394935,21899,1416834,220,2008,11,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest
Blue Earth,3739481800,1063957628,69983103,2679989,72663092,1815,2008,13,D,Entirely urban,EDR 9 - South Central,Southwest
Brown,944892811,211394017,14033480,457864,14491344,857,2008,15,B,Town/rural mix,EDR 9 - South Central,Southwest
Carlton,872724387,192990606,12906536,1151267,14057803,908,2008,17,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast
Carver,2786248086,637230073,42299093,2458800,44757893,2221,2008,19,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
