County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$365,350,225 ","$104,998,505 ","$7,436,589 ","$151,668 ","$7,588,257 ",514
Anoka,"$11,481,603,490 ","$2,945,395,178 ","$212,341,761 ","$17,424,782 ","$229,766,543 ","7,024"
Becker,"$902,968,882 ","$295,727,008 ","$20,832,351 ","$874,129 ","$21,706,480 ","1,001"
Beltrami,"$1,284,908,567 ","$433,591,474 ","$30,386,432 ","$1,361,131 ","$31,747,563 ","1,199"
Benton,"$1,661,357,830 ","$331,267,339 ","$23,270,691 ","$1,540,560 ","$24,811,251 ",941
Big Stone,"$117,325,315 ","$24,304,052 ","$1,711,179 ","$31,281 ","$1,742,460 ",224
Blue Earth,"$5,505,145,404 ","$1,092,344,875 ","$76,116,192 ","$2,694,647 ","$78,810,839 ","1,795"
Brown,"$1,337,455,794 ","$227,882,500 ","$16,011,461 ","$850,886 ","$16,862,347 ",811
Carlton,"$938,443,343 ","$201,668,921 ","$14,300,943 ","$4,143,983 ","$18,444,926 ",830
Carver,"$3,183,285,107 ","$621,820,062 ","$43,908,022 ","$2,532,001 ","$46,440,023 ","2,180"
Cass,"$561,452,201 ","$206,291,582 ","$14,759,254 ","$185,470 ","$14,944,724 ","1,068"
Chippewa,"$537,373,264 ","$102,600,314 ","$7,206,066 ","$1,268,220 ","$8,474,286 ",422
Chisago,"$1,139,974,254 ","$226,008,612 ","$16,017,289 ","$599,071 ","$16,616,360 ","1,275"
Clay,"$2,218,055,024 ","$384,575,271 ","$26,999,726 ","$1,967,337 ","$28,967,063 ",989
Clearwater,"$315,378,281 ","$32,155,213 ","$2,282,645 ","$569,712 ","$2,852,357 ",233
Cook,"$196,478,142 ","$94,541,834 ","$6,652,784 ","$85,958 ","$6,738,742 ",406
Cottonwood,"$840,464,198 ","$64,948,490 ","$4,548,815 ","$292,377 ","$4,841,192 ",403
Crow Wing,"$2,485,069,556 ","$835,773,717 ","$58,677,192 ","$2,037,288 ","$60,714,480 ","2,309"
Dakota,"$17,649,563,446 ","$4,197,443,682 ","$293,834,491 ","$22,426,672 ","$316,261,163 ","8,568"
Dodge,"$747,595,882 ","$73,074,697 ","$5,150,226 ","$328,957 ","$5,479,183 ",444
Douglas,"$1,985,616,611 ","$513,050,405 ","$35,878,950 ","$1,205,511 ","$37,084,461 ","1,428"
Faribault,"$496,724,578 ","$84,854,373 ","$5,948,271 ","$1,242,375 ","$7,190,646 ",509
Fillmore,"$914,088,282 ","$127,686,619 ","$8,959,397 ","$360,596 ","$9,319,993 ",807
Freeborn,"$1,793,302,087 ","$268,288,182 ","$18,735,471 ","$1,274,877 ","$20,010,348 ",922
Goodhue,"$1,604,939,894 ","$314,339,599 ","$22,063,944 ","$983,470 ","$23,047,414 ","1,356"
Grant,"$499,144,796 ","$30,667,104 ","$2,136,742 ","$42,503 ","$2,179,245 ",244
Hennepin,"$81,070,348,063 ","$19,578,264,100 ","$1,376,724,834 ","$102,839,695 ","$1,479,564,529 ","31,510"
Houston,"$342,412,772 ","$69,366,727 ","$4,889,643 ","$287,388 ","$5,177,031 ",514
Hubbard,"$443,340,835 ","$141,862,984 ","$10,077,368 ","$476,519 ","$10,553,887 ",779
Isanti,"$1,012,640,621 ","$321,605,940 ","$22,446,609 ","$486,645 ","$22,933,254 ",882
Itasca,"$1,415,547,877 ","$402,935,528 ","$28,261,360 ","$680,229 ","$28,941,589 ","1,336"
Jackson,"$518,291,646 ","$57,916,687 ","$4,047,860 ","$211,232 ","$4,259,092 ",414
Kanabec,"$205,310,673 ","$56,274,689 ","$3,975,858 ","$260,452 ","$4,236,310 ",401
Kandiyohi,"$2,200,364,139 ","$544,339,741 ","$37,947,538 ","$2,881,122 ","$40,828,660 ","1,265"
Kittson,"$156,294,507 ","$22,239,455 ","$1,573,683 ","$48,303 ","$1,621,986 ",151
Koochiching,"$768,576,654 ","$99,610,838 ","$7,065,900 ","$1,880,908 ","$8,946,808 ",412
Lac Qui Parle,"$299,159,669 ","$28,183,651 ","$1,996,944 ","$219,571 ","$2,216,515 ",232
Lake,"$272,188,306 ","$81,852,857 ","$5,782,904 ","$5,733,152 ","$11,516,056 ",416
Lake of the Woods,"$123,730,197 ","$56,576,678 ","$4,015,059 ","$32,038 ","$4,047,097 ",222
Le Sueur,"$712,517,996 ","$101,100,562 ","$7,177,494 ","$412,628 ","$7,590,122 ",781
Lincoln,"$123,842,010 ","$33,385,128 ","$2,337,194 ","$54,950 ","$2,392,144 ",218
Lyon,"$2,046,616,357 ","$330,705,064 ","$23,033,348 ","$2,115,166 ","$25,148,514 ",794
Mahnomen,"$99,654,386 ","$48,536,095 ","$3,458,427 ","$30,289 ","$3,488,716 ",109
Marshall,"$244,405,642 ","$42,153,688 ","$2,966,852 ","$63,730 ","$3,030,582 ",232
Martin,"$1,444,139,910 ","$146,309,110 ","$10,261,182 ","$531,738 ","$10,792,920 ",639
McLeod,"$1,296,707,616 ","$320,940,333 ","$22,384,288 ","$1,207,094 ","$23,591,382 ","1,016"
Meeker,"$1,074,809,327 ","$140,209,586 ","$9,801,923 ","$484,946 ","$10,286,869 ",652
Mille Lacs,"$686,319,385 ","$142,719,149 ","$10,131,255 ","$92,055 ","$10,223,310 ",674
Morrison,"$874,918,841 ","$188,115,717 ","$13,293,597 ","$332,841 ","$13,626,438 ","1,046"
Mower,"$980,164,485 ","$247,869,277 ","$17,395,077 ","$1,314,760 ","$18,709,837 ",913
Murray,"$409,576,630 ","$42,175,160 ","$2,976,362 ","$100,205 ","$3,076,567 ",314
Nicollet,"$798,612,491 ","$170,767,584 ","$12,056,034 ","$1,044,012 ","$13,100,046 ",711
Nobles,"$1,321,623,509 ","$186,548,531 ","$12,976,480 ","$480,662 ","$13,457,142 ",616
Norman,"$194,233,325 ","$33,538,577 ","$2,359,249 ","$55,104 ","$2,414,353 ",207
Olmsted,"$5,842,700,697 ","$1,692,259,114 ","$118,412,203 ","$12,209,445 ","$130,621,648 ","3,317"
Otter Tail,"$2,363,772,874 ","$625,687,854 ","$43,638,226 ","$1,722,497 ","$45,360,723 ","1,869"
Pennington,"$1,122,147,111 ","$151,288,944 ","$10,590,879 ","$352,186 ","$10,943,065 ",392
Pine,"$403,895,863 ","$142,891,687 ","$10,212,169 ","$129,966 ","$10,342,135 ",722
Pipestone,"$378,027,007 ","$60,360,856 ","$4,215,995 ","$176,807 ","$4,392,802 ",326
Polk,"$921,417,546 ","$204,567,245 ","$14,361,304 ","$684,580 ","$15,045,884 ",768
Pope,"$319,269,863 ","$54,730,056 ","$3,873,660 ","$211,914 ","$4,085,574 ",345
Ramsey,"$26,676,464,847 ","$5,979,703,162 ","$416,595,621 ","$62,573,001 ","$479,168,622 ","11,362"
Red Lake,"$103,234,396 ","$23,299,321 ","$1,629,339 ","$83,152 ","$1,712,491 ",106
Redwood,"$1,502,508,087 ","$138,881,933 ","$9,760,596 ","$586,148 ","$10,346,744 ",534
Renville,"$590,336,897 ","$72,580,537 ","$5,103,937 ","$381,137 ","$5,485,074 ",463
Rice,"$2,447,527,456 ","$413,221,735 ","$29,028,673 ","$1,027,813 ","$30,056,486 ","1,460"
Rock,"$279,905,308 ","$46,336,322 ","$3,240,065 ","$365,694 ","$3,605,759 ",295
Roseau,"$657,957,414 ","$104,002,865 ","$7,305,253 ","$447,639 ","$7,752,892 ",500
Scott,"$3,857,340,205 ","$1,130,659,756 ","$79,484,697 ","$5,826,973 ","$85,311,670 ","2,998"
Sherburne,"$2,115,483,305 ","$571,327,849 ","$39,915,601 ","$1,973,838 ","$41,889,439 ","2,030"
Sibley,"$681,703,359 ","$36,890,913 ","$2,611,241 ","$531,068 ","$3,142,309 ",406
St. Louis,"$8,020,594,985 ","$2,224,503,785 ","$156,092,046 ","$20,202,200 ","$176,294,246 ","5,236"
