County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Stearns,"$7,975,158,046 ","$1,659,696,823 ","$116,216,479 ","$7,370,213 ","$123,586,692 ","4,429"
Steele,"$2,978,662,705 ","$400,235,254 ","$27,920,691 ","$1,624,614 ","$29,545,305 ","1,045"
Stevens,"$396,744,072 ","$95,510,553 ","$6,663,092 ","$631,731 ","$7,294,823 ",334
Swift,"$770,974,790 ","$66,855,752 ","$4,701,207 ","$155,970 ","$4,857,177 ",306
Todd,"$857,388,633 ","$75,172,796 ","$5,356,706 ","$202,769 ","$5,559,475 ",681
Traverse,"$112,061,272 ","$16,773,096 ","$1,184,975 ","$27,998 ","$1,212,973 ",138
Wabasha,"$501,794,976 ","$91,414,497 ","$6,527,125 ","$493,887 ","$7,021,012 ",722
Wadena,"$588,777,945 ","$120,041,366 ","$8,361,859 ","$118,476 ","$8,480,335 ",445
Waseca,"$427,986,670 ","$89,633,559 ","$6,305,791 ","$631,227 ","$6,937,018 ",464
Washington,"$10,318,764,419 ","$1,926,683,033 ","$135,841,228 ","$8,523,286 ","$144,364,514 ","5,074"
Watonwan,"$706,875,981 ","$54,120,374 ","$3,793,075 ","$407,778 ","$4,200,853 ",325
Wilkin,"$413,246,552 ","$22,511,496 ","$1,579,170 ","$77,277 ","$1,656,447 ",151
Winona,"$2,574,508,810 ","$391,343,328 ","$27,352,420 ","$3,994,133 ","$31,346,553 ","1,309"
Wright,"$4,148,294,255 ","$969,083,628 ","$68,013,549 ","$3,150,650 ","$71,164,199 ","3,138"
Yellow Medicine,"$389,867,961 ","$50,895,843 ","$3,565,376 ","$229,866 ","$3,795,242 ",358
Non-Minnesota Co.,"$59,493,207,668 ","$10,853,402,587 ","$746,655,787 ","$68,899,617 ","$815,555,404 ","17,986"
Total,"$312,838,014,297 ","$68,027,970,963 ","$4,763,691,241 ","$396,858,446 ","$5,160,549,687 ","155,392"
