County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Kittson,"$120,883,874 ","$19,089,124 ","$1,353,547 ","$54,658 ","$1,408,205 ",148
Koochiching,"$867,547,871 ","$95,624,787 ","$6,783,035 ","$1,519,784 ","$8,302,819 ",425
Lac Qui Parle,"$276,045,740 ","$27,879,213 ","$1,973,292 ","$314,471 ","$2,287,763 ",236
Lake,"$222,159,604 ","$75,256,764 ","$5,320,035 ","$4,783,910 ","$10,103,945 ",415
Lake of the Woods,"$108,536,755 ","$48,669,009 ","$3,454,310 ","$33,391 ","$3,487,701 ",229
Le Sueur,"$535,906,206 ","$90,932,187 ","$6,463,312 ","$287,452 ","$6,750,764 ",753
Lincoln,"$131,199,532 ","$26,177,615 ","$1,837,668 ","$88,513 ","$1,926,181 ",224
Lyon,"$1,781,789,640 ","$289,776,270 ","$20,183,428 ","$2,217,416 ","$22,400,844 ",821
Mahnomen,"$77,286,758 ","$41,875,342 ","$2,980,229 ","$17,152 ","$2,997,381 ",100
Marshall,"$164,057,980 ","$35,794,631 ","$2,529,426 ","$33,756 ","$2,563,182 ",254
Martin,"$1,003,563,398 ","$133,699,918 ","$9,371,443 ","$383,222 ","$9,754,665 ",698
McLeod,"$1,034,686,216 ","$291,033,310 ","$20,318,575 ","$1,151,294 ","$21,469,869 ","1,057"
Meeker,"$801,208,640 ","$123,266,816 ","$8,619,727 ","$467,117 ","$9,086,844 ",654
Mille Lacs,"$649,411,723 ","$126,438,348 ","$8,979,905 ","$156,753 ","$9,136,658 ",751
Morrison,"$853,809,232 ","$180,306,393 ","$12,762,667 ","$270,697 ","$13,033,364 ","1,074"
Mower,"$807,147,643 ","$222,550,369 ","$15,615,342 ","$1,686,996 ","$17,302,338 ",947
Murray,"$272,917,592 ","$42,774,741 ","$3,012,211 ","$130,588 ","$3,142,799 ",332
Nicollet,"$878,787,614 ","$156,938,410 ","$11,077,248 ","$756,318 ","$11,833,566 ",744
Nobles,"$671,869,902 ","$169,803,183 ","$11,815,716 ","$521,665 ","$12,337,381 ",656
Norman,"$168,867,287 ","$23,640,639 ","$1,668,066 ","$552,696 ","$2,220,762 ",230
Olmsted,"$5,023,803,549 ","$1,569,119,548 ","$109,737,839 ","$10,745,093 ","$120,482,932 ","3,473"
Otter Tail,"$2,020,801,425 ","$571,604,005 ","$39,856,092 ","$1,289,375 ","$41,145,467 ","2,001"
Pennington,"$840,537,840 ","$141,812,970 ","$9,929,665 ","$336,417 ","$10,266,082 ",399
Pine,"$383,873,226 ","$138,924,825 ","$9,912,354 ","$82,182 ","$9,994,536 ",772
Pipestone,"$293,646,085 ","$52,508,606 ","$3,672,456 ","$125,107 ","$3,797,563 ",348
Polk,"$844,424,456 ","$192,165,159 ","$13,533,322 ","$539,852 ","$14,073,174 ",783
Pope,"$285,557,154 ","$54,900,861 ","$3,874,633 ","$218,107 ","$4,092,740 ",378
Ramsey,"$23,839,668,597 ","$5,551,086,481 ","$388,548,582 ","$56,086,549 ","$444,635,131 ","11,740"
Red Lake,"$77,649,068 ","$19,285,111 ","$1,363,005 ","$36,371 ","$1,399,376 ",108
Redwood,"$1,150,166,766 ","$121,077,670 ","$8,514,616 ","$431,095 ","$8,945,711 ",556
Renville,"$517,407,843 ","$65,120,424 ","$4,584,782 ","$306,600 ","$4,891,382 ",498
Rice,"$1,933,188,054 ","$369,088,469 ","$25,959,464 ","$658,070 ","$26,617,534 ","1,560"
Rock,"$230,750,640 ","$42,906,550 ","$3,002,481 ","$155,844 ","$3,158,325 ",307
Roseau,"$582,119,614 ","$93,215,049 ","$6,540,965 ","$435,713 ","$6,976,678 ",517
Scott,"$3,261,939,860 ","$993,667,257 ","$69,902,339 ","$6,358,555 ","$76,260,894 ","3,076"
Sherburne,"$1,776,843,630 ","$505,422,022 ","$35,340,634 ","$1,234,277 ","$36,574,911 ","2,127"
Sibley,"$384,014,548 ","$32,563,890 ","$2,309,508 ","$301,610 ","$2,611,118 ",430
St. Louis,"$7,146,895,428 ","$2,037,584,445 ","$142,946,682 ","$16,042,436 ","$158,989,118 ","5,553"
Stearns,"$7,135,170,408 ","$1,496,370,352 ","$104,802,723 ","$6,482,116 ","$111,284,839 ","4,479"
Steele,"$2,856,488,768 ","$392,340,196 ","$27,342,891 ","$1,210,732 ","$28,553,623 ","1,073"
Stevens,"$282,547,609 ","$77,878,799 ","$5,441,630 ","$388,826 ","$5,830,456 ",339
Swift,"$679,488,158 ","$60,975,103 ","$4,293,335 ","$75,777 ","$4,369,112 ",332
Todd,"$708,720,901 ","$68,295,224 ","$4,882,832 ","$229,844 ","$5,112,676 ",699
Traverse,"$83,367,838 ","$15,766,769 ","$1,117,071 ","$23,297 ","$1,140,368 ",141
Wabasha,"$393,850,951 ","$80,286,175 ","$5,727,232 ","$376,293 ","$6,103,525 ",719
Wadena,"$525,360,232 ","$115,346,214 ","$8,035,870 ","$106,823 ","$8,142,693 ",459
Waseca,"$503,409,071 ","$85,926,061 ","$6,040,679 ","$417,621 ","$6,458,300 ",500
Washington,"$8,435,874,609 ","$1,742,795,274 ","$122,666,925 ","$6,743,067 ","$129,409,992 ","5,180"
Watonwan,"$568,444,290 ","$50,681,063 ","$3,557,922 ","$265,721 ","$3,823,643 ",328
Wilkin,"$328,684,884 ","$17,773,840 ","$1,254,824 ","$28,781 ","$1,283,605 ",159
Winona,"$2,133,534,777 ","$349,003,209 ","$24,426,419 ","$2,597,117 ","$27,023,536 ","1,299"
Wright,"$3,366,078,978 ","$870,333,663 ","$61,071,956 ","$2,321,587 ","$63,393,543 ","3,199"
Yellow Medicine,"$309,449,682 ","$44,195,663 ","$3,098,312 ","$162,070 ","$3,260,382 ",386
Non-Minnesota County,"$51,648,076,421 ","$9,595,744,262 ","$660,153,147 ","$58,920,180 ","$719,073,327 ","17,880"
Total,"$279,159,186,053 ","$61,871,033,079 ","$4,334,470,877 ","$338,254,232 ","$4,672,725,109 ","160,660"
