County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$340,640,113 ","$100,864,950 ","$7,139,175 ","$200,328 ","$7,339,503 ",568
Anoka,"$10,542,860,659 ","$2,722,178,496 ","$196,252,665 ","$15,676,024 ","$211,928,689 ","7,344"
Becker,"$783,568,058 ","$268,239,153 ","$18,912,200 ","$704,182 ","$19,616,382 ","1,078"
Beltrami,"$1,132,312,627 ","$394,040,856 ","$27,630,995 ","$1,361,812 ","$28,992,807 ","1,250"
Benton,"$1,532,681,525 ","$300,268,987 ","$21,126,033 ","$1,284,421 ","$22,410,454 ",991
Big Stone,"$87,252,847 ","$21,386,223 ","$1,512,601 ","$22,956 ","$1,535,557 ",219
Blue Earth,"$4,690,157,738 ","$1,000,433,717 ","$69,682,679 ","$2,236,907 ","$71,919,586 ","1,824"
Brown,"$1,182,774,019 ","$215,927,769 ","$15,164,092 ","$460,778 ","$15,624,870 ",852
Carlton,"$824,217,136 ","$190,958,108 ","$13,537,535 ","$1,182,739 ","$14,720,274 ",858
Carver,"$2,768,715,242 ","$610,924,196 ","$42,963,214 ","$2,460,615 ","$45,423,829 ","2,234"
Cass,"$475,410,167 ","$188,248,636 ","$13,475,422 ","$221,331 ","$13,696,753 ","1,151"
Chippewa,"$515,832,198 ","$105,428,191 ","$7,395,433 ","$713,720 ","$8,109,153 ",462
Chisago,"$956,170,846 ","$204,535,234 ","$14,508,882 ","$464,034 ","$14,972,916 ","1,375"
Clay,"$1,869,857,430 ","$362,841,710 ","$25,473,043 ","$1,417,964 ","$26,891,007 ","1,051"
Clearwater,"$264,487,487 ","$29,270,399 ","$2,080,569 ","$242,130 ","$2,322,699 ",255
Cook,"$177,307,665 ","$87,075,903 ","$6,116,438 ","$96,370 ","$6,212,808 ",407
Cottonwood,"$609,724,874 ","$62,377,713 ","$4,366,780 ","$243,643 ","$4,610,423 ",412
Crow Wing,"$2,214,913,701 ","$771,022,469 ","$54,153,379 ","$1,429,702 ","$55,583,081 ","2,372"
Dakota,"$15,622,656,683 ","$3,823,921,614 ","$267,687,137 ","$19,134,524 ","$286,821,661 ","8,914"
Dodge,"$514,523,108 ","$69,265,832 ","$4,883,024 ","$308,535 ","$5,191,559 ",462
Douglas,"$1,510,293,149 ","$465,502,798 ","$32,540,282 ","$894,039 ","$33,434,321 ","1,463"
Faribault,"$402,112,854 ","$81,030,887 ","$5,679,990 ","$889,836 ","$6,569,826 ",540
Fillmore,"$771,491,557 ","$115,118,200 ","$8,081,857 ","$253,006 ","$8,334,863 ",817
Freeborn,"$1,508,355,725 ","$258,631,356 ","$18,060,399 ","$1,425,449 ","$19,485,848 ",969
Goodhue,"$1,462,190,166 ","$295,426,660 ","$20,755,942 ","$693,113 ","$21,449,055 ","1,469"
Grant,"$351,154,570 ","$25,048,125 ","$1,755,720 ","$36,858 ","$1,792,578 ",247
Hennepin,"$78,672,066,986 ","$17,814,758,179 ","$1,252,439,904 ","$89,136,164 ","$1,341,576,068 ","32,659"
Houston,"$278,375,023 ","$65,352,253 ","$4,616,607 ","$166,246 ","$4,782,853 ",543
Hubbard,"$425,465,376 ","$136,350,741 ","$9,654,368 ","$238,194 ","$9,892,562 ",791
Isanti,"$916,286,705 ","$307,556,375 ","$21,489,097 ","$465,586 ","$21,954,683 ",952
Itasca,"$1,269,879,947 ","$359,101,661 ","$25,203,067 ","$537,205 ","$25,740,272 ","1,425"
Jackson,"$420,331,754 ","$54,257,795 ","$3,790,477 ","$213,507 ","$4,003,984 ",435
Kanabec,"$188,667,960 ","$55,502,425 ","$3,922,723 ","$168,336 ","$4,091,059 ",417
Kandiyohi,"$1,896,931,591 ","$470,893,190 ","$32,856,779 ","$2,113,024 ","$34,969,803 ","1,308"
