GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27097,"Morrison, MN",12046,7983,26878,54161,70731,49548,60027,96415,44819,85426,100801,127116,86916,108884,98459,55810,24399
27099,"Mower, MN",8563,6846,9013,39390,48312,44536,47549,57765,31389,75659,109194,124254,74278,36741,-28649,-54435,-44443
27101,"Murray, MN",25946,15049,34845,44471,54390,54734,63250,97772,68207,86364,115406,114771,190720,128418,116349,80468,53329
27103,"Nicollet, MN",25241,8818,30884,58563,65745,71642,39223,86399,41757,77035,99888,105482,123057,100733,47141,33323,26700
27105,"Nobles, MN",28226,17481,45292,67833,79626,69600,93478,128888,81703,113245,155652,141427,174877,146139,90063,47978,55601
27107,"Norman, MN",24205,9031,53171,24775,36649,42132,53135,89718,23327,42168,53230,64538,101916,27775,-1931,19538,-5768
27109,"Olmsted, MN",-2596,-15337,-1117,11746,19076,20871,17161,28637,3579,25378,48290,61063,43222,17774,-16406,-30070,-21760
27111,"Otter Tail, MN",21512,10702,49549,48765,50545,42902,41808,107931,29137,62320,89083,116068,173973,144207,61153,43691,7865
27113,"Pennington, MN",3297,3241,19026,1978,9124,5673,11764,21317,860,7924,19137,28201,28239,12917,20327,30951,18003
27115,"Pine, MN",469,-4199,1844,2880,2422,3075,4063,5099,-1647,7611,12315,12233,10411,14828,17778,15755,15168
27117,"Pipestone, MN",21389,1079,18237,32582,39992,36297,33290,62413,47972,79889,103029,106513,134627,125594,67609,54615,55806
27119,"Polk, MN",14746,-4503,79256,18317,44657,49422,76978,175599,49373,83447,130586,145645,269877,97435,-48996,22978,10871
27121,"Pope, MN",4316,-1337,13513,18162,24402,15046,13073,39873,15522,30899,34432,71284,65983,31647,-7095,-2762,-16109
27123,"Ramsey, MN",-753,-755,412,482,721,909,551,1060,984,1257,1708,1323,1809,1162,831,690,593
27125,"Red Lake, MN",4300,-1185,12473,2160,5417,4562,11570,17532,7591,12262,23430,29354,44238,28168,21975,27090,27005
27127,"Redwood, MN",33826,23047,51404,70802,82189,93318,90715,135858,102792,140588,136165,161277,199075,125720,55429,47842,26465
27129,"Renville, MN",28778,26665,55216,61586,86977,105274,101486,180877,98426,131114,121470,184634,238551,129891,83794,62388,46130
27131,"Rice, MN",1534,-5107,10206,26937,33189,38000,19126,32582,25669,44748,52287,72985,50099,31666,10434,-6745,-5523
27133,"Rock, MN",23700,11894,30237,47819,64206,56992,64043,94929,54898,93147,124408,124020,154835,135191,97713,71349,72434
27135,"Roseau, MN",4112,-3067,45624,3085,7042,13210,19001,42870,-972,10904,37875,54882,79286,38854,27626,43094,40683
27137,"St. Louis, MN",1247,635,1754,43,456,222,2064,-1043,-1346,2637,4065,3588,5118,4104,5092,3099,175
27139,"Scott, MN",2713,-1207,7595,13775,16125,18510,17030,29163,15934,18904,23988,32154,31643,22954,14737,8957,6204
27141,"Sherburne, MN",-1686,-144,7059,11017,17355,15389,17492,8324,-2725,886,5695,3518,3452,-592,-10128,-4233,-10004
27143,"Sibley, MN",21863,19972,33251,49827,48879,53141,46505,78764,47126,67643,74463,96041,103854,74742,55118,37957,24331
27145,"Stearns, MN",53010,31544,79517,112228,112113,90004,100904,170526,66334,139975,187341,235939,200466,227054,133661,94677,74522
27147,"Steele, MN",15023,2383,8050,17689,23942,27328,28419,40384,18203,38382,56085,82984,43450,15255,-15486,-27345,-29890
27149,"Stevens, MN",21732,14570,34956,46064,48298,52754,65801,90278,31234,73934,82711,143616,128731,115090,34665,37187,31686
27151,"Swift, MN",-343,-1116,9882,16488,30659,30296,16865,59407,28425,54984,56909,94120,73435,43274,11801,5598,-23962
27153,"Todd, MN",3029,181,10804,20855,29224,19310,17750,33375,8758,35351,50623,63256,43634,54207,50934,29803,15747
27155,"Traverse, MN",8335,3265,10186,10804,8070,19853,23372,44869,29404,44612,43636,110006,95018,41071,26812,25467,-842
27157,"Wabasha, MN",16472,7581,25312,35525,30935,20538,25914,39571,11427,31248,61002,64946,61451,62044,18519,4319,8607
27159,"Wadena, MN",-12112,-13386,-3955,127,5091,2621,3923,10870,5306,11758,17778,17558,20118,15475,10819,6042,4044
27161,"Waseca, MN",9863,2950,16672,29725,35768,37428,46100,83738,51888,74209,99762,107081,95656,68760,37556,14912,17432
27163,"Washington, MN",-7480,-9831,3302,3188,10257,16442,6729,23488,21399,30867,47036,35673,43075,25771,13651,12882,5382
27165,"Watonwan, MN",16416,6225,22726,51847,49796,51690,43321,60583,44211,56717,84561,80296,98852,58002,9778,-6389,12154
27167,"Wilkin, MN",12622,10193,32561,26032,17314,28378,29166,54782,7175,40041,35154,72983,70176,9229,-25765,-4148,-14838
27169,"Winona, MN",14955,-2002,13987,30223,28959,16582,25193,32075,7800,44818,84737,86030,83018,92172,30524,19249,20983
27171,"Wright, MN",-4405,-12429,6357,25092,27429,28055,23997,38191,19932,26673,28896,42656,24055,20034,19540,14272,5249
27173,"Yellow Medicine, MN",31128,14596,33241,45898,45111,46188,46209,70694,55302,76950,91782,91836,159795,101324,81039,70661,30651
