county.fips,county,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
27081,"Lincoln, MN",2344,2088,1406,2259,1475,115,692,2088,2057,1807,750,601,437,1305,5920,3464,4113,7467,17328,12956,8289,7635,6551,6634,12481,12908,7243,6529,6700,10323,17005,17613,15719,6499,8939,9502,17901,10471,6697,6672,6514,6858,6390,7729,8441,5968,15173,10721
27083,"Lyon, MN",3847,3255,2390,3732,2596,321,1011,6392,3847,3122,1658,1635,944,2482,10935,4849,7249,14332,22493,21627,10298,8787,6758,6626,16638,9936,8333,5441,7239,15958,29336,28059,25231,7208,11571,14603,28509,14372,8136,8465,8044,8999,8197,9348,13219,6833,19691,7243
27085,"McLeod, MN",1677,1263,1076,1863,1109,140,152,205,848,1139,422,401,337,990,5511,3593,3880,6579,11379,9330,6624,3872,3046,3138,5491,5679,3796,2997,3960,7613,16991,17317,13749,5259,9226,7908,18701,9074,4985,5489,6150,5022,5782,6431,6179,2569,14101,5351
27087,"Mahnomen, MN",589,600,401,684,383,158,133,105,349,2527,477,436,1087,2116,5568,7700,3652,6563,7259,3954,1554,2037,2925,2652,4122,3161,2353,2204,2279,4523,7373,9256,7796,3011,5218,3628,7307,3570,3065,3769,2876,4859,4722,3324,3376,2305,5066,5962
27089,"Marshall, MN",3683,3649,2633,4180,2841,888,1121,239,3353,11192,2424,9604,4873,11136,26272,47117,19116,35591,35961,31055,17907,21999,23422,20755,29163,23820,23380,17192,16748,24957,42738,52658,35321,17101,30394,19015,29456,17916,18256,22573,16291,20429,18138,17893,15794,8836,19340,26536
27091,"Martin, MN",5859,5022,3678,5930,2851,75,118,485,210,1785,1534,1259,805,5269,15890,7390,10844,20093,31287,26291,10094,11412,7650,8616,24743,15745,11414,4899,9299,21772,34587,37104,29654,8331,15721,18669,38479,18855,10874,10994,10110,11634,10565,10555,9156,1400,27217,17163
27093,"Meeker, MN",2159,1898,1366,2277,1363,211,199,243,387,1677,745,476,543,1541,7125,5353,5247,10488,18478,17612,9420,6914,5328,5326,9733,8267,5788,4277,5653,9273,20580,19769,16458,6651,9728,9113,19194,11123,6171,6952,7026,6241,6538,7042,7419,2782,16213,6473
27095,"Mille Lacs, MN",364,335,200,350,230,100,296,190,569,271,129,52,100,195,917,3096,1160,1731,2872,2754,2415,1149,769,789,1331,1185,795,711,972,1603,2771,3273,2216,1394,2307,1408,3029,1997,990,1974,1573,1145,924,1267,1187,529,2298,330
27097,"Morrison, MN",933,838,579,962,548,94,563,770,2477,722,403,166,244,708,2754,4193,2278,4113,6765,8793,10729,4654,2532,2784,6903,5142,3102,2764,3390,4339,10282,11072,7128,6679,10900,4748,14261,7900,4086,8898,8406,3352,5115,7366,6547,5106,11513,3818
27099,"Mower, MN",3873,3573,2270,3802,2064,52,961,487,596,1769,1194,718,846,4087,14698,6225,8811,16231,28151,23404,10170,10038,8006,8367,21569,11318,9697,5092,8473,17512,29750,32195,28188,9242,14482,15686,34022,15935,8741,8654,9199,14038,8541,9167,7814,3105,18340,13617
27101,"Murray, MN",3439,2529,2067,3144,2059,87,617,1559,2916,2493,1383,958,701,1406,9817,3777,6336,13026,20240,18442,8324,7942,6259,6519,18773,15923,7930,5001,7100,15525,27119,27894,24996,8106,12540,14283,29601,16810,9426,9581,9509,9147,10527,12644,12488,8913,28051,10527
27103,"Nicollet, MN",2756,2073,1729,2781,1376,141,275,383,442,1039,975,960,554,2188,6622,3111,4682,9058,15008,14328,8699,5174,3679,4221,7990,4748,5284,3086,4575,11056,19420,20107,16399,5053,8638,9652,19101,10096,5477,5302,5968,5245,5374,5783,4609,674,9545,1390
27105,"Nobles, MN",3522,2817,2494,3816,1999,282,2017,1628,1271,2139,1174,1336,682,2993,9807,4569,7426,15133,24591,19534,8489,8619,6477,7158,21497,20296,9212,4598,7404,17017,29972,30892,26769,9033,13748,15135,32492,16085,8651,10107,8914,8501,8844,9657,9542,6862,27440,10607
27107,"Norman, MN",2421,2569,1768,3172,2109,865,1141,139,1859,7472,1860,1681,3774,7623,17126,29904,11985,22271,24565,14613,8050,11760,14198,11629,16006,12545,11178,9322,9369,16003,28977,29735,26393,8686,18785,12317,17805,10321,9342,11123,9172,11629,10307,8735,9189,3269,9251,5812
27109,"Olmsted, MN",2089,1831,1359,2257,1356,210,470,371,292,1377,768,599,280,2048,8955,4982,5591,9933,21515,17266,8970,7935,6852,7092,13077,9848,8081,5781,6714,11332,19082,19443,15521,6871,10898,9672,20507,11031,6245,6060,8033,6034,5813,7078,6215,2509,13980,14198
27111,"Otter Tail, MN",2723,2526,1872,2940,1768,390,661,1749,5118,3684,1497,536,1704,2368,9465,8984,6781,14906,21851,17727,15483,11116,9056,9020,15417,12493,8528,8737,9768,13877,24899,28340,22714,12917,18529,13032,25663,15891,11392,15080,14089,12727,11520,13961,11824,7215,22400,10704
27113,"Pennington, MN",561,622,365,649,359,94,155,110,328,2608,676,1595,1738,3682,6835,13414,4840,10066,12126,8936,6032,6929,7777,6548,7662,8142,8347,5902,5720,7119,13059,17384,11384,5119,8978,6115,10601,5964,7461,7038,6245,8078,7326,7064,6406,4741,6734,9390
27115,"Pine, MN",487,413,235,372,270,114,307,191,608,470,250,167,148,239,1006,2320,925,1959,2914,2842,3961,1495,866,954,1937,1206,830,771,778,1614,2589,3143,1862,1377,2753,1363,2529,1810,1014,1229,1914,1840,911,1259,941,381,1907,285
27117,"Pipestone, MN",1634,1386,1173,1807,1226,249,287,1703,1938,1303,775,734,466,989,5084,2115,3546,7381,11359,9877,6160,4549,3635,3797,11556,11700,4379,3348,4495,8360,14569,15072,14014,4802,7062,8038,15787,9101,4480,5587,5255,4230,4493,5291,4725,2403,13780,1942
27119,"Polk, MN",5616,5993,4205,6595,4437,2343,2088,253,3457,15019,2996,1048,5973,11691,31909,50144,22462,41376,41758,30286,17220,24341,26801,22562,30044,23498,23154,18589,17562,30496,50477,59937,47551,20320,31578,23979,34087,21838,21407,21568,18705,21822,19682,19270,16985,7877,14411,28064
27121,"Pope, MN",1454,1321,1028,1705,968,211,326,543,1145,1466,924,632,765,1692,7558,4453,4922,9905,15770,13991,7274,5939,5518,5198,9408,6664,5257,4460,5078,8454,16953,17754,15333,6571,10365,10300,17156,9591,6574,7685,7040,6852,6421,6916,7105,3982,12100,9792
27123,"Ramsey, MN",(L),(L),(L),(L),(L),(L),(L),0,(L),(L),0,0,0,0,(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),(L),0,0,0,(L),(L),0,0,(L),(L),(L),(L),(L),0,0,0,0,0,(L),0,0,0
27125,"Red Lake, MN",504,596,339,589,436,95,120,76,390,2215,955,1108,1447,3128,5178,10378,3810,7497,9673,7407,4522,4826,5451,4965,6187,5260,5227,4187,4118,5588,9380,12462,8989,3965,5792,4688,7437,4627,4600,4466,4191,4431,4402,4596,4177,2614,3829,3677
27127,"Redwood, MN",5284,4292,3335,5363,3036,130,286,2914,4882,2622,1772,968,838,2918,15646,4455,8564,16980,28008,28914,11666,11181,8087,8327,23637,12711,10798,6766,9003,21867,36552,38355,32533,9378,17143,18652,39397,20513,10782,11419,10369,11136,10704,11081,14766,5728,25522,10911
27129,"Renville, MN",6485,5908,4195,6184,3563,194,567,1330,2554,2001,1613,1699,1371,3767,15258,4153,9068,17685,29106,26522,14674,10460,7434,8037,19792,15651,10054,7273,9371,22597,41642,40806,36237,10953,19756,19408,42353,22022,11890,12768,12158,12522,12394,13092,17218,4611,35599,17693
27131,"Rice, MN",1787,1538,1202,1930,1101,141,302,158,204,1126,352,503,1070,1196,6057,3548,4407,8407,16640,12446,7314,6280,5280,5243,8865,6710,6070,4597,5579,8508,14811,15387,13114,5630,8539,7099,15594,9674,5222,5179,6415,5386,4775,5952,5078,2147,10559,5582
27133,"Rock, MN",1969,1712,1607,2471,1482,132,2033,1696,1688,1735,827,738,359,1515,8157,3313,5345,9972,16135,13363,5559,5776,4424,4823,12296,9876,5941,3486,5188,12170,20778,21061,18900,5713,8871,10108,21343,11664,5386,6047,5799,5421,5386,6240,5523,3807,18851,6340
27135,"Roseau, MN",990,1134,652,989,568,207,152,158,692,3925,944,4905,2428,4593,8820,22748,8513,15950,16909,15413,10941,11949,12563,11915,16084,14458,9029,9904,9397,12175,17995,30016,17681,8893,18275,10229,18972,10246,11761,11794,9233,11616,12204,10702,10049,8076,10425,13375
27137,"St. Louis, MN",74,75,92,106,69,118,142,152,234,235,75,(L),216,129,369,721,246,211,246,393,857,278,232,201,203,321,220,132,91,84,370,334,101,321,444,106,111,123,116,175,355,886,211,381,190,274,685,396
27139,"Scott, MN",1038,901,644,1023,651,125,208,162,113,500,212,193,431,452,2318,2456,1610,3585,5470,4965,3827,1777,1396,1268,2479,2366,1711,1565,1758,2917,7338,7384,5937,2605,4695,3605,6744,3893,2367,2803,3216,2163,2240,2754,1481,867,2302,1144
27141,"Sherburne, MN",669,635,412,675,398,98,188,613,286,403,349,188,248,700,1827,1417,1509,2627,4043,4390,3544,2056,1326,1441,2493,1382,1211,887,1215,2295,3812,3599,3533,1069,1950,1862,4205,2058,1405,1983,1214,1512,1016,1088,976,162,2614,1606
27143,"Sibley, MN",2933,2310,1850,2439,1690,154,309,257,1099,1384,594,683,489,1429,7242,4072,5905,10564,17689,14604,9582,5756,4430,4383,8335,8500,5697,3677,5346,11604,22538,22640,18525,6149,11120,10689,23533,12005,6057,6103,6784,5709,5947,6749,7246,3082,16916,11341
27145,"Stearns, MN",1830,1728,1480,2315,1497,171,679,1423,2025,1837,1044,751,563,1367,6715,11493,7134,11136,20491,20512,28609,10143,8106,7462,15309,13335,9100,7306,9886,14290,30489,34893,21119,16310,30192,17345,31003,21258,10992,19354,24790,11555,10534,18247,15259,8074,26481,6671
27147,"Steele, MN",2386,2086,1532,2439,1348,67,383,417,306,1293,833,847,589,2453,7489,3984,5425,9937,18258,14652,7491,7170,5787,5983,11925,9970,6917,4565,5580,10387,19370,19207,16202,6256,8805,9338,19929,10783,6005,5886,6477,6070,5835,6126,5541,1912,10623,8310
27149,"Stevens, MN",2109,2036,1331,2336,1480,198,91,876,744,2264,781,581,1240,2470,9094,6329,6012,11697,17130,16877,7696,7376,6952,6034,15016,6415,6469,5967,5884,14317,23887,25434,21602,6028,10646,12268,23851,11806,6606,8027,5970,7684,6806,6962,8496,2627,13345,15094
27151,"Swift, MN",3391,3239,2209,3565,2109,232,394,594,1270,2237,1941,1380,1091,3956,15430,6785,8339,14818,22498,19076,9073,8900,6741,6308,13281,9118,6939,5808,6865,16135,25975,28498,24742,8861,12599,13809,29431,15769,9183,10538,9583,12468,9183,9266,8818,3556,19507,18653
27153,"Todd, MN",1324,1213,779,1195,727,92,706,910,3102,781,405,214,192,445,2419,4589,2444,4421,6125,10006,6541,4216,2669,2482,6223,4437,2957,2977,3715,4649,9725,10561,7345,5229,9063,3803,11320,6364,3783,6343,6108,3821,3833,5538,4627,2909,8513,2713
27155,"Traverse, MN",1782,1737,1128,1946,1157,302,195,659,738,2756,642,378,1657,2260,7652,6987,5079,12545,11283,10644,5806,5307,5461,4360,9069,5165,4421,4343,4414,10911,17640,20862,19493,5256,8421,9480,19512,9640,6445,7875,5507,15690,6468,8295,14993,6916,14054,11205
27157,"Wabasha, MN",1167,1032,979,1521,931,311,331,163,166,1055,621,433,409,1142,4011,4080,2938,6604,11311,8763,6251,4260,3745,3995,7968,6027,4477,3552,4277,6394,13512,13918,9607,6098,9855,7594,14105,8659,4525,4411,8542,4342,4060,5860,4614,2320,9876,8194
27159,"Wadena, MN",536,489,329,501,353,281,263,606,888,427,211,153,163,284,1068,1732,1031,1761,2369,2475,2935,1694,975,1041,2355,1355,961,812,1251,1443,2637,2714,2177,1875,1961,1656,3470,2070,1462,2065,2333,1720,1412,2305,1792,1083,2235,2066
27161,"Waseca, MN",3018,2524,1931,3135,1567,(L),125,77,275,992,960,832,771,3027,10051,4339,6748,12432,21088,17278,6831,7746,5483,5574,11932,7046,7100,3998,5685,13012,20872,21354,17946,6221,9224,10007,21751,11802,6476,6592,6264,6862,6932,7529,6101,3874,14109,10266
27163,"Washington, MN",797,753,440,748,416,92,101,116,259,487,232,141,254,574,1569,930,1236,2223,3278,3988,2952,1206,1186,1245,2548,1194,1210,804,1044,1976,3506,3461,3007,1001,1854,1379,3838,1671,808,1062,879,1654,724,863,723,233,1722,513
27165,"Watonwan, MN",2930,2312,1886,2947,1413,(L),125,328,153,1323,624,493,422,2078,8835,2925,5708,10239,17201,14782,6206,6451,4497,5549,11855,6583,6496,3356,5044,11984,20434,21169,17798,5459,8514,10101,20441,11808,6007,6063,5632,5539,5696,6107,5901,2177,12851,10474
27167,"Wilkin, MN",2477,2454,1565,2906,1770,198,856,484,1656,5241,973,836,2292,2602,10890,8270,7249,11859,13196,11080,5622,6982,7118,6497,9146,7594,3698,5347,5297,11317,19764,22524,20696,6740,9762,9246,11994,7768,6479,8779,5881,11856,10113,6491,6520,2725,8682,6993
27169,"Winona, MN",1032,876,759,1250,843,128,170,112,142,880,393,259,460,1530,3741,5345,3540,7229,11030,9479,5611,4120,3612,3666,7203,5216,4570,3224,4030,6083,15031,15052,9608,7124,11044,7777,13556,8936,5013,4810,11021,4689,4378,7478,5897,2152,8821,8189
27171,"Wright, MN",1645,1425,962,1611,943,111,192,327,369,760,319,208,287,556,2819,4178,2414,6725,8564,9916,8010,3668,2922,2782,4838,3115,3171,2532,3487,6643,12279,13460,10836,4514,8829,6435,13247,6981,3932,5331,5735,4158,4022,5152,4507,1092,9561,1398
27173,"Yellow Medicine, MN",4022,3557,2641,4120,2551,245,465,6137,1726,3122,1756,1080,1150,3291,13694,5131,8193,15427,25478,24244,11026,10005,7432,7534,17549,11083,8755,6773,8036,17324,29454,31955,27351,8474,13303,15533,30927,16214,9299,9577,9495,17010,9884,11394,13560,10729,24382,15853
