GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27097,"Morrison, MN",170369,162558,168661,177087,173414,191838,244747,259036,252543,251857,289910,324776,358745,374174,350443,354689,363430
27099,"Mower, MN",183508,180134,184254,201593,206748,212923,268983,320445,313974,312551,350513,402174,424182,409943,384758,384626,401348
27101,"Murray, MN",140617,134648,137173,148134,150516,154443,195925,232629,230245,232788,260975,297018,314866,339399,316344,314491,330431
27103,"Nicollet, MN",154351,141328,150677,164979,167301,174492,224012,253801,252250,255018,288169,325291,350305,366224,344088,347279,359999
27105,"Nobles, MN",190976,185593,197109,213628,213660,220337,284226,320756,313624,314210,350317,388149,419062,448714,415194,415047,434277
27107,"Norman, MN",98360,90621,98198,99659,102802,113981,142006,180518,180870,179987,200256,235508,240960,244432,235375,235078,251261
27109,"Olmsted, MN",134636,135140,132464,134774,132094,130786,158576,177177,172065,166957,184595,211133,220609,226566,215293,216616,224997
27111,"Otter Tail, MN",235078,228047,223291,233354,232697,236802,300948,332640,328538,324251,365199,422837,444664,455521,434267,437782,453016
27113,"Pennington, MN",30212,28200,29600,29339,31057,33069,42194,54874,53050,51330,57131,66335,68257,70299,66687,66442,69512
27115,"Pine, MN",41737,41885,41214,44601,43317,42989,51689,53946,52007,49087,52964,59419,63248,65101,63505,64603,67039
27117,"Pipestone, MN",118181,109679,114759,123650,123168,127077,163023,183452,182777,185884,213787,242234,262983,284752,261478,272787,284853
27119,"Polk, MN",234421,225229,229757,231937,242740,265378,321998,378428,380826,375651,418842,498675,535830,525467,505724,510220,531976
27121,"Pope, MN",102600,102001,97162,101406,102389,102931,124808,145553,144711,143638,161932,188772,198206,203371,193175,194778,202649
27123,"Ramsey, MN",4877,4366,3386,2924,2408,1947,1890,2011,2142,2036,2024,2620,2430,2462,2442,2579,2616
27125,"Red Lake, MN",30202,30492,28861,30469,31359,31500,38554,43514,42240,40949,45467,52969,54313,55558,53232,53023,55169
27127,"Redwood, MN",221572,210224,219253,234406,235958,242697,300939,354434,345051,342666,371601,409620,433482,455885,429444,428222,447461
27129,"Renville, MN",304570,288995,288966,301826,295317,298980,363614,431286,430489,430591,484133,566287,590434,607778,579335,581254,604896
27131,"Rice, MN",124344,112343,109737,115046,114289,114993,137528,155045,150216,147311,163363,184511,194595,201073,190241,191576,199135
27133,"Rock, MN",157002,152401,162822,177481,180956,187517,241402,268567,261692,262838,287670,316571,342268,390789,354314,351865,370373
27135,"Roseau, MN",75168,72893,69484,71728,71894,71609,86605,98326,96401,94587,106186,123911,128043,130410,124489,124449,129260
27137,"St. Louis, MN",13733,13789,15592,16569,16131,16085,15171,19443,17829,16080,16524,17856,18670,19571,18312,18580,19484
27139,"Scott, MN",59495,59813,59820,59332,56970,54670,64151,73518,72038,71476,79707,92836,97277,103301,96825,97127,102017
27141,"Sherburne, MN",45677,45190,45132,46612,47779,48546,55914,72850,71860,69290,75357,88715,90339,90018,85947,85775,89437
27143,"Sibley, MN",160619,153145,154430,165304,168329,173473,218794,255289,250832,248006,278460,318271,338753,347377,329722,331878,343750
27145,"Stearns, MN",354551,342497,349722,391117,391937,397117,507888,530953,516200,505753,571576,642901,695895,736580,690797,699754,723478
27147,"Steele, MN",116500,126109,131150,141057,139014,139582,172600,196500,190711,187809,209283,239882,253717,256498,236919,237256,246610
27149,"Stevens, MN",118410,113162,125329,143146,148614,156107,204184,239724,243343,247778,287202,335454,357668,374453,348666,351869,367216
27151,"Swift, MN",161826,162364,160190,166493,163506,166443,212571,234775,223839,216755,239649,267960,283537,290213,276935,277441,285694
27153,"Todd, MN",115685,106382,108488,115113,114926,119103,155094,162950,158028,154867,174014,196216,211153,218035,209952,211941,213770
27155,"Traverse, MN",80925,80642,81983,88839,89918,92497,110289,134653,134215,134979,152350,177558,185050,184329,176352,182367,190860
27157,"Wabasha, MN",107216,101973,100238,105706,107981,110540,139350,152509,149705,146473,164162,189654,199088,204247,193681,196621,204884
27159,"Wadena, MN",59111,55453,49072,45811,41442,38245,42873,44064,40689,38111,40468,44517,46956,48622,46094,46607,48578
27161,"Waseca, MN",119016,111577,115701,126182,128665,134304,177265,198118,191096,188681,206825,227027,243773,255179,236995,237656,247916
27163,"Washington, MN",66061,67433,67955,69946,68149,64120,74289,72014,72317,66742,67873,80629,79460,80507,79055,81113,83557
27165,"Watonwan, MN",129026,125531,127116,138055,134262,135177,159443,191101,186474,186308,207457,228772,245051,255311,237881,238533,249421
27167,"Wilkin, MN",102315,100197,104924,109427,108172,111940,132013,168759,172853,174940,199779,240483,245615,239651,230606,231266,241481
27169,"Winona, MN",150154,145888,143531,148317,146946,149307,189873,198787,190354,182142,200223,224893,239044,246316,231467,235436,244459
27171,"Wright, MN",118003,115704,109625,112335,110771,110544,136667,154291,156069,155539,175752,206761,215459,221484,205891,209508,217852
27173,"Yellow Medicine, MN",135151,130975,132528,141527,143054,146679,180981,215056,213158,213694,239375,272204,296475,299400,294167,284751,297210
