year,cash.receipts,countyfp,other.income,expenses,net.income,Total.acres,Dem_RUCA,Dem_Desc,edr,planning.region
2011,255144000,039,13070000,203053000,60298000,247734,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2011,91705000,041,12915000,87754000,13551000,243284,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2011,378864000,043,23149000,293586000,98610000,413522,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2011,327021000,045,24906000,270090000,74822000,445241,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2011,369305000,047,25974000,298401000,90219000,413359,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2011,379806000,049,24368000,312263000,84787000,366233,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2011,132595000,051,32257000,130811000,26728000,300065,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2011,68671000,053,10975000,55702000,23510000,46098,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2011,130832000,055,9992000,104578000,33970000,173719,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2011,44127000,057,2779000,35140000,11002000,85083,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
