year,cash.receipts,countyfp,other.income,expenses,net.income,Total.acres,Dem_RUCA,Dem_Desc,edr,planning.region
2009,97108000,019,11851000,95431000,9733000,165995,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,22499000,021,3515000,31202000,-4976000,130380,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2009,210324000,023,31034000,194409000,38721000,334171,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2009,37476000,025,5745000,42553000,-575000,148406,D,Entirely urban,EDR  7E- East Central,Central Minnesota
2009,218335000,027,26767000,230906000,-1009000,557545,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
2009,20608000,029,3154000,23655000,-240000,274932,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2009,0,031,0,0,0,1839,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2009,267054000,033,26550000,238051000,41544000,376376,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,28964000,035,1841000,20095000,10698000,154514,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2009,203835000,037,21775000,190923000,29271000,175184,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,181962000,039,20831000,185129000,8925000,251420,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2009,72904000,041,12221000,77941000,3328000,232171,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,311361000,043,28972000,280450000,42216000,413731,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,228238000,045,34206000,242043000,11423000,494697,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,268779000,047,32657000,270715000,15911000,374286,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,278315000,049,34220000,279713000,22684000,368898,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,118326000,051,22115000,119068000,13601000,294931,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2009,60382000,053,10103000,60781000,8476000,56857,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,90475000,055,13808000,94729000,7435000,178819,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,33029000,057,2262000,35104000,1965000,84790,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2009,36268000,059,5519000,46215000,-6000000,105631,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2009,7472000,061,690000,11270000,-3028000,64408,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2009,299909000,063,27320000,247084000,64697000,410405,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,22035000,065,2174000,26965000,-3238000,119489,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2009,336092000,067,29947000,312151000,44571000,373720,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2009,95865000,069,22504000,108414000,-1383000,473033,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2009,6834000,071,866000,6464000,1250000,119108,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2009,211483000,073,35794000,180686000,54150000,432144,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2009,362000,075,60000,457000,-29000,933,B,Town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2009,7885000,077,2590000,9924000,-402000,77084,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2009,156437000,079,20027000,157750000,11218000,195579,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,149987000,081,20632000,144802000,18229000,316565,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2009,316095000,083,25730000,288115000,39872000,412609,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,149020000,085,16441000,152589000,6308000,245251,C,Urban/town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2009,40917000,087,11462000,55417000,-6750000,167363,A,Entirely rural,EDR  2 - Headwaters,Northwest Minnesota
2009,185990000,089,36668000,205409000,-1893000,824843,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2009,441605000,091,31700000,392774000,61015000,402277,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,210374000,093,20885000,211942000,11747000,301688,B,Town/rural mix,EDR  6E- Southwest Central,Central Minnesota
2009,34850000,095,4360000,38522000,14000,110578,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2009,280163000,097,17199000,252543000,43028000,509542,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2009,307253000,099,38110000,313974000,15351000,406862,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,271129000,101,27323000,230245000,54398000,405201,A,Entirely rural,EDR  8 - Southwest,Southwest Minnesota
2009,275734000,103,18273000,252250000,32097000,253103,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,371042000,105,24285000,313624000,66197000,399617,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,179167000,107,25030000,180870000,9996000,467667,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2009,153356000,109,22288000,172065000,-2869000,299808,D,Entirely urban,EDR 10 - Southeast,Southeast Minnesota
2009,311829000,111,45846000,328538000,20190000,688912,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,39635000,113,14275000,53050000,-5339000,306811,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2009,46478000,115,3882000,52007000,-2096000,113939,C,Urban/town/rural mix,EDR  7E- East Central,Central Minnesota
2009,215353000,117,15396000,182777000,40507000,278271,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,364794000,119,65405000,380826000,29922000,1032270,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2009,140405000,121,19828000,144711000,9297000,288974,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,3035000,123,91000,2142000,972000,597,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,41532000,125,8299000,42240000,3290000,229114,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
2009,415964000,127,31879000,345051000,83793000,517503,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,489995000,129,38920000,430489000,80465000,571895,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
2009,156871000,131,19014000,150216000,19341000,213629,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,301013000,133,15577000,261692000,44479000,283173,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
2009,66936000,135,28493000,96401000,-11985000,574943,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
2009,14468000,137,2015000,17829000,-1135000,67671,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2009,76082000,139,11890000,72038000,13257000,108462,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,65365000,141,3770000,71860000,-3855000,85296,D,Entirely urban,EDR  7W- Central,Central Minnesota
2009,274971000,143,22987000,250832000,36698000,308087,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,535655000,145,46879000,516200000,58782000,705303,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2009,188183000,147,20731000,190711000,9143000,221299,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,253626000,149,20951000,243343000,21716000,326254,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,221963000,151,30301000,223839000,19038000,418965,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2009,153162000,153,13624000,158028000,6218000,358891,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2009,140112000,155,23507000,134215000,18517000,324699,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
2009,141251000,157,19881000,149705000,7805000,217099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,40871000,159,5124000,40689000,5100000,102394,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2009,222309000,161,20675000,191096000,42094000,233520,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,85482000,163,8234000,72317000,20370000,57743,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2009,211287000,165,19398000,186474000,33815000,246917,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2009,150140000,167,29888000,172853000,-4829000,440961,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
2009,176850000,169,21304000,190354000,4516000,170447,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
2009,160009000,171,15992000,156069000,14386000,308591,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2009,237695000,173,30765000,213158000,42417000,437515,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2010,16179679000,000,1177927000,13654044000,2874349000,25126601,NA,Minnesota,Minnesota,Minnesota
2010,24305000,001,1886000,15283000,10785000,100335,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
2010,47070000,003,2622000,38093000,10858000,38383,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,178064000,005,15290000,165040000,20803000,334891,C,Urban/town/rural mix,EDR  4 - West Central,Northwest Minnesota
2010,22179000,007,2938000,22948000,1626000,190243,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2010,136330000,009,4832000,112675000,24529000,166506,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
2010,112285000,011,11614000,97840000,16630000,264619,A,Entirely rural,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2010,397954000,013,19572000,321907000,79765000,388031,D,Entirely urban,EDR  9 - South Central,Southwest Minnesota
2010,324285000,015,16087000,251234000,74911000,345835,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
2010,9678000,017,943000,11118000,-499000,100253,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
2010,108841000,019,7030000,91837000,17377000,164250,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
2010,28589000,021,2336000,31146000,-803000,131532,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
2010,233367000,023,22039000,197454000,41786000,332750,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
2010,43807000,025,4443000,40942000,4855000,146017,D,Entirely urban,EDR  7E- East Central,Central Minnesota
2010,256592000,027,24515000,234771000,29050000,558641,D,Entirely urban,EDR  4 - West Central,Northwest Minnesota
2010,29094000,029,2629000,22600000,8363000,263749,B,Town/rural mix,EDR  2 - Headwaters,Northwest Minnesota
2010,0,031,0,0,0,1650,A,Entirely rural,EDR  3 - Arrowhead,Northeast Minnesota
