GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27051,"Grant, MN",23605,8211,13382,15003,23564,15347,14061,27635,22115,17861,32257,23477,34247,44739,56753,33095,20318,28506
27053,"Hennepin, MN",6232,4157,7902,8401,11261,10200,9994,12713,10103,7333,10975,14355,17148,25240,17305,15905,14708,17097
27055,"Houston, MN",15376,9615,12519,10398,15139,11056,7410,13368,13808,8918,9992,13109,15029,17785,19429,12465,13176,15924
27057,"Hubbard, MN",4178,3171,4528,4271,6567,5237,5026,3548,2262,2707,2779,3567,4412,5388,6097,4110,3710,3494
27059,"Isanti, MN",6460,2665,5158,5363,9225,7478,6609,7533,5519,3360,5003,4558,7349,15479,8646,5306,3533,5887
27061,"Itasca, MN",1346,1137,1329,995,1126,793,702,825,690,1620,806,841,2222,1547,2828,1681,757,906
27063,"Jackson, MN",36902,13136,21159,22395,37297,25993,16713,34657,27320,18528,22202,25966,31905,47360,53854,31222,31935,42509
27065,"Kanabec, MN",3485,2276,4100,3227,4722,3944,3354,3097,2174,1508,2468,2404,4460,7728,4482,2883,2215,3406
27067,"Kandiyohi, MN",32206,14071,23379,23545,39774,28710,23436,32661,29947,20688,28320,33183,40077,59004,63047,39203,36865,40836
27069,"Kittson, MN",24431,13367,24489,16612,24804,15940,19192,27196,22504,21642,29539,25294,23877,27879,26393,27077,29291,29823
27071,"Koochiching, MN",844,556,971,593,795,527,483,923,866,767,803,1046,4228,3588,4455,3904,801,866
27073,"Lac qui Parle, MN",32087,11884,16977,18122,32389,19092,13278,46294,35794,33249,28691,32651,28809,38465,44119,30275,29199,41400
27075,"Lake, MN",26,17,45,67,80,87,98,91,60,47,56,58,123,94,334,325,175,198
27077,"Lake of the Woods, MN",3458,2300,4047,2446,3160,2095,1967,3185,2590,2120,1925,2228,8692,5982,9081,7961,3770,3834
27079,"Le Sueur, MN",19369,7618,12600,13819,22792,16402,12723,24162,20027,13506,20262,24058,28969,38220,32093,18914,21625,31711
27081,"Lincoln, MN",20458,9331,12750,13077,21708,14060,10110,28652,20632,16008,25324,26707,31022,37886,50577,32011,31309,35138
27083,"Lyon, MN",30667,9810,15286,18302,32622,18406,12075,34918,25730,16980,31515,30363,52161,53908,70504,40667,27546,41569
27085,"McLeod, MN",19717,7558,14325,14273,26876,17849,14265,21585,16441,10933,22397,19798,30884,59272,40062,19385,20077,25458
27087,"Mahnomen, MN",11197,5474,8433,6538,10317,6326,5635,10491,11462,9130,10121,8388,14199,15186,23089,23765,8183,12187
27089,"Marshall, MN",44390,24507,40293,28162,39091,26865,26722,45309,36668,35198,51117,37905,33414,47281,37792,66647,53406,62436
27091,"Martin, MN",39711,14872,25524,28560,49653,29822,21758,36199,31700,22070,25709,31432,29670,54710,56139,26186,27394,54907
27093,"Meeker, MN",23281,10980,17814,18423,30650,23072,18580,24793,20885,15084,25580,27546,34007,50228,41101,30623,27841,34552
27095,"Mille Lacs, MN",4223,2516,4480,3989,6253,5405,4541,5535,4360,2409,5026,3792,8454,11918,6267,3774,3281,4414
27097,"Morrison, MN",14861,10196,22454,20860,36117,32057,30225,22363,17199,8619,15084,17439,52900,38964,48727,31756,14848,18159
27099,"Mower, MN",40784,17089,25128,25650,44634,25884,18229,38522,38110,27288,27159,42866,100891,67432,56321,31053,38559,46535
27101,"Murray, MN",30702,10757,17151,19436,35821,23240,16026,31665,27323,19600,26686,38355,56706,62015,93429,53777,30073,49255
27103,"Nicollet, MN",24046,8321,14358,16040,26808,18044,13648,20196,18273,14191,17950,30952,29488,41514,34161,18855,17693,28750
27105,"Nobles, MN",36232,14923,23263,25232,44296,27982,20692,33147,24285,16829,21321,34042,40053,52587,65348,34627,31628,42758
27107,"Norman, MN",33100,13117,25090,18436,24519,16766,15621,31831,25030,20553,29366,25878,24787,33996,34066,36463,24214,30102
27109,"Olmsted, MN",23470,12064,18860,17881,29909,20377,15582,24690,22288,13383,15550,20107,55552,28878,33411,17448,26002,27804
27111,"Otter Tail, MN",35247,20595,31927,27990,43710,34516,30528,64325,45846,31699,36319,37329,96790,126707,79014,43564,30245,37255
27113,"Pennington, MN",14689,7807,12912,10018,14958,10203,11635,14901,14275,13897,14934,12785,17522,21613,26508,24400,20469,24464
27115,"Pine, MN",5307,3193,5145,3593,4880,4012,3086,4218,3882,2987,3030,3157,4951,8517,5134,3240,2286,4860
27117,"Pipestone, MN",16987,6594,10654,12321,21160,14786,10433,20205,15396,9816,15841,22661,18002,24460,30993,15860,12435,22390
27119,"Polk, MN",68367,35947,50558,39931,49489,35007,32943,74394,65405,57729,66075,65915,101131,112982,64761,77719,55536,65812
27121,"Pope, MN",23025,10666,17761,18659,27327,20119,17455,24499,19828,13832,17278,19459,29306,32143,30060,20621,16660,25543
27123,"Ramsey, MN",15,9,65,23,41,43,33,81,91,88,135,207,276,316,253,247,219,236
27125,"Red Lake, MN",12191,6503,8950,7421,10153,7020,6752,9289,8299,7754,8709,8117,11794,12237,15515,9477,8363,13284
