County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$373,410,703 ","$106,052,280 ","$7,505,953 ","$212,581 ","$7,718,534 ",508
Anoka,"$12,128,480,204 ","$3,027,311,009 ","$216,127,126 ","$19,461,422 ","$235,588,548 ","7,215"
Becker,"$1,023,606,001 ","$305,236,267 ","$21,511,194 ","$894,243 ","$22,405,437 ","1,030"
Beltrami,"$1,508,635,652 ","$467,647,681 ","$32,761,412 ","$1,256,969 ","$34,018,381 ","1,237"
Benton,"$1,746,995,021 ","$343,007,701 ","$24,071,607 ","$1,652,153 ","$25,723,760 ",971
Big Stone,"$116,335,291 ","$25,407,644 ","$1,775,052 ","$36,879 ","$1,811,931 ",229
Blue Earth,"$5,396,148,769 ","$1,117,547,559 ","$77,927,307 ","$3,052,638 ","$80,979,945 ","1,831"
Brown,"$1,400,194,000 ","$250,935,066 ","$17,603,588 ","$736,826 ","$18,340,414 ",821
Carlton,"$942,163,153 ","$202,377,800 ","$14,361,454 ","$6,110,364 ","$20,471,818 ",835
Carver,"$3,390,977,970 ","$688,599,472 ","$48,627,375 ","$2,744,077 ","$51,371,452 ","2,273"
Cass,"$597,363,308 ","$214,426,301 ","$15,315,381 ","$230,478 ","$15,545,859 ","1,093"
Chippewa,"$515,804,374 ","$109,794,997 ","$7,700,624 ","$468,023 ","$8,168,647 ",442
Chisago,"$1,289,041,095 ","$247,455,456 ","$17,518,932 ","$901,130 ","$18,420,062 ","1,333"
Clay,"$2,216,674,712 ","$408,596,078 ","$28,658,571 ","$3,075,654 ","$31,734,225 ","1,004"
Clearwater,"$317,586,843 ","$35,379,535 ","$2,512,648 ","$652,620 ","$3,165,268 ",247
Cook,"$206,909,405 ","$100,213,025 ","$7,048,821 ","$98,755 ","$7,147,576 ",414
Cottonwood,"$861,380,055 ","$70,983,087 ","$4,959,781 ","$335,406 ","$5,295,187 ",406
Crow Wing,"$2,593,333,284 ","$886,011,779 ","$62,246,668 ","$1,670,266 ","$63,916,934 ","2,280"
Dakota,"$19,127,475,220 ","$4,509,195,524 ","$315,743,106 ","$35,572,862 ","$351,315,968 ","8,895"
Dodge,"$730,130,144 ","$77,317,645 ","$5,446,987 ","$616,421 ","$6,063,408 ",467
Douglas,"$2,034,548,196 ","$543,982,449 ","$38,076,873 ","$1,158,617 ","$39,235,490 ","1,466"
Faribault,"$554,524,544 ","$79,766,607 ","$5,598,157 ","$521,285 ","$6,119,442 ",491
Fillmore,"$922,670,185 ","$140,137,846 ","$9,810,607 ","$580,089 ","$10,390,696 ",788
Freeborn,"$1,844,331,225 ","$290,052,563 ","$20,242,347 ","$1,034,610 ","$21,276,957 ",935
Goodhue,"$1,779,435,094 ","$336,168,248 ","$23,588,012 ","$1,082,487 ","$24,670,499 ","1,411"
Grant,"$649,304,708 ","$34,462,943 ","$2,395,240 ","$47,001 ","$2,442,241 ",264
Hennepin,"$85,073,660,565 ","$21,003,401,205 ","$1,481,054,998 ","$108,040,986 ","$1,589,095,984 ","32,387"
Houston,"$312,934,409 ","$72,736,711 ","$5,129,412 ","$366,908 ","$5,496,320 ",526
Hubbard,"$421,642,159 ","$147,657,686 ","$10,443,120 ","$246,329 ","$10,689,449 ",788
Isanti,"$1,074,224,413 ","$339,047,985 ","$23,656,295 ","$573,223 ","$24,229,518 ",922
Itasca,"$1,390,055,113 ","$397,226,743 ","$27,886,977 ","$703,437 ","$28,590,414 ","1,300"
Jackson,"$521,660,421 ","$62,382,691 ","$4,358,521 ","$240,327 ","$4,598,848 ",436
Kanabec,"$240,355,863 ","$57,440,140 ","$4,036,185 ","$259,614 ","$4,295,799 ",406
Kandiyohi,"$2,209,327,953 ","$528,638,919 ","$36,887,266 ","$2,970,739 ","$39,858,005 ","1,272"
Kittson,"$178,094,640 ","$24,256,046 ","$1,712,336 ","$64,468 ","$1,776,804 ",147
Koochiching,"$894,870,818 ","$100,597,569 ","$7,140,751 ","$1,874,501 ","$9,015,252 ",403
Lac Qui Parle,"$266,793,045 ","$29,143,172 ","$2,061,150 ","$863,631 ","$2,924,781 ",251
Lake,"$273,065,628 ","$84,799,809 ","$5,985,572 ","$4,977,770 ","$10,963,342 ",408
Lake of the Woods,"$125,504,236 ","$60,063,499 ","$4,266,621 ","$49,901 ","$4,316,522 ",226
Le Sueur,"$747,518,065 ","$108,316,806 ","$7,672,816 ","$525,347 ","$8,198,163 ",799
Lincoln,"$129,547,311 ","$32,342,065 ","$2,265,833 ","$118,406 ","$2,384,239 ",231
Lyon,"$2,136,916,808 ","$328,721,506 ","$22,918,274 ","$2,484,869 ","$25,403,143 ",810
Mahnomen,"$158,060,979 ","$51,522,885 ","$3,675,686 ","$30,760 ","$3,706,446 ",117
Marshall,"$292,408,193 ","$47,179,632 ","$3,313,193 ","$47,802 ","$3,360,995 ",234
Martin,"$1,485,863,070 ","$152,795,117 ","$10,706,869 ","$559,046 ","$11,265,915 ",691
McLeod,"$1,337,729,901 ","$329,375,755 ","$22,983,832 ","$1,205,568 ","$24,189,400 ","1,023"
Meeker,"$1,184,887,104 ","$141,098,184 ","$9,869,718 ","$1,131,911 ","$11,001,629 ",640
Mille Lacs,"$703,702,632 ","$159,505,508 ","$11,294,429 ","$171,011 ","$11,465,440 ",688
Morrison,"$796,081,837 ","$195,022,641 ","$13,781,066 ","$358,707 ","$14,139,773 ","1,050"
Mower,"$961,112,791 ","$234,955,389 ","$16,535,058 ","$1,141,050 ","$17,676,108 ",918
Murray,"$405,455,759 ","$42,263,676 ","$2,977,652 ","$170,850 ","$3,148,502 ",322
Nicollet,"$811,402,660 ","$171,801,453 ","$12,148,837 ","$1,357,710 ","$13,506,547 ",700
Nobles,"$1,161,687,476 ","$185,911,566 ","$12,936,680 ","$497,506 ","$13,434,186 ",623
Norman,"$203,457,207 ","$35,889,674 ","$2,510,251 ","$65,085 ","$2,575,336 ",205
Olmsted,"$6,192,050,648 ","$1,779,955,408 ","$124,578,412 ","$11,144,023 ","$135,722,435 ","3,432"
Otter Tail,"$2,555,109,322 ","$626,436,320 ","$43,730,955 ","$1,548,682 ","$45,279,637 ","1,893"
Pennington,"$1,145,826,190 ","$158,723,839 ","$11,093,217 ","$485,984 ","$11,579,201 ",390
Pine,"$430,375,002 ","$144,663,665 ","$10,337,587 ","$135,957 ","$10,473,544 ",767
Pipestone,"$461,384,180 ","$61,649,459 ","$4,307,936 ","$167,209 ","$4,475,145 ",320
Polk,"$1,020,751,287 ","$212,757,586 ","$14,909,386 ","$651,710 ","$15,561,096 ",743
Pope,"$342,011,450 ","$60,717,221 ","$4,288,412 ","$292,376 ","$4,580,788 ",362
Ramsey,"$28,165,790,512 ","$6,341,587,918 ","$442,293,888 ","$73,176,290 ","$515,470,178 ","11,700"
Red Lake,"$109,877,273 ","$24,719,699 ","$1,735,760 ","$38,235 ","$1,773,995 ",107
Redwood,"$1,486,444,319 ","$140,826,453 ","$9,888,250 ","$431,180 ","$10,319,430 ",548
Renville,"$679,499,602 ","$74,176,036 ","$5,208,965 ","$456,036 ","$5,665,001 ",480
Rice,"$2,630,349,833 ","$436,098,726 ","$30,649,503 ","$1,268,936 ","$31,918,439 ","1,516"
Rock,"$354,579,360 ","$50,719,457 ","$3,541,474 ","$395,475 ","$3,936,949 ",292
Roseau,"$706,049,575 ","$111,500,888 ","$7,819,726 ","$539,129 ","$8,358,855 ",494
Scott,"$4,006,610,988 ","$1,202,120,901 ","$84,589,065 ","$6,194,339 ","$90,783,404 ","3,062"
Sherburne,"$2,279,466,799 ","$595,800,386 ","$41,663,439 ","$1,846,274 ","$43,509,713 ","2,084"
Sibley,"$698,609,591 ","$42,630,557 ","$3,012,736 ","$350,161 ","$3,362,897 ",414
St. Louis,"$8,413,280,730 ","$2,254,003,209 ","$158,419,556 ","$18,650,919 ","$177,070,475 ","5,287"
Stearns,"$8,030,354,754 ","$1,765,136,391 ","$123,572,605 ","$6,927,449 ","$130,500,054 ","4,526"
Steele,"$3,102,819,229 ","$404,261,550 ","$28,225,274 ","$1,884,468 ","$30,109,742 ","1,050"
Stevens,"$471,780,191 ","$95,604,587 ","$6,676,580 ","$971,410 ","$7,647,990 ",330
Swift,"$759,887,541 ","$70,118,380 ","$4,923,481 ","$65,789 ","$4,989,270 ",316
Todd,"$857,039,690 ","$77,043,165 ","$5,477,274 ","$278,068 ","$5,755,342 ",700
Traverse,"$151,392,256 ","$19,387,396 ","$1,363,441 ","$35,162 ","$1,398,603 ",142
Wabasha,"$549,659,976 ","$97,993,930 ","$6,977,615 ","$654,611 ","$7,632,226 ",730
Wadena,"$638,470,113 ","$125,643,434 ","$8,741,217 ","$152,715 ","$8,893,932 ",441
Waseca,"$421,445,802 ","$91,964,370 ","$6,468,072 ","$508,424 ","$6,976,496 ",472
Washington,"$10,423,325,241 ","$2,042,393,069 ","$143,869,515 ","$9,330,811 ","$153,200,326 ","5,306"
Watonwan,"$728,232,610 ","$55,118,003 ","$3,857,544 ","$358,192 ","$4,215,736 ",318
Wilkin,"$469,716,321 ","$25,569,897 ","$1,793,912 ","$22,465 ","$1,816,377 ",156
Winona,"$2,348,495,427 ","$385,544,635 ","$26,989,289 ","$4,436,185 ","$31,425,474 ","1,306"
Wright,"$4,443,856,637 ","$1,052,787,244 ","$73,871,726 ","$3,294,807 ","$77,166,533 ","3,258"
Yellow Medicine,"$384,804,351 ","$48,858,615 ","$3,431,280 ","$226,521 ","$3,657,801 ",371
Non-Minnesota Co.,"$68,324,964,337 ","$11,435,249,356 ","$786,855,979 ","$78,679,138 ","$865,535,117 ","18,545"
Total,"$333,549,791,349 ","$71,853,922,344 ","$5,034,507,292 ","$440,900,448 ","$5,475,407,740 ","159,267"
