County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Pipestone,"$361,620,410 ","$59,519,775 ","$4,152,653 ","$156,082 ","$4,308,735 ",332
Polk,"$928,510,047 ","$197,467,741 ","$13,881,508 ","$693,359 ","$14,574,867 ",760
Pope,"$292,822,773 ","$52,342,624 ","$3,706,049 ","$212,299 ","$3,918,348 ",366
Ramsey,"$25,551,115,646 ","$5,753,013,791 ","$400,959,730 ","$61,064,727 ","$462,024,457 ","11,263"
Red Lake,"$94,393,220 ","$21,031,219 ","$1,468,544 ","$47,011 ","$1,515,555 ",99
Redwood,"$1,554,084,724 ","$130,899,198 ","$9,189,192 ","$524,047 ","$9,713,239 ",543
Renville,"$587,689,191 ","$72,505,502 ","$5,100,675 ","$447,656 ","$5,548,331 ",471
Rice,"$2,141,051,700 ","$384,377,388 ","$27,023,008 ","$843,729 ","$27,866,737 ","1,458"
Rock,"$265,065,535 ","$44,361,791 ","$3,101,078 ","$186,213 ","$3,287,291 ",292
Roseau,"$647,678,504 ","$99,365,723 ","$6,973,288 ","$489,792 ","$7,463,080 ",497
Scott,"$3,632,456,694 ","$1,067,221,694 ","$75,007,337 ","$4,800,579 ","$79,807,916 ","2,990"
Sherburne,"$2,033,483,231 ","$543,887,019 ","$38,013,934 ","$1,374,226 ","$39,388,160 ","2,035"
Sibley,"$779,842,569 ","$38,573,806 ","$2,721,620 ","$383,566 ","$3,105,186 ",406
St. Louis,"$7,876,410,439 ","$2,093,833,602 ","$146,981,851 ","$19,491,642 ","$166,473,493 ","5,281"
Stearns,"$7,891,034,734 ","$1,602,218,761 ","$112,201,421 ","$6,664,740 ","$118,866,161 ","4,369"
Steele,"$3,000,658,662 ","$405,227,815 ","$28,253,923 ","$1,251,852 ","$29,505,775 ","1,035"
Stevens,"$392,090,615 ","$83,257,604 ","$5,814,793 ","$526,947 ","$6,341,740 ",347
Swift,"$767,378,734 ","$64,842,080 ","$4,561,511 ","$141,737 ","$4,703,248 ",313
Todd,"$822,461,847 ","$70,139,941 ","$5,008,252 ","$188,520 ","$5,196,772 ",694
Traverse,"$134,141,499 ","$17,071,271 ","$1,207,551 ","$20,455 ","$1,228,006 ",137
Wabasha,"$407,404,025 ","$86,937,627 ","$6,200,917 ","$421,033 ","$6,621,950 ",704
Wadena,"$556,465,988 ","$115,999,004 ","$8,074,416 ","$117,340 ","$8,191,756 ",435
Waseca,"$535,957,263 ","$90,969,795 ","$6,395,843 ","$785,208 ","$7,181,051 ",486
Washington,"$10,080,870,747 ","$1,821,303,319 ","$128,324,144 ","$8,195,601 ","$136,519,745 ","5,001"
Watonwan,"$662,813,350 ","$52,676,669 ","$3,696,269 ","$524,310 ","$4,220,579 ",319
Wilkin,"$383,902,945 ","$19,705,082 ","$1,388,031 ","$47,624 ","$1,435,655 ",149
Winona,"$2,264,962,554 ","$360,896,592 ","$25,241,722 ","$2,919,220 ","$28,160,942 ","1,284"
Wright,"$3,983,736,953 ","$915,624,869 ","$64,222,629 ","$3,114,279 ","$67,336,908 ","3,083"
Yellow Medicine,"$370,890,339 ","$48,645,392 ","$3,404,006 ","$249,652 ","$3,653,658 ",375
Non-Minnesota County,"$54,539,170,478 ","$10,100,774,524 ","$694,794,869 ","$64,170,802 ","$758,965,671 ","17,651"
Total,"$299,803,105,999 ","$65,068,016,717 ","$4,556,451,905 ","$368,247,457 ","$4,924,699,362 ","154,846"
