COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
ISANTI,"$652,493,362","$284,758,543","$18,746,980","$538,134","$19,285,114",925
ITASCA,"$1,244,426,371","$345,074,937","$22,792,829","$874,973","$23,667,802","1,447"
JACKSON,"$421,976,372","$41,833,799","$2,768,500","$122,350","$2,890,850",453
KANABEC,"$218,613,095","$70,184,499","$4,595,911","$54,754","$4,650,665",428
KANDIYOHI,"$1,716,260,103","$415,771,675","$27,419,374","$1,395,974","$28,815,348","1,258"
KITTSON,"$94,721,854","$16,975,845","$1,138,578","$15,169","$1,153,747",174
KOOCHICHING,"$338,287,504","$89,948,104","$6,036,801","$368,567","$6,405,368",457
LAC QUI PARLE,"$221,003,059","$26,218,733","$1,749,198","$138,624","$1,887,822",254
LAKE,"$231,347,052","$67,901,470","$4,528,927","$1,891,706","$6,420,633",401
LAKE OF THE WOODS,"$95,392,791","$43,829,072","$2,948,139","$20,703","$2,968,842",226
LESUEUR,"$493,323,915","$86,774,830","$5,816,395","$402,898","$6,219,293",661
LINCOLN,"$207,442,505","$26,767,880","$1,769,721","$22,816","$1,792,537",222
LYON,"$812,985,174","$234,257,474","$15,427,500","$1,089,105","$16,516,605",834
MCLEOD,"$901,208,715","$307,422,453","$20,226,584","$2,779,303","$23,005,887","1,079"
MAHNOMEN,"$81,908,078","$42,486,806","$2,862,753","$12,549","$2,875,302",141
MARSHALL,"$131,414,679","$29,612,174","$1,994,515","$28,632","$2,023,147",250
MARTIN,"$637,230,306","$123,648,996","$8,180,061","$421,637","$8,601,698",709
MEEKER,"$707,540,612","$113,592,611","$7,496,904","$412,945","$7,909,849",637
MILLE LACS,"$514,548,945","$143,771,391","$9,605,389","$146,745","$9,752,134",721
MORRISON,"$748,977,258","$179,084,017","$11,978,141","$276,737","$12,254,878","1,067"
MOWER,"$690,389,228","$222,114,481","$14,744,110","$1,167,701","$15,911,811",991
MURRAY,"$231,552,319","$36,027,599","$2,401,520","$77,939","$2,479,459",355
NICOLLET,"$695,578,336","$142,129,789","$9,426,001","$674,503","$10,100,504",666
NOBLES,"$532,060,216","$150,160,681","$9,872,652","$258,131","$10,130,783",703
NORMAN,"$121,798,008","$25,663,654","$1,711,896","$33,086","$1,744,982",220
OLMSTED,"$4,427,072,307","$1,511,069,590","$99,606,295","$6,712,303","$106,318,598","3,252"
OTTER TAIL,"$1,597,779,755","$522,225,886","$34,322,829","$839,615","$35,162,444","1,976"
PENNINGTON,"$1,668,865,828","$115,256,005","$7,626,366","$384,162","$8,010,528",403
PINE,"$312,561,491","$143,970,508","$9,629,480","$198,883","$9,828,363",708
PIPESTONE,"$234,217,523","$44,172,774","$2,921,339","$158,366","$3,079,705",339
POLK,"$639,856,959","$165,345,675","$10,996,991","$280,966","$11,277,957",835
POPE,"$219,280,423","$61,633,195","$4,099,246","$77,627","$4,176,873",335
RAMSEY,"$22,043,911,353","$5,564,652,029","$369,002,623","$30,943,816","$399,946,439","11,215"
RED LAKE,"$96,208,875","$15,721,403","$1,057,375","$26,773","$1,084,148",118
REDWOOD,"$693,014,789","$112,313,026","$7,457,848","$475,426","$7,933,274",589
RENVILLE,"$359,034,389","$70,845,111","$4,709,231","$347,904","$5,057,135",570
RICE,"$1,384,417,493","$370,580,238","$24,518,267","$532,187","$25,050,454","1,481"
ROCK,"$182,609,295","$40,748,814","$2,701,319","$120,776","$2,822,095",288
ROSEAU,"$593,754,659","$94,349,498","$6,286,178","$358,913","$6,645,091",485
ST. LOUIS,"$6,390,071,000","$2,191,945,128","$144,849,792","$10,377,283","$155,227,075","5,604"
SCOTT,"$2,799,702,773","$913,694,904","$60,585,458","$5,334,578","$65,920,036","2,670"
SHERBURNE,"$2,214,535,104","$545,321,515","$35,965,667","$1,424,937","$37,390,604","1,862"
SIBLEY,"$268,296,617","$34,071,308","$2,260,171","$98,171","$2,358,342",397
STEARNS,"$5,572,363,081","$1,554,708,811","$102,648,238","$5,640,540","$108,288,778","4,136"
STEELE,"$2,354,331,872","$401,073,657","$26,392,688","$1,050,709","$27,443,397","1,105"
STEVENS,"$276,520,193","$72,167,346","$4,758,983","$300,301","$5,059,284",351
SWIFT,"$305,595,850","$51,333,355","$3,428,761","$412,980","$3,841,741",353
TODD,"$527,661,661","$68,867,142","$4,619,707","$252,775","$4,872,482",593
TRAVERSE,"$46,255,057","$12,614,801","$846,317","$25,110","$871,427",147
WABASHA,"$291,648,814","$86,104,872","$5,768,449","$478,567","$6,247,016",693
WADENA,"$520,362,269","$112,074,139","$7,269,475","$113,846","$7,383,321",501
WASECA,"$533,278,701","$77,063,713","$5,096,687","$566,579","$5,663,266",527
WASHINGTON,"$7,420,620,266","$1,701,216,039","$112,641,421","$4,859,480","$117,500,901","4,739"
WATONWAN,"$711,896,373","$47,009,125","$3,115,442","$248,905","$3,364,347",373
WILKIN,"$207,472,410","$20,215,267","$1,353,382","$39,643","$1,393,025",159
WINONA,"$1,516,492,137","$318,558,522","$21,066,138","$1,960,511","$23,026,649","1,280"
WRIGHT,"$2,609,348,478","$761,685,911","$50,337,278","$2,150,583","$52,487,861","2,856"
YELLOW MEDICINE,"$249,889,472","$46,887,217","$3,119,035","$79,542","$3,198,577",380
NON-MINNESOTA,"$45,512,485,651","$8,134,810,561","$528,868,420","$50,952,058","$579,820,478","15,809"
TOTAL,"$241,337,353,469","$60,309,541,847","$3,985,151,015","$270,853,616","$4,256,004,631","152,679"
