COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
AITKIN,"$415,621,491","$110,258,693","$7,358,967","$132,766","$7,491,733",535
ANOKA,"$10,323,687,400","$2,750,415,119","$184,477,332","$13,813,183","$198,290,515","7,047"
BECKER,"$740,009,542","$234,205,376","$15,551,827","$1,058,227","$16,610,054","1,067"
BELTRAMI,"$888,697,281","$389,922,328","$25,665,831","$1,018,949","$26,684,780","1,168"
BENTON,"$1,891,729,996","$324,381,366","$21,508,334","$1,356,150","$22,864,484",918
BIG STONE,"$47,674,280","$18,995,383","$1,269,873","$18,526","$1,288,399",227
BLUE EARTH,"$2,601,675,944","$912,077,654","$59,985,890","$1,986,840","$61,972,730","1,766"
BROWN,"$803,672,046","$193,248,069","$12,775,342","$497,110","$13,272,452",852
CARLTON,"$820,122,625","$209,683,999","$13,922,575","$2,353,013","$16,275,588",854
CARVER,"$2,225,749,620","$548,963,421","$36,444,335","$1,725,709","$38,170,044","1,971"
CASS,"$489,021,473","$198,105,170","$13,310,341","$162,896","$13,473,237","1,076"
CHIPPEWA,"$310,242,496","$76,421,017","$5,070,674","$331,323","$5,401,997",443
CHISAGO,"$925,776,272","$247,061,805","$16,378,216","$538,461","$16,916,677","1,261"
CLAY,"$1,059,748,492","$302,362,289","$20,092,429","$729,426","$20,821,855","1,062"
CLEARWATER,"$221,977,227","$29,203,875","$1,970,534","$225,257","$2,195,791",267
COOK,"$134,851,932","$82,506,261","$5,478,758","$102,908","$5,581,666",377
COTTONWOOD,"$251,724,714","$53,348,462","$3,538,489","$136,288","$3,674,777",422
CROW WING,"$2,161,780,612","$855,867,008","$56,397,522","$1,561,777","$57,959,299","2,290"
DAKOTA,"$15,185,487,179","$4,194,162,299","$276,537,013","$22,570,567","$299,107,580","8,376"
DODGE,"$509,558,974","$87,680,354","$5,809,303","$465,108","$6,274,411",477
DOUGLAS,"$1,330,499,132","$569,774,839","$37,428,651","$837,492","$38,266,143","1,416"
FARIBAULT,"$927,505,941","$85,821,359","$5,685,871","$639,400","$6,325,271",563
FILLMORE,"$573,585,446","$110,716,119","$7,325,484","$146,356","$7,471,840",814
FREEBORN,"$1,161,530,071","$248,236,184","$16,372,685","$556,133","$16,928,818",967
GOODHUE,"$2,111,770,319","$273,857,487","$18,180,699","$2,422,269","$20,602,968","1,450"
GRANT,"$164,897,688","$25,239,931","$1,683,541","$36,422","$1,719,963",253
HENNEPIN,"$64,925,902,509","$17,735,078,239","$1,175,999,545","$73,802,070","$1,249,801,615","31,012"
HOUSTON,"$270,037,349","$66,177,662","$4,404,139","$251,404","$4,655,543",544
HUBBARD,"$338,922,643","$125,451,481","$8,360,540","$327,090","$8,687,630",796
