YEAR,COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2008,OLMSTED,"$5,379,532,673 ","$1,604,609,058 ","$106,138,249 ","$8,375,567 ","$114,513,816 ","3,417"
2008,OTTER TAIL,"$1,883,489,902 ","$563,153,575 ","$37,128,138 ","$1,284,717 ","$38,412,855 ","2,043"
2008,PENNINGTON,"$1,071,973,275 ","$138,652,986 ","$9,179,192 ","$285,879 ","$9,465,071 ",432
2008,PINE,"$376,092,248 ","$140,068,306 ","$9,440,301 ","$97,012 ","$9,537,313 ",764
2008,PIPESTONE,"$401,189,230 ","$55,691,577 ","$3,691,072 ","$170,744 ","$3,861,816 ",355
2008,POLK,"$880,968,518 ","$192,980,367 ","$12,849,329 ","$666,956 ","$13,516,285 ",786
2008,POPE,"$309,458,004 ","$63,192,690 ","$4,212,358 ","$120,668 ","$4,333,026 ",372
2008,RAMSEY,"$24,093,086,446 ","$5,887,182,647 ","$389,471,114 ","$53,206,162 ","$442,677,276 ","11,552"
2008,RED LAKE,"$101,927,650 ","$18,435,585 ","$1,225,143 ","$39,086 ","$1,264,229 ",111
2008,REDWOOD,"$1,385,744,429 ","$121,998,764 ","$8,112,873 ","$542,944 ","$8,655,817 ",589
2008,RENVILLE,"$638,712,901 ","$75,660,914 ","$5,040,874 ","$243,165 ","$5,284,039 ",533
2008,RICE,"$1,716,036,517 ","$379,643,351 ","$25,244,218 ","$741,884 ","$25,986,102 ","1,564"
2008,ROCK,"$257,697,155 ","$46,731,259 ","$3,084,842 ","$119,513 ","$3,204,355 ",314
2008,ROSEAU,"$698,332,877 ","$95,163,008 ","$6,344,852 ","$641,076 ","$6,985,928 ",503
2008,ST LOUIS,"$7,566,474,851 ","$2,106,666,557 ","$139,801,322 ","$13,252,567 ","$153,053,889 ","5,665"
2008,SCOTT,"$3,711,801,001 ","$1,062,144,235 ","$70,598,865 ","$4,262,218 ","$74,861,083 ","3,021"
2008,SHERBURNE,"$1,972,914,893 ","$562,364,312 ","$37,148,571 ","$1,434,505 ","$38,583,076 ","2,120"
2008,SIBLEY,"$431,395,160 ","$32,975,789 ","$2,209,419 ","$206,821 ","$2,416,240 ",415
2008,STEARNS,"$7,337,516,318 ","$1,522,141,648 ","$100,783,908 ","$6,785,274 ","$107,569,182 ","4,457"
2008,STEELE,"$3,124,859,159 ","$406,141,986 ","$26,764,859 ","$1,888,131 ","$28,652,990 ","1,075"
2008,STEVENS,"$340,773,414 ","$76,946,878 ","$5,081,697 ","$327,925 ","$5,409,622 ",354
2008,SWIFT,"$698,874,423 ","$62,045,757 ","$4,131,067 ","$169,600 ","$4,300,667 ",341
2008,TODD,"$580,722,681 ","$67,267,865 ","$4,541,188 ","$269,505 ","$4,810,693 ",664
2008,TRAVERSE,"$90,345,496 ","$15,326,793 ","$1,024,201 ","$18,048 ","$1,042,249 ",142
2008,WABASHA,"$411,699,411 ","$83,876,140 ","$5,651,965 ","$369,633 ","$6,021,598 ",739
2008,WADENA,"$568,046,376 ","$122,816,483 ","$8,082,372 ","$125,207 ","$8,207,579 ",491
2008,WASECA,"$565,675,723 ","$87,152,593 ","$5,796,065 ","$404,140 ","$6,200,205 ",526
2008,WASHINGTON,"$9,203,126,025 ","$1,827,632,970 ","$121,495,204 ","$5,938,570 ","$127,433,774 ","5,098"
2008,WATONWAN,"$654,362,487 ","$51,957,355 ","$3,450,595 ","$295,878 ","$3,746,473 ",350
2008,WILKIN,"$340,914,590 ","$19,471,521 ","$1,298,864 ","$34,619 ","$1,333,483 ",145
2008,WINONA,"$2,311,124,606 ","$361,781,782 ","$23,995,344 ","$4,142,983 ","$28,138,327 ","1,293"
2008,WRIGHT,"$3,251,907,501 ","$842,671,003 ","$55,855,575 ","$3,617,175 ","$59,472,750 ","3,097"
2008,YELLOW MEDICINE,"$314,612,274 ","$47,200,436 ","$3,151,385 ","$107,721 ","$3,259,106 ",374
,,"$291,681,003,598 ","$65,335,865,879 ","$4,325,158,105 ","$348,890,269 ","$4,674,048,374 ","159,897"
