edr,year,sales.type,dollars
EDR 2 - Headwaters,2010,gross.sales,2008089003
EDR 2 - Headwaters,2010,sales.tax,45800471
EDR 2 - Headwaters,2010,taxable.sales,650206347
EDR 2 - Headwaters,2010,total.tax,47693150
EDR 2 - Headwaters,2010,use.tax,1892679
EDR 2 - Headwaters,2011,gross.sales,2168426627
EDR 2 - Headwaters,2011,sales.tax,48014206
EDR 2 - Headwaters,2011,taxable.sales,681790728
EDR 2 - Headwaters,2011,total.tax,50068780
EDR 2 - Headwaters,2011,use.tax,2054574
EDR 2 - Headwaters,2012,gross.sales,2267012266
EDR 2 - Headwaters,2012,sales.tax,50219931
EDR 2 - Headwaters,2012,taxable.sales,712722444
EDR 2 - Headwaters,2012,total.tax,52689620
EDR 2 - Headwaters,2012,use.tax,2469689
EDR 2 - Headwaters,2013,gross.sales,2531429869
EDR 2 - Headwaters,2013,sales.tax,53659487
EDR 2 - Headwaters,2013,taxable.sales,762271286
EDR 2 - Headwaters,2013,total.tax,55896066
EDR 2 - Headwaters,2013,use.tax,2236579
EDR 2 - Headwaters,2014,gross.sales,2695214698
EDR 2 - Headwaters,2014,sales.tax,56812379
EDR 2 - Headwaters,2014,taxable.sales,806632540
EDR 2 - Headwaters,2014,total.tax,59591684
EDR 2 - Headwaters,2014,use.tax,2779305
EDR 2 - Headwaters,2015,gross.sales,2652417845
EDR 2 - Headwaters,2015,sales.tax,59281536
EDR 2 - Headwaters,2015,taxable.sales,841774572
EDR 2 - Headwaters,2015,total.tax,61301808
EDR 2 - Headwaters,2015,use.tax,2020272
EDR 2 - Headwaters,2016,gross.sales,2642383977
EDR 2 - Headwaters,2016,sales.tax,59955123
EDR 2 - Headwaters,2016,taxable.sales,850662104
EDR 2 - Headwaters,2016,total.tax,61703968
EDR 2 - Headwaters,2016,use.tax,1748845
EDR 2 - Headwaters,2017,gross.sales,2826226739
EDR 2 - Headwaters,2017,sales.tax,61053125
EDR 2 - Headwaters,2017,taxable.sales,865968950
EDR 2 - Headwaters,2017,total.tax,63151168
EDR 2 - Headwaters,2017,use.tax,2098043
EDR 3 - Arrowhead,2003,gross.sales,9329098034
EDR 3 - Arrowhead,2003,sales.tax,195284380
EDR 3 - Arrowhead,2003,taxable.sales,2951286677
EDR 3 - Arrowhead,2003,total.tax,209232125
EDR 3 - Arrowhead,2003,use.tax,13947745
EDR 3 - Arrowhead,2004,gross.sales,9574727975
EDR 3 - Arrowhead,2004,sales.tax,204968649
EDR 3 - Arrowhead,2004,taxable.sales,3097318592
EDR 3 - Arrowhead,2004,total.tax,221069865
EDR 3 - Arrowhead,2004,use.tax,16101216
EDR 3 - Arrowhead,2005,gross.sales,10883266803
EDR 3 - Arrowhead,2005,sales.tax,211898132
EDR 3 - Arrowhead,2005,taxable.sales,3202254290
EDR 3 - Arrowhead,2005,total.tax,232395988
EDR 3 - Arrowhead,2005,use.tax,20497856
EDR 3 - Arrowhead,2006,gross.sales,12743568526
EDR 3 - Arrowhead,2006,sales.tax,219527926
EDR 3 - Arrowhead,2006,taxable.sales,3316358579
EDR 3 - Arrowhead,2006,total.tax,242253346
EDR 3 - Arrowhead,2006,use.tax,22725420
