YEAR,COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2009,AITKIN,"$331,320,038 ","$101,682,672 ","$7,019,851 ","$153,392 ","$7,173,243 ",557
2009,ANOKA,"$10,316,572,147 ","$2,612,194,275 ","$180,957,949 ","$14,367,463 ","$195,325,412 ","7,404"
2009,BECKER,"$736,927,845 ","$260,282,379 ","$17,893,055 ","$626,323 ","$18,519,378 ","1,063"
2009,BELTRAMI,"$1,069,289,642 ","$387,630,566 ","$26,501,989 ","$1,454,753 ","$27,956,742 ","1,234"
2009,BENTON,"$1,431,086,402 ","$289,741,836 ","$19,840,424 ","$946,374 ","$20,786,798 ",983
2009,BIG STONE,"$77,409,116 ","$21,442,687 ","$1,477,197 ","$18,173 ","$1,495,370 ",223
2009,BLUE EARTH,"$4,796,070,174 ","$1,030,691,854 ","$69,869,479 ","$2,099,782 ","$71,969,261 ","1,851"
2009,BROWN,"$1,046,467,870 ","$206,672,500 ","$14,144,644 ","$526,291 ","$14,670,935 ",852
2009,CARLTON,"$780,126,790 ","$193,917,201 ","$13,379,258 ","$1,104,890 ","$14,484,148 ",882
2009,CARVER,"$2,362,343,092 ","$535,607,580 ","$36,799,103 ","$2,138,427 ","$38,937,530 ","2,249"
2009,CASS,"$444,857,454 ","$181,157,911 ","$12,702,725 ","$136,387 ","$12,839,112 ","1,146"
2009,CHIPPEWA,"$428,317,154 ","$92,674,957 ","$6,323,811 ","$780,512 ","$7,104,323 ",464
2009,CHISAGO,"$867,149,631 ","$192,773,476 ","$13,321,449 ","$558,768 ","$13,880,217 ","1,388"
2009,CLAY,"$1,700,819,665 ","$352,315,444 ","$24,093,885 ","$1,041,595 ","$25,135,480 ","1,059"
2009,CLEARWATER,"$210,153,901 ","$29,227,985 ","$2,029,112 ","$163,463 ","$2,192,575 ",256
2009,COOK,"$167,225,004 ","$84,233,036 ","$5,794,221 ","$102,777 ","$5,896,998 ",398
2009,COTTONWOOD,"$695,952,405 ","$60,885,423 ","$4,146,339 ","$191,277 ","$4,337,616 ",412
2009,CROW WING,"$2,151,271,422 ","$766,416,435 ","$52,460,384 ","$1,281,900 ","$53,742,284 ","2,362"
2009,DAKOTA,"$14,778,507,861 ","$3,772,668,491 ","$258,563,716 ","$21,121,813 ","$279,685,529 ","8,988"
2009,DODGE,"$510,264,439 ","$68,563,030 ","$4,702,189 ","$193,011 ","$4,895,200 ",483
2009,DOUGLAS,"$1,523,183,752 ","$535,268,496 ","$36,354,243 ","$857,482 ","$37,211,725 ","1,480"
2009,FARIBAULT,"$392,455,102 ","$74,389,402 ","$5,091,627 ","$561,085 ","$5,652,712 ",561
2009,FILLMORE,"$683,323,191 ","$109,183,161 ","$7,479,560 ","$150,139 ","$7,629,699 ",815
2009,FREEBORN,"$1,427,919,300 ","$241,693,108 ","$16,441,933 ","$1,181,488 ","$17,623,421 ",984
2009,GOODHUE,"$1,353,844,451 ","$288,380,578 ","$19,721,052 ","$686,990 ","$20,408,042 ","1,501"
2009,GRANT,"$333,961,061 ","$25,662,096 ","$1,761,643 ","$44,129 ","$1,805,772 ",258
2009,HENNEPIN,"$78,298,199,594 ","$17,264,028,477 ","$1,182,434,560 ","$84,960,210 ","$1,267,394,770 ","32,664"
2009,HOUSTON,"$268,894,120 ","$63,902,585 ","$4,397,197 ","$220,033 ","$4,617,230 ",545
2009,HUBBARD,"$400,760,332 ","$137,181,187 ","$9,465,963 ","$329,613 ","$9,795,576 ",780
2009,ISANTI,"$897,611,402 ","$299,616,307 ","$20,418,044 ","$489,159 ","$20,907,203 ",941
2009,ITASCA,"$1,226,720,250 ","$359,210,521 ","$24,568,417 ","$510,743 ","$25,079,160 ","1,432"
2009,JACKSON,"$484,147,061 ","$50,403,656 ","$3,431,282 ","$151,358 ","$3,582,640 ",415
2009,KANABEC,"$184,899,243 ","$57,035,851 ","$3,922,402 ","$129,021 ","$4,051,423 ",449
2009,KANDIYOHI,"$1,888,400,253 ","$451,659,986 ","$30,692,264 ","$2,268,249 ","$32,960,513 ","1,329"
2009,KITTSON,"$108,358,305 ","$19,260,283 ","$1,334,089 ","$37,504 ","$1,371,593 ",159
