County,Gross Sales,Taxable Sales,Sales Tax,Use Tax,Total Tax,Businesses
Aitkin,"$421,105,063 ","$116,534,937 ","$8,252,896 ","$277,983 ","$8,530,879 ",504
Anoka,"$13,734,878,494 ","$3,350,046,312 ","$234,967,586 ","$20,620,597 ","$255,588,183 ","7,498"
Becker,"$1,157,485,103 ","$346,249,418 ","$24,402,815 ","$1,075,463 ","$25,478,278 ","1,038"
Beltrami,"$1,758,598,590 ","$543,619,616 ","$38,138,374 ","$1,577,206 ","$39,715,580 ","1,225"
Benton,"$1,801,609,062 ","$399,742,268 ","$27,982,518 ","$1,486,150 ","$29,468,668 ",969
Big Stone,"$90,189,294 ","$23,551,405 ","$1,658,445 ","$45,784 ","$1,704,229 ",216
Blue Earth,"$4,632,933,968 ","$998,762,848 ","$69,977,855 ","$2,893,505 ","$72,871,360 ","1,893"
Brown,"$1,489,474,362 ","$257,226,675 ","$18,079,723 ","$693,537 ","$18,773,260 ",820
Carlton,"$758,042,744 ","$219,190,873 ","$15,550,299 ","$1,258,207 ","$16,808,506 ",847
Carver,"$3,680,261,329 ","$811,069,087 ","$57,538,176 ","$2,722,205 ","$60,260,381 ","2,462"
Cass,"$733,305,352 ","$268,027,974 ","$19,096,473 ","$329,327 ","$19,425,800 ","1,127"
Chippewa,"$496,516,672 ","$107,330,806 ","$7,540,022 ","$331,163 ","$7,871,185 ",407
Chisago,"$1,408,059,877 ","$285,435,618 ","$20,219,464 ","$685,635 ","$20,905,099 ","1,369"
Clay,"$1,749,872,789 ","$420,766,865 ","$29,577,231 ","$1,315,311 ","$30,892,542 ","1,081"
Clearwater,"$263,642,759 ","$39,725,990 ","$2,816,555 ","$175,029 ","$2,991,584 ",243
Cook,"$236,415,873 ","$120,457,202 ","$8,493,135 ","$105,647 ","$8,598,782 ",442
Cottonwood,"$730,066,715 ","$67,016,308 ","$4,701,701 ","$333,111 ","$5,034,812 ",379
Crow Wing,"$3,062,387,489 ","$1,032,695,372 ","$72,628,056 ","$1,775,329 ","$74,403,385 ","2,398"
Dakota,"$20,216,102,489 ","$5,067,085,979 ","$355,734,457 ","$14,899,495 ","$370,633,952 ","9,382"
Dodge,"$679,789,561 ","$96,170,965 ","$6,756,067 ","$354,973 ","$7,111,040 ",469
Douglas,"$2,010,640,187 ","$577,111,991 ","$40,451,008 ","$1,015,474 ","$41,466,482 ","1,493"
Faribault,"$491,603,638 ","$66,651,659 ","$4,707,681 ","$1,111,249 ","$5,818,930 ",480
Fillmore,"$766,878,564 ","$169,556,481 ","$11,860,242 ","$336,466 ","$12,196,708 ",771
Freeborn,"$2,076,870,698 ","$284,441,043 ","$19,878,371 ","$701,456 ","$20,579,827 ",899
Goodhue,"$1,587,390,004 ","$367,083,190 ","$25,807,585 ","$887,985 ","$26,695,570 ","1,411"
Grant,"$354,850,062 ","$37,064,287 ","$2,601,877 ","$58,246 ","$2,660,123 ",234
Hennepin,"$92,990,137,870 ","$22,919,587,698 ","$1,625,948,484 ","$109,004,469 ","$1,734,952,953 ","33,638"
Houston,"$318,397,123 ","$76,672,844 ","$5,417,103 ","$241,527 ","$5,658,630 ",506
Hubbard,"$502,427,733 ","$166,868,814 ","$11,843,795 ","$279,056 ","$12,122,851 ",770
Isanti,"$1,125,725,796 ","$402,460,881 ","$28,065,594 ","$649,548 ","$28,715,142 ",954
Itasca,"$1,426,511,190 ","$381,729,881 ","$26,836,367 ","$829,529 ","$27,665,896 ","1,310"
Jackson,"$428,931,444 ","$66,681,528 ","$4,674,656 ","$204,793 ","$4,879,449 ",402
Kanabec,"$240,657,248 ","$66,169,560 ","$4,683,516 ","$218,326 ","$4,901,842 ",396
Kandiyohi,"$2,376,931,969 ","$568,554,825 ","$39,703,463 ","$1,947,140 ","$41,650,603 ","1,266"
Kittson,"$135,536,436 ","$24,947,911 ","$1,763,359 ","$137,855 ","$1,901,214 ",155
Koochiching,"$356,768,615 ","$101,591,775 ","$7,188,361 ","$141,089 ","$7,329,450 ",382
Lac Qui Parle,"$148,773,969 ","$27,861,667 ","$1,972,379 ","$345,971 ","$2,318,350 ",270
Lake,"$298,260,650 ","$105,207,224 ","$7,425,734 ","$1,091,970 ","$8,517,704 ",438
Lake of the Woods,"$181,398,450 ","$63,856,045 ","$4,531,989 ","$33,602 ","$4,565,591 ",216
Le Sueur,"$918,844,628 ","$141,290,926 ","$10,052,859 ","$356,382 ","$10,409,241 ",799
Lincoln,"$124,824,202 ","$36,576,269 ","$2,563,071 ","$64,262 ","$2,627,333 ",220
Lyon,"$2,059,765,142 ","$321,999,588 ","$22,509,429 ","$1,546,353 ","$24,055,782 ",793
Mahnomen,"$120,159,207 ","$51,898,485 ","$3,722,412 ","$33,150 ","$3,755,562 ",117
Marshall,"$212,649,600 ","$44,851,398 ","$3,146,616 ","$51,771 ","$3,198,387 ",240
Martin,"$925,561,187 ","$171,158,496 ","$11,993,963 ","$523,829 ","$12,517,792 ",657
McLeod,"$1,439,852,171 ","$374,427,439 ","$26,107,142 ","$1,392,928 ","$27,500,070 ","1,021"
Meeker,"$1,213,283,299 ","$163,858,191 ","$11,427,238 ","$507,205 ","$11,934,443 ",689
Mille Lacs,"$653,170,255 ","$193,776,731 ","$13,677,863 ","$365,949 ","$14,043,812 ",672
Morrison,"$766,709,171 ","$221,813,013 ","$15,669,829 ","$353,630 ","$16,023,459 ","1,065"
Mower,"$913,500,163 ","$240,465,823 ","$16,959,549 ","$805,293 ","$17,764,842 ",884
Murray,"$482,810,674 ","$41,114,558 ","$2,925,188 ","$87,737 ","$3,012,925 ",332
Nicollet,"$889,885,312 ","$180,355,167 ","$12,765,202 ","$561,619 ","$13,326,821 ",748
Nobles,"$1,185,905,788 ","$190,431,789 ","$13,260,733 ","$325,705 ","$13,586,438 ",586
Norman,"$201,192,089 ","$36,461,830 ","$2,540,541 ","$83,387 ","$2,623,928 ",199
Olmsted,"$6,299,702,121 ","$2,022,897,007 ","$141,914,323 ","$11,274,847 ","$153,189,170 ","3,576"
Otter Tail,"$2,771,681,630 ","$713,584,912 ","$49,754,251 ","$2,101,375 ","$51,855,626 ","1,926"
Pennington,"$831,932,177 ","$157,691,964 ","$11,023,657 ","$478,178 ","$11,501,835 ",376
Pine,"$484,985,677 ","$169,197,116 ","$12,123,204 ","$228,010 ","$12,351,214 ",755
Pipestone,"$357,841,344 ","$64,615,717 ","$4,513,867 ","$206,007 ","$4,719,874 ",320
Polk,"$823,119,770 ","$202,230,464 ","$14,235,442 ","$914,844 ","$15,150,286 ",742
Pope,"$413,413,437 ","$67,947,943 ","$4,781,013 ","$258,107 ","$5,039,120 ",365
Ramsey,"$31,872,727,067 ","$6,639,628,915 ","$465,072,350 ","$65,153,398 ","$530,225,748 ","12,061"
Red Lake,"$98,462,621 ","$26,224,410 ","$1,782,316 ","$55,729 ","$1,838,045 ",115
Redwood,"$1,187,960,608 ","$139,704,714 ","$9,818,862 ","$269,846 ","$10,088,708 ",525
Renville,"$479,972,134 ","$67,120,747 ","$4,727,911 ","$395,980 ","$5,123,891 ",444
Rice,"$2,597,489,405 ","$479,072,740 ","$33,681,526 ","$1,191,708 ","$34,873,234 ","1,544"
Rock,"$323,709,885 ","$50,616,271 ","$3,547,981 ","$303,400 ","$3,851,381 ",289
Roseau,"$596,772,320 ","$109,256,252 ","$7,708,232 ","$184,548 ","$7,892,780 ",458
Scott,"$6,041,606,043 ","$1,369,127,090 ","$96,335,150 ","$4,455,614 ","$100,790,764 ","3,203"
Sherburne,"$2,604,885,362 ","$694,838,385 ","$48,590,915 ","$1,711,528 ","$50,302,443 ","2,192"
Sibley,"$636,252,862 ","$53,750,977 ","$3,789,553 ","$168,558 ","$3,958,111 ",416
St. Louis,"$8,036,111,344 ","$2,451,469,266 ","$172,744,415 ","$15,823,031 ","$188,567,446 ","5,490"
Stearns,"$8,928,016,820 ","$1,955,179,462 ","$136,886,910 ","$7,087,872 ","$143,974,782 ","4,485"
Steele,"$3,522,418,617 ","$443,910,965 ","$31,037,009 ","$1,081,927 ","$32,118,936 ","1,014"
Stevens,"$368,427,925 ","$96,790,660 ","$6,762,126 ","$855,574 ","$7,617,700 ",332
Swift,"$619,877,628 ","$70,026,196 ","$4,919,343 ","$134,330 ","$5,053,673 ",313
Todd,"$844,587,130 ","$83,679,869 ","$5,941,624 ","$114,803 ","$6,056,427 ",680
Traverse,"$125,246,067 ","$18,574,895 ","$1,306,743 ","$24,116 ","$1,330,859 ",138
Wabasha,"$562,142,731 ","$110,101,905 ","$7,824,582 ","$871,499 ","$8,696,081 ",712
Wadena,"$700,980,009 ","$137,578,718 ","$9,490,136 ","$241,061 ","$9,731,197 ",431
Waseca,"$335,610,020 ","$103,434,900 ","$7,277,158 ","$371,483 ","$7,648,641 ",454
Washington,"$10,690,418,497 ","$2,450,699,995 ","$172,922,264 ","$8,828,694 ","$181,750,958 ","5,609"
Watonwan,"$498,515,079 ","$58,387,362 ","$4,085,875 ","$142,633 ","$4,228,508 ",285
Wilkin,"$288,972,826 ","$17,666,949 ","$1,261,337 ","$25,494 ","$1,286,831 ",152
Winona,"$2,558,167,998 ","$403,992,093 ","$28,300,832 ","$2,949,933 ","$31,250,765 ","1,266"
Wright,"$4,964,257,863 ","$1,208,575,823 ","$84,880,900 ","$3,775,650 ","$88,656,550 ","3,402"
Yellow Medicine,"$392,074,761 ","$49,591,771 ","$3,496,238 ","$108,999 ","$3,605,237 ",351
Non-Minnesota Co.,"$79,521,837,433 ","$13,603,714,115 ","$936,056,409 ","$56,743,120 ","$992,799,529 ","21,807"
Total,"$360,407,719,330 ","$79,746,166,093 ","$5,597,389,501 ","$367,782,504 ","$5,965,172,005 ","166,010"
