COUNTY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
HENNEPIN,"$73,612,823,261","$18,984,959,086","$1,263,349,524","$89,276,386","$1,352,625,910","31,775"
HOUSTON,"$319,629,163","$65,071,807","$4,343,032","$262,521","$4,605,553",559
HUBBARD,"$408,656,164","$139,541,527","$9,328,334","$658,660","$9,986,994",815
ISANTI,"$838,228,415","$285,521,236","$18,864,153","$708,577","$19,572,730",947
ITASCA,"$1,325,676,494","$355,463,224","$23,533,459","$1,229,158","$24,762,617","1,438"
JACKSON,"$295,016,251","$50,813,021","$3,358,374","$193,385","$3,551,759",445
KANABEC,"$230,242,567","$65,877,494","$4,356,588","$138,079","$4,494,667",470
KANDIYOHI,"$2,123,384,325","$454,480,199","$29,962,993","$1,934,514","$31,897,507","1,291"
KITTSON,"$96,970,885","$21,505,491","$1,438,020","$42,620","$1,480,640",165
KOOCHICHING,"$780,245,038","$96,293,716","$6,460,764","$1,045,683","$7,506,447",434
LAC QUI PARLE,"$281,364,100","$26,817,800","$1,791,648","$174,431","$1,966,079",242
LAKE,"$260,293,803","$76,795,174","$5,120,959","$2,971,308","$8,092,267",418
LAKE OF THE WOODS,"$91,811,725","$43,643,098","$2,935,481","$27,963","$2,963,444",224
LESUEUR,"$492,930,723","$94,943,293","$6,388,282","$292,241","$6,680,523",744
LINCOLN,"$81,757,328","$24,405,743","$1,627,278","$53,064","$1,680,342",224
LYON,"$939,389,052","$323,358,557","$21,264,424","$2,493,534","$23,757,958",826
MCLEOD,"$1,128,845,874","$314,592,199","$20,721,412","$2,346,873","$23,068,285","1,095"
MAHNOMEN,"$104,262,957","$42,197,668","$2,844,485","$14,973","$2,859,458",127
MARSHALL,"$164,522,922","$32,030,334","$2,153,923","$26,437","$2,180,360",249
MARTIN,"$634,282,841","$142,209,120","$9,413,778","$424,085","$9,837,863",684
MEEKER,"$896,248,503","$116,260,940","$7,706,035","$652,101","$8,358,136",645
