periodyear,edr,naicstitle,wages
2018,EDR 7W- Central,Food Manufacturing,211525744
2017,EDR 7W- Central,Food Manufacturing,198530136
2016,EDR 7W- Central,Food Manufacturing,181267082
2015,EDR 7W- Central,Food Manufacturing,173032848
2014,EDR 7W- Central,Food Manufacturing,165031312
2013,EDR 7W- Central,Food Manufacturing,151340190
2012,EDR 7W- Central,Food Manufacturing,139333371
2011,EDR 7W- Central,Food Manufacturing,141933690
2010,EDR 7W- Central,Food Manufacturing,138806482
2009,EDR 7W- Central,Food Manufacturing,131664338
2008,EDR 7W- Central,Food Manufacturing,128376111
2007,EDR 7W- Central,Food Manufacturing,122541189
2006,EDR 7W- Central,Food Manufacturing,116809370
2005,EDR 7W- Central,Food Manufacturing,112160148
2004,EDR 7W- Central,Food Manufacturing,113136412
2003,EDR 7W- Central,Food Manufacturing,100763061
2002,EDR 7W- Central,Food Manufacturing,98500414
2001,EDR 7W- Central,Food Manufacturing,92504694
2018,EDR 8 - Southwest,Food Manufacturing,245064209
2017,EDR 8 - Southwest,Food Manufacturing,244483240
2016,EDR 8 - Southwest,Food Manufacturing,226520202
2015,EDR 8 - Southwest,Food Manufacturing,230673232
2014,EDR 8 - Southwest,Food Manufacturing,205630625
2013,EDR 8 - Southwest,Food Manufacturing,204597195
2012,EDR 8 - Southwest,Food Manufacturing,208424592
2011,EDR 8 - Southwest,Food Manufacturing,202603124
2010,EDR 8 - Southwest,Food Manufacturing,195782239
2009,EDR 8 - Southwest,Food Manufacturing,185731556
2008,EDR 8 - Southwest,Food Manufacturing,167418784
2007,EDR 8 - Southwest,Food Manufacturing,156279410
2006,EDR 8 - Southwest,Food Manufacturing,149644566
2005,EDR 8 - Southwest,Food Manufacturing,139900838
2004,EDR 8 - Southwest,Food Manufacturing,132372721
2003,EDR 8 - Southwest,Food Manufacturing,130172583
2002,EDR 8 - Southwest,Food Manufacturing,201843238
2001,EDR 8 - Southwest,Food Manufacturing,183548175
2018,EDR 9 - South Central,Food Manufacturing,310878480
2017,EDR 9 - South Central,Food Manufacturing,310577629
2016,EDR 9 - South Central,Food Manufacturing,272886208
2015,EDR 9 - South Central,Food Manufacturing,247956310
2014,EDR 9 - South Central,Food Manufacturing,225183722
2013,EDR 9 - South Central,Food Manufacturing,217893212
2012,EDR 9 - South Central,Food Manufacturing,200890745
2011,EDR 9 - South Central,Food Manufacturing,200458658
2010,EDR 9 - South Central,Food Manufacturing,190362697
2009,EDR 9 - South Central,Food Manufacturing,182547480
2008,EDR 9 - South Central,Food Manufacturing,179932444
2007,EDR 9 - South Central,Food Manufacturing,169220536
2006,EDR 9 - South Central,Food Manufacturing,167079263
2005,EDR 9 - South Central,Food Manufacturing,180853132
2004,EDR 9 - South Central,Food Manufacturing,181225181
2003,EDR 9 - South Central,Food Manufacturing,176066306
2002,EDR 9 - South Central,Food Manufacturing,173659041
2001,EDR 9 - South Central,Food Manufacturing,166362792
2018,EDR 10 - Southeast,Food Manufacturing,576863722
2017,EDR 10 - Southeast,Food Manufacturing,565587315
2016,EDR 10 - Southeast,Food Manufacturing,539280532
2015,EDR 10 - Southeast,Food Manufacturing,512410502
2014,EDR 10 - Southeast,Food Manufacturing,475223035
2013,EDR 10 - Southeast,Food Manufacturing,470361396
2012,EDR 10 - Southeast,Food Manufacturing,454491161
2011,EDR 10 - Southeast,Food Manufacturing,433889270
2010,EDR 10 - Southeast,Food Manufacturing,420952457
2009,EDR 10 - Southeast,Food Manufacturing,411894881
2008,EDR 10 - Southeast,Food Manufacturing,402709701
2007,EDR 10 - Southeast,Food Manufacturing,407600421
2006,EDR 10 - Southeast,Food Manufacturing,405591612
2005,EDR 10 - Southeast,Food Manufacturing,418397029
2004,EDR 10 - Southeast,Food Manufacturing,422017152
2003,EDR 10 - Southeast,Food Manufacturing,415069011
2002,EDR 10 - Southeast,Food Manufacturing,398768447
2001,EDR 10 - Southeast,Food Manufacturing,379853241
2018,EDR 11 - 7 County Twin Cities,Food Manufacturing,561400385
2017,EDR 11 - 7 County Twin Cities,Food Manufacturing,543308119
2016,EDR 11 - 7 County Twin Cities,Food Manufacturing,551230860
2015,EDR 11 - 7 County Twin Cities,Food Manufacturing,535049426
2014,EDR 11 - 7 County Twin Cities,Food Manufacturing,535224839
2013,EDR 11 - 7 County Twin Cities,Food Manufacturing,507795096
2012,EDR 11 - 7 County Twin Cities,Food Manufacturing,448377019
2011,EDR 11 - 7 County Twin Cities,Food Manufacturing,434598581
2010,EDR 11 - 7 County Twin Cities,Food Manufacturing,452269177
2009,EDR 11 - 7 County Twin Cities,Food Manufacturing,422734620
2008,EDR 11 - 7 County Twin Cities,Food Manufacturing,420821336
2007,EDR 11 - 7 County Twin Cities,Food Manufacturing,457372647
2006,EDR 11 - 7 County Twin Cities,Food Manufacturing,438895369
2005,EDR 11 - 7 County Twin Cities,Food Manufacturing,438463693
2004,EDR 11 - 7 County Twin Cities,Food Manufacturing,451486285
2003,EDR 11 - 7 County Twin Cities,Food Manufacturing,517525329
2002,EDR 11 - 7 County Twin Cities,Food Manufacturing,500971872
2001,EDR 11 - 7 County Twin Cities,Food Manufacturing,483175296
