periodyear,edr,naicstitle,emp
2006,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,666
2005,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,624
2004,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,603
2003,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,596
2002,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,568
2001,EDR 9 - South Central,Farm Product Raw Material Merchant Wholesalers,609
2018,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,599
2017,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,569
2016,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,596
2015,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,595
2014,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,601
2013,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,596
2012,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,523
2011,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,635
2010,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,627
2009,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,645
2008,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,651
2007,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,657
2006,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,602
2005,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,548
2004,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,590
2003,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,639
2002,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,688
2001,EDR 10 - Southeast,Farm Product Raw Material Merchant Wholesalers,720
2018,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3001
2017,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3471
2016,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3457
2015,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3560
2014,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3620
2013,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3774
2012,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3710
2011,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3597
2010,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,3033
2009,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2837
2008,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2473
2007,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2517
2006,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2429
2005,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2436
2004,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,2022
2003,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,1976
2002,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,1700
2001,EDR 11 - 7 County Twin Cities,Farm Product Raw Material Merchant Wholesalers,1372
