County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Todd,2000,39,506310,194509750,384
Todd,2001,39,504803,233648750,463
Todd,2002,39,504363,294174200,583
Todd,2003,39,504797,367939400,729
Todd,2004,39,503368,438328700,871
Todd,2005,39,501368,528916100,1055
Todd,2006,39,500032,577267570,1154
Todd,2007,39,497423,746058100,1500
Todd,2008,39,498822,759890890,1523
Traverse,2000,19,353727,301111000,851
Traverse,2001,19,353297,300697200,851
Traverse,2002,19,353328,335657300,950
Traverse,2003,19,353145,385887000,1093
Traverse,2004,19,352791,455766000,1292
Traverse,2005,19,352572,532409600,1510
Traverse,2006,19,352157,632963400,1797
Traverse,2007,19,351674,648257700,1843
Traverse,2008,19,352502,698200000,1981
Wabasha,2000,28,297638,348538050,1171
Wabasha,2001,28,296655,405097000,1366
Wabasha,2002,28,295863,424261350,1434
Wabasha,2003,28,295062,444202550,1505
Wabasha,2004,28,294187,502557130,1708
Wabasha,2005,28,293124,559758060,1910
Wabasha,2006,28,292509,677257140,2315
Wabasha,2007,28,291768,727660230,2494
Wabasha,2008,28,290863,837701230,2880
Wadena,2000,22,222060,78742800,355
Wadena,2001,22,218712,99731300,456
Wadena,2002,22,218396,119301200,546
Wadena,2003,22,216764,140186500,647
Wadena,2004,22,212200,166623700,785
Wadena,2005,22,212921,199048550,935
Wadena,2006,22,214129,242281800,1131
Wadena,2007,22,216030,282029200,1306
Wadena,2008,22,214843,280298000,1305
Waseca,2000,17,254863,446342600,1751
Waseca,2001,17,254632,446134700,1752
Waseca,2002,17,254193,521130900,2050
Waseca,2003,17,253897,577356400,2274
Waseca,2004,17,253496,575555600,2270
Waseca,2005,17,252680,648600900,2567
Waseca,2006,17,253082,751208500,2968
Waseca,2007,17,251981,819492500,3252
Waseca,2008,17,251372,900807200,3584
Washington,2000,34,110334,517752191,4693
Washington,2001,33,107182,671779704,6268
Washington,2002,33,105689,806052246,7627
Washington,2003,33,103108,935526970,9073
Washington,2004,33,100613,1104128796,10974
Washington,2005,33,99545,1145613350,11508
Washington,2006,33,95583,1261114100,13194
Washington,2007,33,94534,1291853700,13665
Washington,2008,33,91977,1341433500,14584
Watonwan,2000,20,267914,411424240,1536
Watonwan,2001,20,267795,425411240,1589
Watonwan,2002,20,267616,425143040,1589
Watonwan,2003,20,267595,444151840,1660
Watonwan,2004,20,267073,488882900,1831
Watonwan,2005,20,266858,592980600,2222
Watonwan,2006,20,266587,697635000,2617
Watonwan,2007,20,265114,741871700,2798
Watonwan,2008,20,264905,811772700,3064
Wilkin,2000,31,457191,450456220,985
Wilkin,2001,31,457056,449380870,983
Wilkin,2002,31,456894,448675470,982
Wilkin,2003,31,456281,448361770,983
Wilkin,2004,31,452101,475831730,1052
Wilkin,2005,31,452679,563209150,1244
Wilkin,2006,31,452762,675216840,1491
Wilkin,2007,31,452662,741849740,1639
Wilkin,2008,31,452187,865706940,1914
Winona,2000,32,319555,411492960,1288
Winona,2001,32,319212,496612320,1556
Winona,2002,32,318497,505230180,1586
Winona,2003,32,317260,575661040,1814
Winona,2004,32,316733,631509100,1994
Winona,2005,32,315854,727012500,2302
Winona,2006,32,315500,816564080,2588
Winona,2007,32,314766,888605180,2823
Winona,2008,32,314394,1006691280,3202
Wright,2000,35,345591,779794400,2256
Wright,2001,35,342248,985958400,2881
Wright,2002,35,339614,1134755350,3341
Wright,2003,35,337394,1471791500,4362
Wright,2004,35,334197,1882716200,5634
Wright,2005,35,329666,2222198500,6741
Wright,2006,35,326844,2693586700,8241
Wright,2007,35,323141,2719612100,8416
Wright,2008,35,320788,2506617000,7814
Yellow Medicine,2000,30,462808,446314270,964
Yellow Medicine,2001,30,461815,438670470,950
Yellow Medicine,2002,30,461563,499185770,1082
Yellow Medicine,2003,30,461176,531954950,1153
Yellow Medicine,2004,30,460772,615160050,1335
Yellow Medicine,2005,30,460334,732493150,1591
Yellow Medicine,2006,30,460030,876796100,1906
Yellow Medicine,2007,30,459685,951064200,2069
Yellow Medicine,2008,30,457723,1021605200,2232
