County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Grant,2007,23,322752,522857400,1620,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2008,23,321620,561693e3,1746,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Hennepin,2000,47,0,473396900,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2001,46,0,576308e3,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2002,46,0,689940700,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2003,46,0,781347500,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2004,46,0,910449700,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2005,46,0,1290861640,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2006,46,0,1557669650,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2007,46,0,1748359400,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2008,46,0,1724399800,NA,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,2000,24,308811,308087300,998,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2001,24,308281,320115590,1038,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2002,24,307321,421042200,1370,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2003,24,306747,440352840,1436,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2004,24,305329,472520740,1548,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2005,24,306019,571656440,1868,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2006,24,304409,662278760,2176,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2007,24,303035,776543700,2563,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2008,24,302046,819187800,2712,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Hubbard,2000,32,158188,89055830,563,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2001,32,156448,116355690,744,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2002,32,153693,141737840,922,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2003,32,151786,155615440,1025,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2004,32,147830,178594750,1208,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2005,32,144374,188309350,1304,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2006,32,143328,231129360,1613,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2007,32,141805,294789210,2079,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2008,32,141224,296104785,2097,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Isanti,2000,16,222341,298441200,1342,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2001,16,220447,369831800,1678,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2002,16,219331,422017800,1924,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2003,16,218366,550634500,2522,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2004,16,217561,701629700,3225,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2005,16,216202,852274e3,3942,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2006,16,214980,991537e3,4612,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2007,16,213918,1022484300,4780,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2008,16,211321,1018624800,4820,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Itasca,2000,93,109696,35261600,321,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2001,93,110026,35976200,327,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2002,93,111106,44005900,396,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2003,93,110704,58605500,529,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2004,93,110208,83292900,756,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2005,94,108993,11442e4,1050,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2006,93,108128,136196100,1260,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2007,93,108161,159496800,1475,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2008,93,109298,166940900,1527,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Jackson,2000,26,427761,658029032,1538,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2001,26,427168,672937632,1575,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2002,26,426788,709958332,1663,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2003,26,426420,718440098,1685,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2004,26,425229,816837582,1921,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2005,26,424553,872550844,2055,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2006,26,423552,1010548770,2386,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2007,26,422427,1082876836,2563,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2008,26,422124,1265950600,2999,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Kanabec,2000,20,212402,120377600,567,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2001,20,210322,154224500,733,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2002,20,208991,173245600,829,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2003,20,204990,234238500,1143,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2004,20,198210,284824500,1437,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2005,20,195874,310921500,1587,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2006,20,195759,358882800,1833,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2007,20,195606,369858200,1891,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2008,20,195759,383891300,1961,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kandiyohi,2000,36,435758,476769036,1094,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2001,36,434718,504973105,1162,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2002,36,433413,541467750,1249,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2003,36,431759,577931160,1339,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2004,36,430618,705144509,1638,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2005,36,429405,854127396,1989,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2006,36,428760,1022857473,2386,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2007,36,428472,1025911711,2394,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2008,36,427622,1127461026,2637,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kittson,2000,39,590015,249492350,423,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2001,39,589401,225921050,383,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2002,39,587580,228287730,389,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2003,39,587321,232963830,397,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2004,39,586929,306133080,522,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2005,39,586546,367120626,626,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2006,39,586976,409014593,697,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2007,39,587564,409092673,696,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2008,39,583136,451741073,775,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Koochiching,2000,11,134119,36465800,272,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2001,11,132424,35927300,271,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2002,11,130006,42472100,327,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2003,11,130093,42346200,326,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2004,11,129303,48961400,379,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2005,11,127733,66882300,524,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2006,11,126775,66562700,525,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2007,11,124830,89793500,719,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2008,11,124660,95112500,763,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lac qui Parle,2000,29,452559,369520200,817,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2001,29,451912,37014e4,819,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2002,29,451690,406995200,901,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2003,29,451486,430236700,953,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2004,29,451131,552460900,1225,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2005,29,450906,641313900,1422,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2006,29,450628,749493900,1663,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2007,29,449597,818681900,1821,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2008,29,449147,914688100,2037,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lake,2000,10,2187,1453200,664,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2001,10,2115,1527200,722,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2002,10,2025,1488500,735,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2003,10,2025,1815100,896,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2004,10,2118,2443200,1154,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2005,10,2396,3167100,1322,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2006,10,2386,3554200,1490,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2007,10,2391,4485700,1876,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2008,10,2389,4343600,1818,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake of the Woods,2000,26,140362,27741400,198,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2001,26,137660,29416200,214,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2002,26,134936,33591600,249,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2003,26,132056,37269500,282,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2004,26,129733,46053700,355,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2005,26,129049,52316300,405,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2006,26,128340,71096550,554,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2007,26,124741,77727500,623,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2008,26,121608,88566450,728,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Le Sueur,2000,24,258711,410401900,1586,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2001,24,257579,434684e3,1688,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2002,24,256853,521151179,2029,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2003,24,256814,580362175,2260,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2004,24,254861,674813375,2648,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2005,24,254677,788958475,3098,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2006,24,253560,992037875,3912,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2007,24,252059,1109241600,4401,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2008,24,251529,1116382900,4438,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Lincoln,2000,20,322799,187063850,580,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2001,20,322592,200319050,621,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2002,20,322268,207215450,643,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2003,20,322116,257951615,801,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2004,20,321909,321111885,998,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2005,20,321109,401790800,1251,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2006,20,322470,460788500,1429,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2007,20,319892,494487700,1546,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2008,20,319684,595069100,1861,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lyon,2000,31,422738,454429400,1075,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2001,31,422011,481385400,1141,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2002,31,421558,502598900,1192,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2003,31,421223,551332700,1309,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2004,31,420627,635038900,1510,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2005,31,420009,724883700,1726,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2006,31,419694,870332600,2074,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2007,31,421082,976333800,2319,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2008,31,419213,1076938400,2569,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Mahnomen,2000,19,240599,92884959,386,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2001,19,240582,95152700,396,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2002,19,240158,97976200,408,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2003,19,239637,102060300,426,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2004,19,234934,104816e3,446,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2005,19,233672,132819250,568,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2006,19,237401,169123736,712,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2007,19,235941,178737570,758,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2008,19,235151,198253900,843,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Marshall,2000,59,924903,390416855,422,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2001,59,924198,384736875,416,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2002,59,922921,373098589,404,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2003,59,920505,375851564,408,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2004,59,918517,386364314,421,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2005,59,916763,458201206,500,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2006,59,916612,522501253,570,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2007,59,917488,557242692,607,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2008,59,927245,666151126,718,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Martin,2000,30,436919,778133760,1781,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2001,30,436671,777297860,1780,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2002,30,436516,828954260,1899,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2003,30,436293,879965060,2017,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2004,30,436169,922060900,2114,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2005,30,436055,1028509750,2359,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2006,30,435385,1135150250,2607,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2007,30,432225,1286635400,2977,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2008,30,432033,1421193500,3290,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Mcleod,2000,23,288658,439829900,1524,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2001,23,287576,456098820,1586,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2002,23,287279,503223980,1752,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2003,23,286960,574601300,2002,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2004,23,286063,600916300,2101,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2005,23,285231,742331050,2603,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2006,23,284659,958577215,3367,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2007,23,283513,958297439,3380,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2008,23,282557,951415015,3367,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2000,26,349497,358050700,1024,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2001,26,348865,412577100,1183,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2002,26,347677,452322100,1301,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2003,26,346659,486336100,1403,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2004,26,345319,525791e3,1523,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2005,26,344157,680946100,1979,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2006,26,343391,813441800,2369,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2007,26,342318,937092500,2737,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2008,26,341468,933978900,2735,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mille Lacs,2000,25,161678,107025879,662,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2001,25,158480,135206710,853,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2002,25,153185,153070024,999,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2003,25,148799,168495304,1132,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2004,25,147217,181652604,1234,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2005,25,145029,207999735,1434,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2006,25,143300,262777725,1834,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2007,25,142273,340899679,2396,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2008,25,142562,369207529,2590,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Morrison,2000,47,557336,301947645,542,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2001,47,556693,409002245,735,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2002,47,554951,499403650,900,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2003,46,553272,560267150,1013,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2004,46,551913,608564100,1103,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2005,46,544620,777045250,1427,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2006,46,542730,940366750,1733,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2007,46,541732,1130660850,2087,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2008,46,539993,1186531150,2197,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Mower,2000,34,430367,655892330,1524,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2001,34,429901,715895230,1665,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2002,34,429696,772601330,1798,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2003,34,429453,804861620,1874,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2004,34,428670,919870080,2146,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2005,34,428292,995731600,2325,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2006,34,428025,1146868600,2679,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2007,34,423776,1323970150,3124,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2008,34,423786,1390498690,3281,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Murray,2000,29,432547,498128500,1152,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2001,29,432350,494604600,1144,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2002,29,432110,546022e3,1264,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2003,29,431210,594200350,1378,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2004,29,429230,633373950,1476,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2005,29,428919,725459150,1691,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2006,29,428619,911645500,2127,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2007,29,428161,975117600,2277,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Murray,2008,29,426681,1094756740,2566,101,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Nicollet,2000,19,261155,477752100,1829,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2001,19,260978,561001375,2150,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2002,19,260759,572961500,2197,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2003,19,260159,630145300,2422,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2004,19,258913,630344500,2435,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2005,19,258444,768134400,2972,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2006,19,258047,833746100,3231,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2007,19,257850,873229400,3387,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nicollet,2008,19,254335,987175100,3881,103,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Nobles,2000,31,438112,596208200,1361,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2001,31,437932,609074e3,1391,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2002,31,437640,666996600,1524,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2003,31,437429,704504950,1611,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2004,31,437274,751193100,1718,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2005,31,436881,863087700,1976,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2006,31,436654,1007670200,2308,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2007,31,436163,1126400300,2583,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Nobles,2008,31,436017,1262623100,2896,105,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Norman,2000,32,536854,316941800,590,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2001,32,536310,316782400,591,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2002,32,536033,316645500,591,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2003,32,535851,318859400,595,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Norman,2004,32,533713,325699e3,610,107,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
