periodyear,naicstitle,indcode,ownership,areaname,ownertitle,stfips,areatype,area,indlevel,pub_order,avgemp1,avgemp2,avgemp3,avgemp4,avg_estab1,avg_estab2,avg_estab3,avg_estab4,totwage1,totwage2,totwage3,totwage4,avgwkwage1,avgwkwage2,avgwkwage3,avgwkwage4,empYear,avg_estabYear,totwageYear,avgwkwageYear,gjg_total1,gjg_total2,gjg_total3,gjg_total4,gjg_totalYear,gjg_expanding1,gjg_expanding2,gjg_expanding3,gjg_expanding4,gjg_expandingYear,gjg_openings1,gjg_openings2,gjg_openings3,gjg_openings4,gjg_openingsYear,gjl_total1,gjl_total2,gjl_total3,gjl_total4,gjl_totalYear,gjl_contracting1,gjl_contracting2,gjl_contracting3,gjl_contracting4,gjl_contractingYear,gjl_closing1,gjl_closing2,gjl_closing3,gjl_closing4,gjl_closingYear,births_estabs1,births_estabs2,births_estabs3,births_estabs4,births_estabsYear,births_employ1,births_employ2,births_employ3,births_employ4,births_employYear,deaths_estabs1,deaths_estabs2,deaths_estabs3,deaths_estabs4,deaths_estabsYear,deaths_employ1,deaths_employ2,deaths_employ3,deaths_employ4,deaths_employYear,
"2017","Farm and Garden Machinery and Equipment Merchant Wholesalers","42382","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10214242382 ",854,865,852,827,60,59,59,59,10553994,13454804,10333365,12464399,950,1196,932,1159,850,59,46806562,1059,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2017","Farm Product Raw Material Merchant Wholesalers","4245","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","4","1021424245  ",328,348,354,354,39,38,39,39,4557651,4466234,4907410,6063042,1068,987,1066,1317,346,39,19994337,1110,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2017","Farm Supplies Merchant Wholesalers","42491","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10214242491 ",904,1054,981,907,67,67,66,66,15909213,13030010,12756033,16928155,1353,950,1000,1435,962,67,58623411,1185,42,155,54,41,60,30,153,53,41,47,12,2,1,0,13,29,38,151,99,85,27,32,149,97,76,2,6,2,2,9,1,0,0,0,1,12,0,0,0,13,2,1,0,1,4,2,5,0,2,9
"2017","Lessors of Other Real Estate Property","531190","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","6","102353531190",146,174,175,182,30,30,30,32,1070481,1310335,1388700,1424464,564,579,610,602,169,31,5193980,589,11,55,4,13,23,7,49,4,5,12,4,6,0,8,11,8,10,25,34,16,8,2,25,33,15,0,8,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,1
"2016","Total, All Industries","000000","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","0","1",262544,272978,272569,274152,16407,16580,16651,16735,2570298471,2717039440,2892722431,2915624664,753,765,816,818,270561,16593,11095685006,788,10825,24000,13800,15081,21991,9151,19835,11812,13553,17085,1674,4165,1988,1528,4906,16844,11848,16201,17257,20195,13886,9829,14439,14060,15090,2958,2019,1762,3197,5105,242,314,221,230,808,935,1416,890,790,4234,330,241,227,248,856,1310,867,1075,1042,4037
"2016","Commercial and Institutional Building Construction","23622","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10122323622 ",1068,1145,1217,1166,108,109,111,112,15880880,16062888,17673203,19194232,1143,1079,1117,1266,1149,110,68811203,1151,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2016","Agricultural Implement Manufacturing","33311","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10133133311 ",737,748,738,729,19,20,19,19,7933976,8375626,8664000,8505829,828,861,903,897,738,19,33479431,872,28,38,17,18,51,28,25,17,18,39,0,13,0,0,12,30,26,32,34,72,30,16,32,34,61,0,10,0,0,11,0,1,0,0,1,0,13,0,0,12,0,1,0,0,1,0,10,0,0,11
"2016","Farm and Garden Machinery and Equipment Merchant Wholesalers","42382","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10214242382 ",889,883,887,875,62,62,61,61,10702361,13382235,11163595,12650117,926,1165,968,1112,884,62,47898308,1043,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2016","Farm Product Raw Material Merchant Wholesalers","4245","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","4","1021424245  ",334,354,358,360,41,44,39,39,4006945,4115583,4326516,5275164,922,894,929,1127,352,41,17724208,968,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2016","Farm Supplies Merchant Wholesalers","42491","00","Central Minnesota               ","Total, All Ownerships                   ","27","09","CENT00","5","10214242491 ",929,1086,1041,952,70,68,67,68,14517336,12792895,12285853,12153961,1202,906,907,982,1002,68,51750045,999,66,178,65,40,66,66,178,64,40,65,0,0,1,0,1,26,53,153,118,67,25,53,129,115,43,1,0,24,3,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,24,0,21
