GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
27093,"Meeker, MN",137661,133682,138033,153231,154545,162550,200642,224544,211942,202616,222140,246694,263797,270908,257690,260017,240235,249295
27095,"Mille Lacs, MN",25190,22977,23503,25430,26650,28019,31644,39175,38522,38480,43539,50054,53177,56431,52053,52039,49082,51169
27097,"Morrison, MN",170369,162558,168661,177087,173414,191838,244747,259036,252543,251857,289910,324776,358745,374363,350790,355325,323698,338508
27099,"Mower, MN",183508,180134,184254,201593,206748,212923,268983,320445,313974,312551,350513,402174,424182,410071,385308,385452,363087,376858
27101,"Murray, MN",140617,134648,137173,148134,150516,154443,195925,232629,230245,232788,260975,297018,314866,339270,316691,315051,300778,315510
27103,"Nicollet, MN",154351,141328,150677,164979,167301,174492,224012,253801,252250,255018,288169,325291,350305,366362,344474,347929,322781,335269
27105,"Nobles, MN",190976,185593,197109,213628,213660,220337,284226,320756,313624,314210,350317,388149,419062,448614,415504,415627,392158,414555
27107,"Norman, MN",98360,90621,98198,99659,102802,113981,142006,180518,180870,179987,200256,235508,240960,244662,235889,235755,228158,234746
27109,"Olmsted, MN",134636,135140,132464,134774,132094,130786,158576,177177,172065,166957,184595,211133,220609,226689,215664,217122,203803,210894
27111,"Otter Tail, MN",235078,228047,223291,233354,232697,236802,300948,332640,328538,324251,365199,422837,444664,455789,434986,438884,408809,422712
27113,"Pennington, MN",30212,28200,29600,29339,31057,33069,42194,54874,53050,51330,57131,66335,68257,70334,66824,66620,63469,65285
27115,"Pine, MN",41737,41885,41214,44601,43317,42989,51689,53946,52007,49087,52964,59419,63248,65141,63512,64680,59875,62107
27117,"Pipestone, MN",118181,109679,114759,123650,123168,127077,163023,183452,182777,185884,213787,242234,262983,284722,262453,272403,265735,275488
27119,"Polk, MN",234421,225229,229757,231937,242740,265378,321998,378428,380826,375651,418842,498675,535830,525829,506900,511726,484149,499194
27121,"Pope, MN",102600,102001,97162,101406,102389,102931,124808,145553,144711,143638,161932,188772,198206,203484,193528,195251,182817,189245
27123,"Ramsey, MN",4877,4366,3386,2924,2408,1947,1890,2011,2142,2036,2024,2620,2430,2463,2446,2586,2426,2473
27125,"Red Lake, MN",30202,30492,28861,30469,31359,31500,38554,43514,42240,40949,45467,52969,54313,55584,53305,53153,50449,51572
27127,"Redwood, MN",221572,210224,219253,234406,235958,242697,300939,354434,345051,342666,371601,409620,433482,455859,429987,428950,405592,435958
27129,"Renville, MN",304570,288995,288966,301826,295317,298980,363614,431286,430489,430591,484133,566287,590434,607992,580223,582649,548711,564027
27131,"Rice, MN",124344,112343,109737,115046,114289,114993,137528,155045,150216,147311,163363,184511,194595,201185,190558,192035,179723,185942
27133,"Rock, MN",157002,152401,162822,177481,180956,187517,241402,268567,261692,262838,287670,316571,342268,390526,354698,351152,351078,377189
27135,"Roseau, MN",75168,72893,69484,71728,71894,71609,86605,98326,96401,94587,106186,123911,128043,130495,124796,124840,117861,121937
27137,"St. Louis, MN",13733,13789,15592,16569,16131,16085,15171,19443,17829,16080,16524,17856,18670,19588,18371,18657,17564,18389
27139,"Scott, MN",59495,59813,59820,59332,56970,54670,64151,73518,72038,71476,79707,92836,97277,103328,96931,97397,92652,94215
27141,"Sherburne, MN",45677,45190,45132,46612,47779,48546,55914,72850,71860,69290,75357,88715,90339,90029,86090,85983,82007,83917
27143,"Sibley, MN",160619,153145,154430,165304,168329,173473,218794,255289,250832,248006,278460,318271,338753,347544,330251,332644,309486,321456
27145,"Stearns, MN",354551,342497,349722,391117,391937,397117,507888,530953,516200,505753,571576,642901,695895,736947,691602,701281,668053,677407
27147,"Steele, MN",116500,126109,131150,141057,139014,139582,172600,196500,190711,187809,209283,239882,253717,256626,237382,237912,223200,231887
