GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
27000,Minnesota,8209998,8342846,9384893,10488407,10105460,11024820,13714688,16450189,14370815,16179679,18486830,21642749,22275899,20241141,16943161,17533018,17919014
27001,"Aitkin, MN",11741,11566,14028,12635,10957,11435,13933,12656,11114,24305,16813,15797,16389,17473,14559,13681,14447
27003,"Anoka, MN",36630,40131,44352,40478,38198,35299,33098,40447,40924,47070,51788,59200,59100,49627,47280,48498,45865
27005,"Becker, MN",94120,93040,107456,106863,112633,123811,155341,175539,156901,178064,215105,267042,286126,249725,201437,222848,226479
27007,"Beltrami, MN",20629,19041,23674,21633,22204,22851,22116,23887,26847,22179,25728,32548,29131,29809,25264,24165,25851
27009,"Benton, MN",86374,84818,89809,107991,101443,102793,120453,150118,123762,136330,136689,168476,144504,154745,152891,152909,145847
27011,"Big Stone, MN",47366,55530,54993,68579,60469,71776,88361,118182,108313,112285,108392,165727,165712,134586,102172,115378,111146
27013,"Blue Earth, MN",206544,201084,223619,282614,267799,289511,342745,412149,370504,397954,478576,533600,566944,535806,436655,426947,464795
27015,"Brown, MN",175771,161687,195433,227985,218961,233890,265011,319890,284168,324285,367849,391790,435887,407166,322437,315385,335408
27017,"Carlton, MN",9650,8438,9237,9213,8679,8161,8802,9110,7663,9678,9879,11205,12150,12870,10673,9944,10474
27019,"Carver, MN",65183,63410,65350,75993,69392,73672,97651,113230,97108,108841,117942,139090,134383,123436,137223,143070,146415
27021,"Cass, MN",19601,15511,27308,22915,30668,24184,26295,29531,22499,28589,33100,39483,39072,47868,39110,36152,37961
27023,"Chippewa, MN",88664,97756,111007,116999,115688,143028,177343,220679,210324,233367,263831,332804,367681,303098,246839,259815,247767
27025,"Chisago, MN",25740,27142,28184,30058,28970,30373,34935,44434,37476,43807,48523,57373,52709,46607,50004,49044,48255
27027,"Clay, MN",119025,127367,153126,142948,142241,165697,213802,268144,218335,256592,288778,388709,420065,320124,260719,306614,309403
27029,"Clearwater, MN",20198,20123,23705,21947,22356,21650,24016,23741,20608,29094,31940,31700,37848,38448,30823,32487,33407
27031,"Cook, MN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27033,"Cottonwood, MN",143614,145980,159698,186807,172258,192831,245432,297364,267054,292452,348284,383770,434563,393336,313922,316112,332885
27035,"Crow Wing, MN",14164,13425,14531,15047,14373,14082,13984,15210,28964,40759,45796,26330,27218,27081,22735,21954,23467
27037,"Dakota, MN",99413,106698,120375,138312,130814,149187,187030,215878,203835,222445,244462,251868,245574,216484,183485,186062,190535
27039,"Dodge, MN",103927,107390,113135,132286,125045,135742,180264,205354,181962,213718,255144,294934,246154,235846,186496,184602,185728
27041,"Douglas, MN",55211,53458,55587,61398,55474,54518,67663,86418,72904,85426,91705,122361,115362,102811,89951,97116,92102
27043,"Faribault, MN",134743,159378,176668,205974,189980,218777,298337,349620,311361,317636,378864,419843,397363,331738,280911,294270,302909
27045,"Fillmore, MN",145931,143459,155010,180529,170778,180861,232610,261950,228238,266422,327021,352707,326641,327601,254471,253807,269733
27047,"Freeborn, MN",145092,158241,173089,202419,192434,212945,264766,312411,268779,302763,369305,426016,344603,324725,260871,257196,274365
27049,"Goodhue, MN",167614,157372,173139,208799,196868,211965,277972,312004,278315,316948,379806,442507,419384,397959,313455,310061,329226
27051,"Grant, MN",57658,66340,71757,76455,63547,79720,105790,139026,118326,133498,132595,210568,201964,149050,131652,156384,153763
27053,"Hennepin, MN",47493,48575,55282,54430,50476,52531,51962,62175,60382,64389,68671,76566,77597,64634,67024,68279,64921
27055,"Houston, MN",75345,70168,76825,87821,82042,81178,96713,106157,90475,106405,130832,149734,145051,151612,121847,124043,129854
27057,"Hubbard, MN",22600,23676,27930,27592,30325,26649,33623,33814,33029,39039,44127,51386,56449,44433,32017,36498,36203
27059,"Isanti, MN",22212,24926,23534,26578,22860,25152,27404,39170,36268,42925,50161,62215,61860,53483,55870,61391,57516
27061,"Itasca, MN",6747,6514,7635,7660,7401,7904,7700,9046,7472,10016,13233,12336,12258,12693,11122,10605,11023
27063,"Jackson, MN",145566,151699,174967,215217,213033,226919,275794,321815,299909,318970,359312,386860,406697,356882,286694,289599,307800
27065,"Kanabec, MN",20556,20155,19926,21321,18429,19057,20651,21904,22035,28114,29464,33117,34608,33190,25761,40555,41912
27067,"Kandiyohi, MN",203648,212655,225414,255557,250331,267761,316457,378271,336092,365180,400381,489284,489632,448060,404438,407761,390494
27069,"Kittson, MN",46296,67212,95728,72763,54673,80516,111216,150093,95865,112003,128039,176029,213290,161718,130161,147994,138198
27071,"Koochiching, MN",4056,4069,5465,5506,5250,4785,4860,6175,6834,8200,8982,9740,9590,9854,8036,7667,8241
27073,"Lac qui Parle, MN",100339,109285,107756,129079,118681,138487,160785,183963,211483,228246,252528,314862,381168,300755,225947,259394,242734
27075,"Lake, MN",291,314,354,308,301,292,270,349,362,399,451,456,497,415,379,378,372
27077,"Lake of the Woods, MN",6107,5385,12208,9751,6772,6629,7703,8420,7885,9723,10111,18837,13623,10439,5824,5615,6720
27079,"Le Sueur, MN",85201,86632,96063,114366,105897,119676,144741,176035,156437,170865,189399,233173,240489,220396,193918,196831,211488
27081,"Lincoln, MN",77482,73910,86406,97778,100550,108671,138872,153201,149987,166419,184964,202994,236750,207992,160902,174299,163281
27083,"Lyon, MN",156797,156814,177949,211912,211289,237319,310830,349981,316095,354383,371418,408937,448609,422796,357339,363342,357287
27085,"McLeod, MN",78680,80532,85573,96577,92749,109734,128804,167498,149020,165019,173572,236667,230473,199972,228352,236796,249806
27087,"Mahnomen, MN",26016,23895,31288,26088,27017,33157,44782,54764,40917,53769,71582,95124,106510,78397,63546,79352,78618
27089,"Marshall, MN",80488,102137,149096,103264,108531,144974,200415,259171,185990,198683,235153,314166,335482,243721,206373,238917,254075
27091,"Martin, MN",246880,240573,283006,359983,351173,379248,422947,504038,441605,480373,577573,652720,711340,662906,527560,532416,567493
27093,"Meeker, MN",117279,122297,126466,156442,146232,168121,207401,250714,210374,232466,235202,290100,293869,269937,242528,241521,237494
27095,"Mille Lacs, MN",24918,23097,23270,27342,24134,24785,28714,37155,34850,40985,39274,53024,46182,47818,57698,59111,54798
27097,"Morrison, MN",167554,160345,173085,210388,208028,209329,274549,333088,280163,328664,375627,434453,392761,444094,400174,378425,373609
27099,"Mower, MN",151287,169891,168139,215333,210426,231575,298303,339688,307253,360922,432548,483562,397569,379249,299787,297779,315637
27101,"Murray, MN",135861,138940,154867,173169,169085,185937,243149,298736,271129,299552,349695,373434,448880,405801,339263,339903,352025
27103,"Nicollet, MN",155546,141825,167203,207502,206238,228090,249587,320004,275734,317862,370107,399821,443874,425442,357068,360919,368087
27105,"Nobles, MN",182970,188151,219138,256229,248990,261955,357012,416497,371042,410626,484648,495534,553886,542265,439908,427795,458458
27107,"Norman, MN",89465,86535,126279,105998,114932,139347,179520,238405,179167,201602,224120,274168,318089,238210,199377,219072,223222
27109,"Olmsted, MN",108570,107739,112487,128639,121261,131280,160155,181124,153356,178952,217335,252089,208279,215461,165475,168609,175946
27111,"Otter Tail, MN",221343,218154,240913,254129,239532,245188,312228,376246,311829,354872,417963,501576,521847,473020,416405,438020,430042
27113,"Pennington, MN",18820,23634,35714,21299,25223,28539,42323,61290,39635,45357,61334,81751,78974,61602,60506,73424,70694
27115,"Pine, MN",36899,34493,37913,43888,40859,42052,52666,54827,46478,53711,62249,68495,68708,71412,76149,77115,79919
27117,"Pipestone, MN",122583,104164,122342,143911,142000,148588,185880,225660,215353,255957,300975,326086,379608,385885,298094,311036,327915
27119,"Polk, MN",180800,184779,258455,210323,237908,279793,366033,479633,364794,401369,483353,578405,704576,509918,391966,465880,489684
27121,"Pope, MN",83891,89998,92914,100909,99464,97858,120426,160927,140405,160705,179086,240597,234883,202874,156020,170747,168934
27123,"Ramsey, MN",4109,3602,3733,3383,3088,2813,2408,2990,3035,3205,3597,3736,3963,3308,3020,3010,2963
27125,"Red Lake, MN",22311,22804,32384,25208,26623,29042,43372,51757,41532,45457,60188,74206,86757,71489,59692,70676,74159
27127,"Redwood, MN",211631,218913,246067,278967,270147,306994,372433,449775,415964,459505,465708,522825,578658,506055,412674,423721,437012
27129,"Renville, MN",279803,296041,311853,331612,326187,368906,440129,565374,489995,535879,561013,704214,771238,652803,579783,599164,614396
27131,"Rice, MN",104769,97017,104286,127488,123367,134814,142909,167085,156871,180316,198866,237936,215783,199099,169229,166721,172158
27133,"Rock, MN",156328,155240,178686,209286,216864,225796,292895,344038,301013,344657,398261,416885,475250,485008,406638,400825,426225
27135,"Roseau, MN",52149,53544,87541,56453,51812,67328,87268,117365,66936,84603,119348,158558,171121,133728,110439,130021,142768
27137,"St. Louis, MN",11619,11280,13443,13565,13608,13706,14926,15901,14468,16647,18892,19200,20740,20300,17704,16899,17090
